note, length, volume
0, 0.18, 69
54, 1.4, 63
56, 0.51, 74
58, 1.4, 69
54, 0.56, 58
51, 0.6, 57
54, 1.4, 60
56, 0.56, 68
58, 1.0, 45
0, 0.46, 26
54, 0.6, 58
51, 0.56, 54
54, 1.5, 58
56, 0.51, 63
58, 1.1, 69
60, 0.56, 79
58, 0.32, 62
54, 0.28, 55
51, 0.6, 58
54, 0.88, 34
0, 0.56, 29
56, 0.56, 62
58, 1.2, 46
0, 0.79, 15
51, 0.6, 54
54, 1.5, 51
56, 0.51, 61
58, 1.1, 71
60, 0.56, 86
63, 0.6, 61
51, 0.6, 56
54, 0.19, 58
53, 0.05, 52
54, 0.05, 54
53, 0.33, 45
54, 0.33, 13
0, 0.65, 32
56, 0.51, 69
58, 0.88, 75
56, 1.3, 73
51, 0.56, 59
54, 0.98, 40
0, 0.56, 23
56, 0.6, 69
58, 0.93, 76
60, 0.33, 78
62, 0.37, 81
63, 0.56, 47
51, 0.65, 58
54, 0.93, 39
0, 0.65, 31
56, 0.56, 64
58, 0.88, 71
56, 1.3, 56
50, 0.46, 64
51, 0.19, 65
53, 0.7, 35
54, 0.09, 0
53, 0.05, 0
54, 0.05, 0
0, 0.6, 34
56, 0.46, 53
58, 1.3, 56
0, 0.7, 20
51, 0.6, 58
54, 1.5, 61
56, 0.56, 62
58, 1.4, 74
56, 0.33, 74
54, 0.32, 69
51, 0.6, 58
54, 0.14, 61
53, 0.51, 45
54, 0.19, 0
0, 0.7, 24
56, 0.56, 63
58, 0.88, 44
0, 1.2, 13
51, 0.6, 66
54, 1.6, 69
56, 0.56, 70
58, 1.5, 68
63, 0.7, 56
51, 0.65, 54
54, 0.05, 58
53, 0.46, 45
54, 0.23, 0
0, 0.7, 29
56, 0.56, 62
58, 1.3, 78
60, 0.74, 72
51, 0.56, 51
53, 0.65, 49
54, 0.33, 3
0, 0.56, 33
56, 0.6, 62
58, 1.3, 73
56, 0.28, 69
54, 0.37, 66
51, 0.56, 52
54, 1.0, 40
0, 0.51, 38
56, 0.56, 60
58, 1.3, 77
60, 0.65, 73
51, 0.56, 47
54, 0.46, 56
53, 0.51, 44
54, 0.23, 0
0, 0.74, 25
51, 1.2, 52
0, 1.3, 12
51, 0.6, 62
54, 1.3, 61
56, 0.51, 61
58, 1.4, 73
60, 0.37, 86
63, 0.42, 59
51, 0.56, 51
54, 0.93, 35
0, 0.6, 30
56, 0.51, 62
58, 1.0, 75
60, 0.28, 80
63, 0.23, 74
65, 0.37, 80
68, 0.42, 54
51, 0.56, 53
53, 0.65, 32
54, 0.05, 0
0, 0.6, 32
56, 0.51, 58
58, 1.3, 65
56, 0.28, 68
54, 0.32, 60
51, 0.56, 42
54, 1.0, 37
0, 0.56, 30
53, 0.56, 73
58, 0.88, 73
56, 0.93, 70
54, 0.33, 60
51, 0.6, 46
54, 0.93, 33
0, 0.6, 26
56, 0.56, 58
58, 0.97, 74
61, 0.6, 67
63, 0.51, 56
51, 0.65, 54
54, 0.19, 53
53, 0.37, 40
54, 0.33, 2
0, 0.65, 31
56, 0.56, 58
58, 0.98, 72
53, 0.88, 67
51, 0.6, 59
54, 0.79, 35
0, 0.84, 15
56, 0.51, 51
58, 0.88, 45
0, 0.6, 26
61, 0.33, 84
63, 0.28, 53
51, 0.6, 50
54, 1.0, 33
0, 0.56, 35
56, 0.51, 51
58, 1.1, 75
56, 0.33, 63
54, 0.6, 54
51, 0.65, 48
54, 0.19, 52
53, 0.65, 27
0, 0.74, 30
55, 0.05, 76
56, 0.46, 49
58, 0.46, 80
57, 0.28, 75
58, 0.6, 54
63, 0.6, 49
51, 0.6, 48
54, 0.19, 58
53, 0.09, 50
54, 0.14, 54
53, 0.09, 42
54, 0.33, 3
0, 0.74, 25
56, 0.51, 63
58, 1.3, 61
56, 0.7, 63
51, 0.6, 63
54, 0.51, 53
53, 0.09, 14
54, 0.19, 0
0, 0.74, 27
56, 0.56, 68
58, 1.0, 72
61, 0.32, 81
63, 0.6, 52
51, 0.7, 63
54, 0.84, 35
0, 1.5, 11
56, 0.65, 70
58, 0.56, 67
56, 0.33, 70
54, 0.32, 69
51, 0.6, 65
54, 0.88, 39
0, 0.51, 31
56, 0.65, 62
58, 1.3, 68
56, 0.33, 73
54, 0.32, 68
51, 0.65, 61
53, 0.51, 47
54, 0.23, 1
0, 0.6, 27
56, 0.56, 56
58, 0.98, 49
0, 1.1, 19
51, 0.46, 83
54, 1.2, 67
0, 0.23, 76
56, 0.6, 73
58, 1.4, 73
56, 0.32, 99
51, 0.51, 79
54, 0.79, 68
0, 2.0, 9
54, 0.6, 70
60, 0.65, 74
54, 0.56, 58
51, 0.56, 53
54, 0.84, 39
0, 0.6, 22
56, 0.51, 50
58, 1.4, 59
63, 0.6, 48
51, 0.65, 61
53, 0.46, 52
54, 0.23, 0
0, 0.79, 15
56, 0.56, 47
58, 1.1, 58
56, 0.6, 64
54, 0.28, 67
51, 0.65, 61
54, 0.05, 66
53, 0.05, 64
54, 0.6, 28
0, 0.79, 20
56, 0.51, 41
58, 0.74, 30
0, 0.6, 28
63, 0.6, 55
51, 0.56, 52
54, 0.98, 42
0, 0.65, 31
55, 0.05, 55
56, 0.37, 37
58, 1.3, 67
60, 0.6, 70
51, 0.98, 51
0, 1.6, 10
54, 0.74, 38
0, 0.46, 39
58, 1.0, 40
0, 0.28, 41
51, 0.74, 42
0, 1.5, 8
56, 1.1, 37
0, 0.14, 95
60, 1.0, 47
0, 0.14, 52
51, 0.84, 44
0, 1.6, 10
58, 1.3, 71
61, 0.88, 75
60, 0.05, 0
61, 0.14, 42
54, 1.1, 40
0, 1.3, 13
56, 1.3, 70
53, 1.1, 69
51, 0.6, 56
54, 0.65, 31
0, 0.33, 48
56, 0.46, 44
58, 0.88, 33
0, 0.33, 51
63, 0.84, 52
58, 0.32, 64
54, 0.33, 71
51, 0.6, 53
54, 0.6, 33
0, 0.37, 36
56, 1.3, 41
0, 0.51, 32
56, 0.79, 35
0, 0.7, 15
51, 0.56, 62
54, 0.65, 38
0, 0.37, 32
56, 0.51, 34
58, 0.88, 39
0, 0.37, 66
61, 0.84, 92
63, 0.51, 49
51, 0.7, 66
53, 0.33, 61
54, 0.32, 3
0, 0.33, 51
58, 0.51, 40
56, 0.74, 37
0, 0.42, 41
60, 0.6, 45
65, 1.1, 52
51, 0.56, 55
54, 0.6, 31
0, 0.46, 25
56, 0.51, 30
58, 0.79, 28
0, 0.65, 22
58, 0.79, 27
0, 0.6, 30
51, 0.6, 77
54, 0.84, 47
56, 0.6, 48
58, 0.84, 35
0, 0.42, 50
60, 0.74, 82
63, 0.56, 57
51, 0.6, 70
54, 0.65, 33
0, 0.33, 48
56, 0.51, 43
58, 0.74, 36
0, 0.56, 27
53, 1.2, 60
51, 0.65, 68
54, 0.65, 29
0, 0.28, 51
56, 0.56, 43
58, 1.1, 39
0, 0.14, 84
48, 0.84, 71
49, 0.19, 0
0, 0.46, 36
51, 0.56, 55
54, 0.65, 28
0, 0.33, 54
56, 0.46, 44
58, 0.88, 37
0, 0.28, 79
61, 0.84, 89
63, 0.56, 48
51, 0.6, 59
54, 0.65, 30
0, 0.33, 51
56, 0.46, 41
58, 0.7, 33
0, 0.37, 46
53, 0.6, 61
60, 0.7, 73
62, 0.84, 44
0, 0.93, 16
56, 0.56, 47
58, 0.93, 47
61, 0.65, 58
60, 0.05, 43
61, 0.09, 75
58, 0.33, 64
54, 0.33, 67
51, 0.56, 41
54, 0.51, 23
0, 0.37, 32
56, 0.46, 34
58, 1.1, 54
56, 0.6, 24
0, 0.98, 27
51, 0.46, 66
54, 0.65, 35
0, 0.23, 52
56, 0.51, 40
58, 0.98, 42
0, 0.19, 114
61, 0.79, 97
63, 0.46, 46
51, 0.6, 61
54, 0.56, 32
0, 0.28, 44
56, 0.56, 45
58, 1.2, 65
56, 0.51, 69
53, 0.7, 35
0, 0.37, 50
51, 0.56, 74
50, 0.09, 64
54, 0.46, 17
0, 0.37, 46
56, 0.46, 26
58, 0.88, 37
0, 0.28, 89
61, 0.79, 93
63, 0.51, 50
51, 0.65, 69
54, 0.56, 22
0, 0.23, 62
56, 0.51, 42
58, 0.79, 37
0, 0.28, 87
61, 0.51, 46
65, 1.2, 38
0, 0.74, 18
56, 0.37, 68
58, 0.23, 100
61, 0.42, 49
60, 0.42, 83
56, 0.23, 75
53, 0.56, 47
54, 0.33, 71
58, 0.23, 66
56, 0.28, 75
53, 0.33, 76
51, 0.6, 35
0, 1.7, 13
58, 1.6, 59
54, 0.23, 78
53, 0.33, 80
51, 0.56, 63
54, 0.79, 38
56, 0.6, 40
58, 0.33, 63
57, 0.37, 10
0, 0.42, 52
61, 0.56, 93
65, 0.65, 74
66, 0.23, 51
51, 0.46, 58
54, 0.56, 25
0, 0.37, 51
55, 0.19, 56
56, 0.37, 46
58, 0.84, 54
60, 0.51, 56
63, 0.42, 81
65, 0.33, 69
69, 0.46, 33
50, 0.05, 75
51, 0.46, 60
54, 0.46, 19
