note, length, volume
0, 1.5, 13
65, 1.1, 96
64, 1.1, 93
62, 1.1, 78
60, 1.3, 66
58, 1.1, 74
61, 1.0, 44
67, 1.1, 51
0, 1.5, 12
69, 0.98, 96
70, 0.74, 98
72, 1.3, 77
65, 1.4, 93
68, 1.0, 92
63, 0.74, 78
61, 0.74, 75
60, 0.93, 41
0, 1.5, 11
59, 0.84, 86
64, 0.98, 79
69, 0.23, 83
68, 0.28, 82
66, 0.6, 74
61, 0.93, 69
63, 1.3, 78
65, 2.3, 79
53, 1.5, 56
0, 3.2, 4
55, 0.42, 68
60, 0.28, 70
59, 0.51, 77
64, 1.2, 61
55, 0.37, 57
60, 0.33, 64
59, 0.46, 75
62, 0.84, 65
55, 0.37, 58
60, 0.33, 67
59, 0.42, 79
62, 0.88, 54
55, 0.46, 67
60, 0.28, 74
59, 0.46, 81
64, 0.98, 50
0, 0.65, 11
55, 0.42, 51
60, 0.28, 73
59, 0.42, 81
62, 1.2, 75
60, 0.33, 69
59, 0.37, 81
57, 1.3, 74
55, 0.37, 68
59, 0.56, 46
58, 0.14, 0
0, 0.05, 18
52, 0.93, 72
55, 0.28, 57
60, 0.37, 68
59, 0.42, 70
62, 0.65, 36
0, 0.79, 22
63, 0.32, 89
68, 0.33, 93
65, 0.42, 78
69, 0.33, 69
70, 0.23, 58
69, 0.05, 46
70, 0.19, 2
69, 0.05, 47
70, 0.09, 80
55, 0.37, 69
60, 0.33, 72
59, 0.42, 85
64, 0.37, 86
62, 0.33, 63
59, 0.37, 81
57, 0.37, 75
55, 0.37, 63
54, 0.46, 57
50, 0.46, 67
55, 0.65, 34
0, 2.4, 5
55, 0.32, 71
56, 1.3, 72
58, 1.2, 78
60, 0.88, 54
61, 0.14, 77
63, 0.28, 80
64, 0.79, 80
67, 0.74, 73
63, 1.0, 46
0, 0.88, 24
68, 0.33, 91
65, 0.37, 78
63, 0.33, 78
62, 0.37, 70
61, 0.46, 74
59, 0.42, 75
56, 0.46, 53
51, 0.51, 63
55, 0.88, 70
51, 0.84, 39
0, 2.2, 4
53, 0.74, 77
57, 0.37, 53
60, 0.37, 55
61, 0.7, 70
67, 1.1, 77
68, 0.7, 64
63, 0.37, 82
65, 0.46, 90
67, 0.28, 87
65, 0.37, 72
63, 0.33, 75
62, 0.37, 61
61, 0.37, 64
59, 0.37, 65
55, 0.42, 58
51, 0.37, 61
58, 0.84, 75
56, 0.56, 20
0, 0.93, 22
58, 0.33, 73
60, 0.42, 68
61, 0.32, 72
63, 0.51, 74
65, 1.6, 77
60, 0.46, 52
53, 0.6, 70
63, 0.42, 66
61, 0.37, 65
59, 0.37, 55
60, 0.42, 46
61, 0.23, 69
58, 0.51, 63
54, 0.46, 44
50, 0.51, 21
0, 1.9, 11
68, 0.37, 88
69, 0.19, 83
65, 0.37, 89
68, 0.42, 92
65, 0.7, 78
63, 0.42, 65
60, 0.51, 55
61, 0.37, 42
72, 1.5, 64
0, 0.19, 46
58, 2.0, 58
0, 4.1, 2
56, 0.88, 79
58, 2.0, 78
61, 0.42, 65
63, 1.4, 74
66, 0.51, 91
67, 0.09, 97
68, 0.05, 95
67, 0.19, 93
68, 1.2, 87
63, 0.46, 66
61, 0.65, 16
0, 0.88, 15
55, 0.23, 81
56, 0.28, 81
58, 1.5, 75
61, 0.42, 63
63, 1.3, 75
66, 0.46, 92
68, 0.79, 56
0, 0.74, 21
62, 1.2, 75
60, 0.93, 39
0, 1.9, 6
53, 0.46, 73
55, 0.42, 49
58, 0.51, 80
60, 0.88, 68
63, 0.46, 89
65, 0.65, 92
66, 0.46, 92
71, 0.51, 100
73, 0.74, 52
0, 0.56, 27
61, 0.56, 82
68, 0.6, 93
69, 0.37, 79
70, 0.37, 54
62, 0.7, 46
0, 0.79, 5
57, 0.93, 73
64, 0.65, 89
66, 0.7, 83
62, 0.65, 57
57, 0.6, 77
55, 0.7, 62
65, 0.09, 86
66, 0.6, 77
64, 0.46, 82
62, 0.6, 37
0, 3.5, 2
53, 0.46, 61
60, 0.46, 60
62, 0.7, 37
0, 1.2, 8
51, 0.65, 76
58, 0.6, 72
60, 0.84, 27
0, 0.6, 26
61, 0.46, 78
68, 0.56, 88
69, 0.09, 70
70, 0.14, 69
69, 0.14, 46
70, 0.23, 6
0, 0.84, 21
58, 0.51, 79
65, 0.7, 82
66, 0.09, 80
67, 0.05, 74
66, 0.23, 64
67, 0.14, 70
62, 0.93, 67
61, 0.51, 68
68, 0.56, 88
69, 0.51, 87
72, 0.65, 57
60, 0.51, 56
67, 0.42, 85
69, 0.46, 82
71, 0.42, 27
0, 1.3, 15
69, 0.23, 94
68, 0.33, 92
65, 0.42, 87
63, 0.23, 77
62, 0.28, 58
61, 0.33, 70
59, 0.19, 78
58, 0.37, 77
56, 0.32, 73
55, 0.33, 67
53, 0.37, 56
51, 0.37, 16
0, 5.0, 2
57, 0.46, 85
59, 0.33, 72
61, 0.42, 84
65, 0.6, 88
63, 1.3, 77
66, 0.37, 86
64, 0.14, 90
65, 0.05, 89
64, 0.19, 79
63, 0.51, 82
68, 0.56, 84
70, 0.93, 72
62, 0.46, 70
61, 0.33, 70
59, 0.51, 75
58, 0.7, 41
0, 1.8, 10
57, 0.42, 92
59, 0.33, 89
58, 0.46, 75
54, 0.42, 65
51, 1.4, 69
56, 0.28, 77
59, 0.37, 76
62, 0.88, 69
58, 0.33, 70
63, 0.51, 36
51, 1.2, 57
48, 0.56, 43
58, 0.51, 70
52, 0.32, 67
54, 0.23, 74
58, 0.37, 82
59, 0.33, 71
56, 0.37, 66
54, 0.37, 49
61, 0.84, 48
59, 0.46, 22
0, 0.88, 20
62, 0.51, 88
64, 0.09, 86
62, 0.28, 69
61, 0.46, 67
59, 0.28, 79
58, 0.46, 60
61, 0.7, 27
53, 0.84, 73
57, 0.33, 58
60, 0.28, 90
65, 1.4, 78
60, 0.7, 72
65, 1.4, 55
0, 3.0, 7
63, 0.42, 90
65, 0.23, 82
63, 0.09, 78
65, 0.46, 80
63, 0.23, 80
65, 0.33, 77
63, 0.28, 76
65, 0.33, 71
62, 0.28, 84
65, 0.33, 79
62, 0.33, 82
64, 0.23, 69
62, 0.42, 78
66, 0.42, 80
62, 0.37, 80
65, 0.33, 51
61, 0.28, 80
65, 0.33, 58
61, 0.28, 83
65, 0.33, 56
61, 0.28, 81
65, 0.28, 56
61, 0.28, 79
65, 0.37, 74
60, 0.33, 82
64, 0.37, 74
60, 0.14, 81
64, 0.42, 77
60, 0.37, 61
64, 0.42, 13
0, 1.2, 13
60, 0.33, 78
63, 0.33, 66
60, 0.28, 70
63, 0.28, 66
60, 0.33, 70
63, 0.33, 64
60, 0.37, 57
62, 0.09, 52
59, 0.46, 73
65, 0.33, 50
59, 0.33, 65
65, 0.42, 60
59, 0.19, 63
65, 0.97, 55
46, 0.23, 55
63, 0.42, 69
58, 0.33, 74
63, 0.23, 66
58, 0.37, 77
63, 0.28, 74
58, 0.32, 72
63, 0.28, 78
62, 0.33, 73
58, 0.46, 65
54, 0.6, 42
53, 0.37, 7
0, 1.9, 8
57, 0.37, 80
64, 0.42, 72
57, 0.28, 79
64, 0.28, 82
57, 0.28, 86
64, 0.33, 79
57, 0.28, 73
64, 0.32, 87
58, 0.33, 76
63, 0.32, 75
58, 0.33, 74
63, 0.42, 48
56, 0.37, 60
63, 0.33, 72
57, 0.37, 79
63, 0.37, 53
53, 0.37, 68
62, 0.33, 51
53, 0.46, 71
61, 0.05, 41
62, 0.19, 53
54, 0.37, 67
62, 0.33, 51
54, 0.37, 59
62, 0.33, 47
55, 0.6, 27
0, 2.5, 6
56, 0.37, 82
58, 0.51, 82
59, 0.28, 66
60, 0.23, 65
61, 0.33, 75
62, 0.33, 75
63, 0.32, 84
65, 0.6, 83
67, 0.79, 74
68, 0.6, 35
0, 1.1, 16
58, 0.51, 43
71, 0.14, 89
70, 0.28, 84
69, 0.28, 87
66, 0.33, 74
61, 0.23, 79
59, 0.19, 79
58, 0.19, 76
57, 0.19, 60
56, 0.23, 73
55, 0.28, 68
51, 0.14, 75
50, 0.33, 62
48, 0.37, 79
47, 0.6, 74
46, 0.42, 67
45, 0.56, 89
56, 0.74, 61
49, 0.74, 12
0, 2.8, 5
51, 0.37, 83
58, 0.37, 80
60, 0.28, 74
53, 0.33, 67
60, 0.37, 68
62, 0.33, 48
55, 0.33, 58
62, 0.32, 76
64, 0.37, 75
57, 0.28, 73
64, 0.46, 87
65, 0.09, 81
66, 0.05, 82
65, 0.05, 79
66, 0.65, 28
0, 0.09, 57
49, 0.46, 67
56, 0.32, 79
58, 0.33, 56
51, 0.23, 77
58, 0.37, 60
60, 0.23, 20
53, 0.37, 23
60, 0.33, 76
62, 0.32, 49
55, 0.28, 61
62, 0.37, 78
64, 0.56, 14
0, 1.0, 15
61, 0.42, 74
68, 0.37, 83
70, 0.46, 37
60, 0.37, 46
67, 0.28, 78
69, 0.37, 48
58, 0.37, 74
65, 0.33, 81
67, 0.33, 80
63, 0.37, 52
70, 0.42, 90
72, 0.37, 59
56, 0.65, 76
63, 0.33, 93
65, 0.37, 94
66, 0.23, 93
65, 0.37, 87
63, 0.28, 87
62, 0.33, 81
61, 0.56, 32
0, 4.7, 4
58, 0.46, 83
54, 0.33, 79
59, 0.28, 90
58, 0.42, 70
54, 0.23, 71
59, 0.37, 83
58, 0.42, 69
54, 0.33, 71
59, 0.28, 83
58, 0.46, 64
54, 0.23, 73
59, 0.33, 81
58, 0.37, 67
54, 0.33, 66
61, 0.42, 83
63, 0.46, 76
60, 0.37, 61
55, 0.37, 40
60, 0.19, 72
59, 0.42, 70
55, 0.23, 71
52, 0.33, 65
60, 0.23, 78
59, 0.37, 74
55, 0.33, 70
51, 0.28, 69
50, 0.33, 79
58, 0.37, 79
62, 0.33, 53
61, 0.28, 73
59, 0.37, 78
57, 0.65, 30
0, 0.84, 23
58, 0.33, 60
53, 0.28, 73
51, 0.33, 77
56, 0.33, 85
58, 0.37, 73
53, 0.14, 61
51, 0.37, 64
60, 0.37, 72
62, 0.28, 64
57, 0.37, 75
55, 0.33, 71
64, 0.33, 90
66, 0.37, 70
61, 0.37, 71
59, 0.46, 79
68, 0.46, 91
69, 0.09, 88
70, 0.05, 83
69, 0.51, 69
70, 0.14, 71
63, 0.37, 70
61, 0.46, 19
0, 1.6, 11
62, 0.28, 99
64, 0.74, 90
62, 0.09, 60
61, 0.46, 66
62, 0.28, 56
57, 0.28, 81
59, 0.33, 80
55, 0.33, 71
54, 0.37, 54
52, 0.32, 68
55, 0.42, 55
61, 0.37, 68
62, 0.42, 21
0, 5.0, 1
53, 0.84, 72
60, 1.2, 43
61, 0.84, 37
63, 0.14, 81
65, 0.42, 80
66, 0.51, 60
65, 0.14, 67
60, 0.79, 63
62, 0.88, 41
0, 0.98, 18
63, 0.6, 86
65, 0.28, 86
66, 0.32, 89
67, 0.6, 79
65, 1.1, 81
62, 0.74, 44
0, 0.28, 74
67, 0.84, 41
0, 0.88, 15
72, 0.42, 104
71, 0.28, 89
68, 0.33, 80
66, 0.32, 79
65, 0.28, 94
64, 0.23, 84
62, 0.28, 75
60, 0.33, 70
59, 0.28, 77
57, 0.37, 69
54, 0.28, 71
52, 0.42, 66
50, 0.42, 59
55, 0.37, 52
60, 0.37, 80
65, 0.42, 93
67, 0.23, 96
68, 0.28, 71
63, 0.42, 58
61, 0.46, 48
54, 0.42, 60
59, 0.51, 62
58, 0.37, 51
54, 0.28, 51
56, 0.56, 60
51, 0.93, 32
56, 0.37, 14
55, 0.46, 6
0, 3.6, 2
54, 1.4, 32
0, 1.7, 9
61, 0.65, 71
63, 0.79, 35
0, 0.37, 32
54, 1.4, 44
0, 1.7, 8
61, 0.65, 74
63, 0.6, 31
54, 0.79, 44
53, 1.5, 49
0, 0.98, 12
61, 0.7, 58
63, 0.56, 35
53, 0.98, 55
62, 0.93, 53
0, 0.33, 53
65, 1.1, 51
0, 0.05, 71
