note, length, volume
0, 1.4, 7
56, 1.2, 70
58, 0.6, 78
60, 0.7, 79
63, 0.79, 67
61, 0.93, 61
65, 1.7, 68
62, 0.14, 26
63, 0.05, 36
62, 0.14, 18
63, 0.28, 1
0, 0.98, 11
55, 0.65, 70
63, 0.51, 75
60, 0.6, 63
53, 0.74, 62
55, 0.51, 59
51, 0.6, 58
58, 0.98, 47
49, 1.1, 35
0, 1.4, 13
72, 0.42, 51
60, 0.93, 55
67, 0.42, 77
66, 0.23, 69
67, 0.14, 67
63, 0.74, 46
0, 1.5, 6
49, 0.42, 59
53, 0.56, 28
60, 0.51, 79
63, 0.51, 42
70, 1.0, 39
0, 0.14, 62
60, 0.74, 39
0, 1.9, 6
72, 0.51, 89
70, 0.28, 85
68, 0.23, 85
67, 0.42, 84
65, 0.46, 80
63, 0.51, 72
61, 0.46, 72
60, 0.6, 70
58, 0.65, 68
56, 0.6, 61
55, 0.46, 49
53, 0.46, 40
51, 0.46, 29
49, 0.42, 46
72, 0.46, 50
46, 0.65, 12
0, 1.1, 17
44, 0.65, 78
58, 0.56, 73
63, 0.93, 55
48, 0.09, 70
72, 0.05, 60
48, 0.56, 56
55, 0.42, 51
63, 0.51, 72
67, 0.51, 84
72, 0.98, 56
0, 0.84, 19
75, 1.1, 77
73, 0.7, 76
63, 0.46, 64
72, 0.56, 60
61, 0.37, 53
70, 0.42, 39
60, 0.46, 48
68, 0.6, 34
0, 1.3, 10
58, 0.32, 69
63, 0.28, 82
66, 0.23, 79
65, 0.42, 83
68, 0.05, 88
67, 0.51, 83
65, 0.37, 80
63, 0.32, 77
60, 0.42, 71
61, 0.28, 65
65, 0.28, 71
63, 0.42, 69
60, 0.37, 63
61, 0.28, 35
56, 0.32, 62
60, 0.33, 62
58, 0.37, 60
55, 0.32, 45
53, 0.42, 31
51, 0.6, 4
0, 1.3, 11
55, 0.28, 66
56, 0.19, 76
58, 0.28, 72
61, 0.09, 82
60, 0.19, 74
58, 0.37, 57
51, 0.23, 56
55, 0.37, 71
58, 0.33, 68
56, 0.37, 55
49, 0.32, 54
51, 0.19, 60
53, 0.23, 64
58, 0.28, 64
56, 0.28, 62
55, 0.28, 33
48, 0.28, 52
49, 0.33, 51
51, 0.33, 57
53, 0.33, 54
55, 0.23, 45
56, 0.37, 47
58, 0.37, 64
60, 0.65, 10
0, 1.7, 4
53, 0.42, 64
56, 0.33, 73
60, 0.42, 80
63, 0.42, 82
65, 0.7, 77
61, 0.37, 72
63, 0.37, 71
60, 0.42, 71
58, 0.37, 60
55, 0.37, 54
53, 0.37, 45
51, 0.42, 45
55, 0.28, 62
58, 0.33, 58
56, 0.37, 45
53, 0.33, 42
58, 0.42, 43
55, 0.37, 40
60, 0.33, 61
56, 0.46, 47
61, 0.19, 74
60, 0.46, 71
63, 0.28, 67
60, 0.32, 70
61, 0.37, 69
65, 0.37, 76
67, 0.6, 39
0, 1.5, 0
48, 0.46, 41
51, 0.28, 53
49, 0.33, 59
53, 0.28, 63
51, 0.37, 52
49, 0.28, 57
55, 0.28, 65
53, 0.28, 67
56, 0.33, 68
55, 0.23, 50
51, 0.28, 64
56, 0.28, 66
55, 0.23, 70
58, 0.23, 62
56, 0.32, 53
53, 0.14, 71
58, 0.33, 62
56, 0.32, 74
60, 0.14, 62
58, 0.33, 55
55, 0.28, 56
60, 0.23, 67
58, 0.42, 65
60, 0.28, 50
56, 0.33, 45
61, 0.23, 46
58, 0.33, 40
63, 0.23, 59
60, 0.28, 51
58, 0.51, 9
0, 0.79, 15
56, 0.05, 68
0, 0.05, 44
56, 0.23, 69
60, 0.14, 73
58, 0.42, 66
60, 0.37, 65
56, 0.28, 67
63, 0.23, 72
61, 0.28, 77
65, 0.28, 73
63, 0.23, 70
60, 0.28, 65
65, 0.33, 69
63, 0.14, 79
67, 0.32, 78
65, 0.37, 63
61, 0.14, 78
67, 0.23, 73
65, 0.33, 77
67, 0.51, 61
63, 0.19, 72
67, 0.28, 78
65, 0.32, 29
69, 0.23, 81
67, 0.51, 53
68, 0.37, 74
71, 0.23, 39
70, 0.19, 54
68, 0.65, 28
0, 2.2, 6
70, 0.23, 90
72, 0.33, 80
73, 0.19, 53
75, 0.14, 81
72, 0.33, 73
68, 0.19, 79
67, 0.28, 76
68, 0.19, 81
72, 0.37, 62
73, 0.09, 76
67, 0.33, 74
68, 0.23, 75
65, 0.32, 69
67, 0.14, 63
70, 0.32, 69
72, 0.09, 82
67, 0.32, 76
65, 0.28, 68
63, 0.28, 72
65, 0.09, 79
68, 0.46, 44
65, 0.65, 64
61, 0.42, 41
67, 0.6, 50
63, 0.28, 42
61, 0.19, 61
60, 0.23, 32
61, 0.23, 33
67, 0.37, 58
