note, length, volume
0, 0.23, 59
59, 0.14, 64
58, 0.46, 60
59, 0.51, 62
62, 0.98, 65
65, 1.0, 59
63, 0.05, 69
64, 0.19, 68
63, 0.09, 60
64, 0.46, 55
62, 0.56, 59
64, 1.1, 41
0, 1.5, 8
59, 0.56, 64
62, 0.46, 69
60, 1.1, 71
57, 1.4, 59
54, 0.28, 52
52, 0.51, 46
50, 0.46, 33
54, 0.7, 39
52, 1.1, 31
0, 1.5, 6
55, 0.33, 70
57, 0.37, 78
59, 0.79, 78
57, 0.33, 64
55, 0.33, 54
54, 0.46, 55
57, 0.65, 62
64, 1.2, 66
62, 0.37, 69
60, 0.46, 65
57, 0.46, 67
59, 0.37, 59
55, 0.46, 53
52, 0.51, 59
57, 0.65, 56
54, 0.23, 56
52, 0.33, 49
50, 0.6, 20
0, 1.6, 9
59, 0.33, 72
57, 0.46, 67
60, 0.32, 73
59, 0.42, 59
55, 0.33, 48
54, 0.37, 54
57, 0.37, 56
55, 0.37, 55
52, 0.42, 54
50, 0.46, 42
54, 0.37, 46
52, 0.46, 52
54, 0.42, 56
57, 0.51, 62
55, 0.42, 61
59, 0.46, 68
62, 0.6, 71
65, 0.14, 60
66, 1.2, 33
0, 2.8, 4
67, 0.6, 69
66, 0.32, 58
64, 0.28, 63
62, 0.79, 45
0, 0.14, 78
60, 0.23, 68
59, 0.33, 68
57, 0.98, 42
55, 0.23, 49
54, 0.33, 49
52, 0.79, 31
0, 2.6, 4
57, 0.33, 72
59, 0.46, 57
60, 0.37, 77
62, 0.28, 68
64, 0.84, 66
66, 0.65, 60
67, 0.65, 62
69, 0.37, 74
71, 1.3, 57
0, 1.3, 8
72, 0.37, 88
71, 0.33, 68
67, 0.33, 68
69, 0.28, 76
70, 0.37, 64
67, 0.37, 56
64, 0.37, 59
67, 0.37, 60
69, 0.19, 57
66, 0.42, 65
62, 0.37, 62
66, 0.37, 65
67, 0.37, 57
64, 0.33, 56
60, 0.37, 49
64, 0.33, 61
66, 0.33, 68
62, 0.28, 63
59, 0.42, 70
62, 0.33, 68
64, 0.74, 25
0, 1.4, 7
64, 0.33, 82
60, 0.33, 71
57, 0.33, 65
60, 0.37, 73
62, 0.28, 65
59, 0.33, 56
55, 0.33, 63
59, 0.33, 68
60, 0.46, 64
57, 0.33, 52
62, 0.37, 59
59, 0.37, 58
55, 0.42, 50
54, 0.42, 46
52, 0.42, 52
55, 0.37, 51
57, 0.56, 47
54, 0.65, 39
55, 0.7, 27
50, 0.88, 32
55, 0.56, 10
0, 2.9, 4
57, 1.5, 62
59, 0.33, 48
60, 0.93, 71
62, 0.23, 65
59, 0.33, 69
57, 0.46, 66
60, 1.0, 37
0, 0.88, 18
60, 0.79, 82
62, 0.28, 73
64, 0.33, 74
62, 0.33, 73
60, 0.28, 69
64, 0.37, 73
62, 0.84, 46
0, 0.93, 14
66, 0.42, 70
67, 0.33, 75
69, 1.1, 70
66, 0.33, 67
64, 0.37, 74
62, 0.33, 69
66, 0.37, 70
67, 0.79, 57
60, 0.84, 41
0, 1.4, 11
66, 0.32, 81
64, 0.33, 80
62, 0.28, 82
60, 0.28, 78
59, 0.42, 75
57, 0.51, 67
62, 0.33, 75
59, 0.46, 65
54, 0.46, 55
50, 0.46, 58
55, 0.42, 67
62, 0.65, 72
67, 1.9, 60
0, 3.3, 4
71, 0.7, 93
69, 0.74, 74
66, 1.3, 67
64, 1.4, 67
66, 1.0, 40
0, 0.33, 53
71, 0.65, 86
69, 0.7, 68
67, 0.7, 71
66, 0.65, 66
64, 0.7, 56
60, 0.6, 63
59, 0.56, 36
0, 0.79, 21
59, 0.7, 71
62, 0.74, 45
0, 0.56, 25
57, 0.7, 67
59, 0.7, 65
64, 1.0, 49
0, 0.37, 39
59, 0.6, 39
57, 0.74, 61
55, 2.6, 54
54, 0.33, 62
52, 1.1, 43
0, 3.9, 1
50, 0.51, 67
52, 0.33, 72
57, 0.42, 76
59, 0.42, 58
54, 0.46, 59
55, 0.37, 65
62, 0.42, 69
59, 0.51, 64
55, 0.7, 55
52, 0.37, 58
50, 0.33, 44
48, 1.0, 43
52, 0.37, 61
55, 0.33, 64
60, 0.46, 47
54, 0.65, 16
0, 1.0, 11
57, 0.51, 75
62, 0.79, 80
64, 0.28, 73
66, 0.33, 70
67, 0.6, 70
62, 0.56, 75
60, 0.51, 62
55, 0.37, 58
52, 0.42, 36
48, 0.46, 42
50, 0.37, 64
59, 0.6, 70
57, 0.46, 39
50, 0.42, 33
55, 0.6, 14
0, 1.9, 8
59, 0.28, 78
57, 0.33, 76
59, 0.28, 51
54, 0.28, 58
52, 0.37, 67
57, 0.37, 73
59, 0.33, 50
54, 0.42, 59
57, 0.28, 58
55, 0.33, 64
57, 0.28, 57
52, 0.33, 51
50, 0.23, 57
55, 0.42, 63
57, 0.33, 43
50, 0.37, 48
54, 0.37, 59
55, 0.33, 50
54, 0.42, 52
55, 0.79, 25
0, 1.4, 12
59, 0.33, 78
60, 0.37, 85
62, 0.33, 81
64, 0.37, 75
66, 0.28, 73
64, 0.37, 79
62, 0.37, 75
59, 0.51, 68
60, 0.28, 75
62, 0.28, 66
64, 0.42, 53
57, 0.28, 73
59, 0.42, 59
60, 0.33, 70
62, 0.28, 69
59, 0.37, 72
57, 0.42, 58
55, 0.33, 67
59, 0.42, 70
60, 0.28, 66
59, 0.42, 66
60, 0.28, 63
57, 0.42, 64
59, 0.33, 63
57, 0.42, 62
59, 0.32, 33
54, 0.37, 47
55, 0.33, 47
50, 0.37, 42
55, 0.28, 49
54, 0.46, 49
55, 0.46, 13
0, 2.5, 5
59, 0.42, 65
60, 0.37, 81
62, 0.28, 76
64, 0.42, 69
66, 0.98, 68
62, 0.19, 66
59, 0.42, 68
55, 0.42, 59
60, 0.33, 74
62, 0.33, 77
64, 0.33, 81
67, 0.42, 86
71, 2.2, 82
69, 0.37, 52
67, 0.84, 23
0, 2.3, 6
74, 1.3, 65
0, 0.46, 41
71, 0.33, 82
69, 0.37, 67
67, 0.37, 68
66, 0.56, 67
72, 1.8, 86
69, 0.33, 68
67, 0.33, 69
66, 0.33, 61
64, 0.37, 76
71, 0.98, 60
0, 0.88, 13
66, 0.74, 72
67, 1.5, 71
69, 0.98, 42
0, 0.79, 16
66, 0.37, 74
67, 0.37, 77
62, 0.37, 72
59, 0.51, 60
60, 1.2, 35
0, 0.23, 52
57, 0.37, 71
59, 0.37, 55
55, 0.33, 60
