note, length, volume
0, 0.19, 38
57, 0.42, 11
0, 0.46, 38
61, 0.28, 66
64, 0.46, 66
61, 0.37, 60
62, 0.56, 55
59, 0.42, 66
58, 0.42, 70
55, 0.37, 66
56, 1.0, 56
57, 0.88, 15
0, 0.93, 15
59, 0.42, 65
62, 0.32, 70
61, 0.84, 72
60, 0.09, 19
61, 0.23, 39
56, 0.6, 59
52, 0.65, 47
50, 0.7, 48
54, 0.7, 54
56, 0.7, 56
57, 0.65, 16
0, 0.93, 15
61, 0.51, 80
65, 0.65, 73
62, 0.79, 41
0, 0.65, 19
57, 0.46, 74
64, 0.51, 65
61, 0.88, 36
0, 0.56, 15
56, 0.51, 63
62, 0.7, 63
59, 0.09, 61
58, 0.05, 62
59, 0.19, 59
58, 0.09, 55
59, 0.98, 51
54, 0.46, 50
52, 0.42, 62
57, 0.37, 61
61, 0.42, 62
59, 0.46, 60
57, 0.37, 50
56, 0.14, 17
57, 0.23, 0
0, 0.88, 17
56, 0.28, 62
54, 0.23, 59
52, 0.32, 62
56, 0.33, 61
62, 0.56, 63
61, 0.46, 57
59, 0.46, 23
0, 0.98, 18
67, 0.46, 71
68, 0.09, 68
67, 0.14, 62
68, 0.14, 56
67, 0.14, 40
68, 0.14, 8
67, 0.09, 0
0, 1.7, 11
65, 0.42, 63
64, 0.51, 47
59, 0.51, 48
62, 0.56, 53
64, 0.42, 51
61, 0.37, 35
56, 0.42, 56
59, 0.37, 50
62, 0.32, 53
61, 0.42, 29
52, 0.51, 48
56, 0.51, 50
57, 0.79, 17
0, 1.5, 8
59, 0.6, 70
65, 0.19, 79
66, 0.05, 81
65, 0.14, 72
66, 0.84, 48
61, 0.51, 62
64, 0.65, 25
0, 1.4, 7
56, 0.56, 60
64, 0.83, 23
0, 0.47, 29
54, 0.6, 51
62, 1.6, 53
52, 0.56, 48
61, 0.88, 30
0, 0.88, 9
50, 0.65, 54
61, 1.3, 37
0, 1.1, 13
47, 0.46, 54
56, 0.74, 53
64, 0.09, 67
63, 0.46, 54
64, 0.56, 21
49, 0.56, 37
62, 0.79, 63
65, 0.42, 73
66, 0.42, 33
0, 1.2, 13
52, 0.84, 62
59, 0.46, 39
68, 1.7, 55
0, 0.28, 50
57, 0.79, 37
0, 1.7, 12
73, 0.33, 85
71, 0.32, 82
69, 0.28, 73
68, 0.33, 77
66, 0.32, 67
64, 0.33, 54
62, 0.28, 57
61, 0.32, 62
59, 0.33, 67
57, 0.37, 63
56, 0.42, 54
52, 0.42, 57
47, 0.7, 27
0, 1.1, 13
71, 0.6, 74
69, 0.37, 71
68, 0.19, 71
66, 0.33, 59
64, 0.37, 46
62, 0.28, 51
61, 0.33, 56
59, 0.33, 63
57, 0.33, 61
56, 0.42, 57
54, 0.37, 48
50, 0.42, 34
47, 1.2, 24
0, 1.3, 10
68, 0.37, 81
66, 0.28, 72
64, 0.33, 68
62, 0.28, 70
61, 0.37, 66
59, 0.37, 70
57, 0.33, 65
56, 0.32, 61
54, 0.32, 63
52, 0.37, 66
50, 0.33, 61
47, 0.37, 27
0, 3.7, 3
54, 0.37, 64
57, 0.42, 59
61, 0.33, 66
64, 0.37, 69
62, 0.37, 67
59, 0.37, 60
56, 0.46, 52
52, 0.42, 52
61, 0.37, 54
59, 0.51, 62
57, 0.84, 33
0, 0.93, 18
62, 0.79, 72
61, 0.37, 67
59, 0.56, 63
56, 0.42, 51
52, 0.37, 57
61, 0.46, 62
59, 0.84, 35
0, 1.6, 12
61, 0.56, 49
