note, length, volume
0, 0.19, 68
59, 0.56, 83
63, 0.33, 82
61, 0.33, 77
59, 0.42, 81
58, 0.46, 80
56, 0.56, 72
54, 0.37, 70
58, 0.7, 76
59, 0.37, 53
52, 0.37, 63
56, 0.65, 64
51, 0.56, 57
54, 0.6, 7
0, 0.84, 17
54, 0.28, 70
52, 0.37, 73
49, 0.33, 71
56, 1.3, 63
54, 0.33, 67
51, 0.33, 72
49, 0.32, 69
47, 0.42, 75
46, 0.7, 37
0, 0.84, 18
58, 0.33, 73
56, 0.46, 65
54, 0.42, 50
61, 0.79, 36
0, 0.05, 42
51, 1.3, 64
61, 1.2, 61
63, 0.84, 41
0, 1.3, 11
59, 0.28, 76
58, 0.37, 65
59, 0.42, 14
0, 0.74, 16
54, 0.46, 70
58, 0.56, 78
63, 0.6, 73
59, 0.56, 57
52, 0.46, 72
56, 0.42, 78
63, 0.88, 73
61, 0.79, 31
0, 1.0, 9
56, 1.1, 58
54, 0.42, 60
52, 0.37, 67
56, 0.37, 65
54, 0.37, 63
52, 0.46, 68
51, 0.46, 72
49, 0.46, 66
52, 0.51, 66
56, 0.46, 62
59, 0.51, 63
63, 0.7, 54
54, 0.56, 47
59, 0.42, 19
0, 5.0, 3
59, 0.74, 71
61, 0.7, 75
63, 0.65, 74
64, 0.7, 70
66, 0.56, 34
0, 1.0, 8
56, 1.1, 46
0, 1.0, 19
67, 0.7, 78
66, 0.05, 64
65, 0.05, 63
66, 0.51, 68
64, 0.65, 65
63, 0.6, 71
61, 0.6, 30
0, 0.88, 14
56, 1.1, 71
59, 0.7, 44
0, 0.51, 21
64, 0.65, 82
63, 0.56, 80
61, 0.51, 72
64, 0.65, 64
54, 0.42, 64
58, 0.56, 68
59, 0.42, 65
63, 0.56, 43
0, 0.79, 12
52, 0.47, 77
56, 0.46, 75
59, 0.56, 74
63, 0.46, 78
61, 0.7, 51
54, 0.56, 67
59, 0.33, 65
58, 0.19, 28
59, 0.19, 0
0, 0.88, 12
52, 0.42, 78
58, 0.6, 71
51, 0.42, 72
49, 0.46, 74
58, 0.46, 76
59, 0.42, 62
54, 0.42, 64
52, 0.37, 74
58, 0.42, 71
59, 0.28, 65
61, 0.42, 73
63, 0.46, 62
59, 0.42, 56
56, 0.56, 62
63, 0.46, 67
64, 0.51, 19
0, 1.6, 9
61, 0.28, 87
63, 0.23, 80
64, 0.28, 84
63, 0.23, 71
61, 0.28, 68
59, 0.28, 72
58, 0.37, 73
56, 0.79, 43
0, 0.7, 22
58, 0.33, 74
61, 0.37, 45
54, 0.28, 71
58, 0.28, 69
56, 0.37, 62
54, 0.37, 58
61, 0.7, 59
59, 1.0, 34
51, 0.97, 35
0, 3.3, 3
54, 0.84, 74
56, 0.84, 76
51, 0.32, 73
47, 0.84, 40
0, 0.14, 83
58, 0.65, 50
49, 0.88, 45
54, 0.42, 69
