note, length, volume
0, 2.1, 7
58, 0.42, 80
62, 0.37, 83
65, 0.46, 83
66, 0.46, 76
63, 0.37, 74
62, 0.37, 69
60, 0.42, 81
63, 0.37, 80
67, 0.32, 76
69, 0.42, 76
68, 0.46, 81
69, 0.05, 85
67, 0.42, 85
65, 0.37, 83
63, 0.23, 69
62, 0.65, 31
0, 0.88, 24
60, 0.42, 60
53, 0.28, 73
58, 0.37, 69
51, 0.37, 74
58, 0.6, 59
50, 0.51, 64
53, 0.09, 79
57, 0.37, 79
60, 0.28, 78
58, 0.42, 79
62, 0.32, 88
65, 0.7, 84
63, 0.6, 74
62, 0.28, 64
72, 0.05, 53
58, 0.37, 57
57, 0.33, 49
55, 0.28, 53
53, 0.37, 43
58, 0.51, 12
0, 1.5, 10
58, 0.28, 81
57, 0.32, 76
55, 0.33, 77
53, 0.28, 77
51, 0.23, 76
50, 0.51, 64
60, 0.33, 79
57, 0.28, 72
53, 0.42, 68
50, 0.42, 66
46, 0.37, 68
58, 1.0, 64
55, 0.32, 58
51, 0.46, 66
60, 0.51, 27
51, 0.37, 62
60, 0.32, 48
53, 0.37, 61
60, 0.46, 28
53, 0.33, 45
60, 0.51, 29
0, 0.88, 13
53, 0.42, 75
62, 0.37, 85
64, 0.28, 78
65, 0.33, 30
53, 0.46, 67
58, 0.46, 74
62, 0.28, 76
60, 0.33, 72
57, 0.74, 58
66, 0.14, 89
67, 0.14, 86
66, 0.09, 71
67, 0.6, 35
0, 1.8, 11
67, 0.37, 94
68, 0.05, 82
69, 0.56, 68
70, 0.56, 16
0, 0.37, 50
60, 0.09, 82
62, 0.28, 83
63, 0.6, 40
0, 0.6, 28
68, 0.23, 92
67, 0.23, 90
65, 1.1, 53
53, 0.33, 70
58, 0.37, 81
65, 0.51, 76
62, 0.65, 35
0, 1.3, 11
62, 0.37, 78
65, 0.42, 73
63, 0.46, 38
55, 0.37, 35
51, 0.6, 65
53, 0.42, 63
62, 0.56, 74
63, 0.51, 72
60, 0.65, 68
58, 2.6, 41
0, 1.5, 11
58, 0.84, 78
55, 1.4, 60
57, 1.8, 66
58, 1.2, 52
51, 1.8, 45
0, 1.2, 15
60, 0.79, 61
51, 0.84, 63
62, 0.97, 58
53, 0.84, 61
60, 0.88, 47
0, 0.14, 33
51, 1.0, 61
50, 1.5, 41
0, 3.3, 3
53, 0.93, 54
63, 1.2, 74
62, 0.42, 68
60, 0.7, 49
0, 0.32, 48
67, 0.93, 53
0, 1.1, 17
65, 0.37, 68
57, 0.37, 76
63, 0.56, 50
57, 0.51, 64
62, 0.74, 41
0, 0.93, 20
60, 0.32, 72
58, 0.33, 72
57, 0.37, 65
55, 0.37, 63
53, 0.37, 60
51, 0.37, 64
50, 0.42, 70
48, 0.6, 26
0, 0.79, 16
55, 0.42, 71
53, 0.51, 58
62, 0.37, 80
60, 0.46, 52
53, 0.46, 68
58, 0.7, 57
63, 0.23, 83
62, 0.42, 80
63, 0.56, 65
60, 0.46, 23
0, 0.84, 17
55, 0.46, 50
65, 0.28, 80
64, 0.33, 85
65, 0.51, 77
62, 0.65, 39
0, 0.84, 24
60, 0.23, 83
63, 0.19, 89
67, 0.28, 89
65, 0.33, 82
63, 0.28, 77
62, 0.37, 76
60, 0.42, 47
53, 0.33, 63
58, 0.56, 24
0, 2.0, 9
62, 0.32, 90
60, 0.37, 60
53, 0.32, 71
58, 0.33, 79
62, 0.19, 79
60, 0.46, 28
53, 0.37, 73
58, 0.56, 77
63, 0.19, 79
62, 0.37, 49
55, 0.23, 74
57, 0.42, 65
63, 0.09, 82
62, 0.37, 53
55, 0.28, 73
57, 0.46, 20
0, 0.56, 34
65, 0.28, 87
63, 0.33, 55
57, 0.33, 76
58, 0.28, 77
65, 0.28, 77
63, 0.32, 51
57, 0.33, 76
58, 0.37, 76
60, 0.33, 82
62, 0.37, 86
63, 0.33, 89
65, 0.42, 87
67, 0.42, 85
69, 0.65, 41
53, 0.74, 34
0, 1.8, 10
69, 0.09, 76
70, 0.05, 72
69, 0.32, 36
70, 0.05, 76
58, 0.65, 54
65, 0.46, 7
0, 0.28, 66
65, 0.56, 82
63, 0.37, 55
53, 0.42, 69
60, 0.56, 57
66, 0.14, 69
67, 0.05, 60
66, 0.14, 17
67, 0.23, 0
0, 1.2, 15
65, 0.23, 87
63, 0.09, 68
64, 0.09, 78
63, 0.09, 90
65, 0.33, 80
63, 0.23, 77
62, 0.32, 78
63, 0.23, 73
62, 0.33, 63
53, 0.37, 54
62, 0.28, 82
63, 0.33, 75
60, 0.37, 49
53, 0.23, 64
62, 0.28, 76
60, 0.33, 74
58, 0.33, 59
55, 0.28, 52
53, 0.33, 43
51, 0.32, 47
50, 0.6, 19
0, 3.1, 5
50, 0.28, 75
51, 0.33, 69
53, 0.32, 72
60, 0.32, 69
58, 0.37, 68
57, 0.88, 43
48, 0.37, 66
50, 0.42, 65
51, 0.19, 65
58, 0.37, 70
57, 0.42, 60
55, 0.56, 16
0, 1.0, 16
57, 0.33, 76
58, 0.42, 79
60, 0.32, 77
65, 0.42, 48
55, 0.33, 73
63, 0.42, 54
62, 0.46, 46
53, 0.32, 65
60, 0.46, 68
67, 0.74, 40
0, 0.79, 10
53, 0.98, 40
63, 0.46, 63
53, 0.32, 77
65, 0.28, 38
53, 0.37, 34
67, 0.51, 47
60, 0.6, 29
0, 1.2, 13
62, 0.33, 87
65, 0.19, 95
67, 0.7, 90
65, 0.42, 79
62, 0.7, 42
0, 0.56, 14
53, 0.28, 75
57, 0.33, 69
60, 0.14, 91
63, 0.28, 88
65, 0.28, 86
67, 0.28, 86
65, 0.28, 85
63, 0.88, 62
53, 0.74, 37
0, 0.98, 19
55, 0.41, 72
63, 0.09, 90
62, 0.42, 84
60, 0.05, 82
57, 0.28, 78
55, 0.37, 78
53, 0.56, 76
51, 0.42, 73
62, 0.05, 95
60, 0.23, 82
58, 0.37, 67
55, 0.09, 75
51, 0.18, 64
50, 0.37, 58
48, 0.37, 64
53, 0.51, 65
58, 0.65, 62
62, 0.6, 57
65, 0.65, 49
64, 0.05, 68
58, 0.56, 26
0, 3.5, 4
60, 0.88, 88
65, 0.14, 88
64, 0.23, 84
65, 0.56, 69
60, 0.42, 85
65, 0.46, 66
60, 0.37, 80
65, 0.46, 45
62, 0.7, 71
58, 0.51, 84
60, 0.37, 78
65, 0.42, 56
60, 0.37, 87
65, 0.42, 52
60, 0.37, 86
65, 0.37, 52
62, 0.56, 33
0, 0.84, 22
53, 0.37, 84
60, 0.37, 90
65, 0.37, 72
62, 0.33, 86
65, 0.42, 70
60, 0.33, 61
53, 0.51, 70
64, 0.42, 91
65, 0.6, 84
63, 0.56, 83
65, 0.33, 77
62, 0.33, 81
63, 0.33, 83
72, 0.23, 31
60, 0.09, 66
53, 0.37, 71
58, 0.46, 28
0, 1.3, 16
68, 0.32, 100
67, 0.28, 96
65, 0.32, 88
63, 0.23, 80
62, 0.28, 84
60, 0.28, 74
57, 0.46, 69
55, 0.65, 40
65, 0.42, 89
63, 0.28, 82
66, 0.23, 88
65, 0.33, 79
62, 0.23, 90
60, 0.28, 72
57, 0.42, 65
51, 0.37, 69
58, 0.51, 67
62, 0.46, 16
0, 1.0, 16
50, 0.33, 76
57, 0.51, 60
65, 0.84, 90
63, 0.28, 67
62, 0.84, 80
60, 0.42, 84
65, 0.19, 90
64, 0.37, 84
63, 0.51, 70
62, 0.56, 38
0, 1.4, 15
60, 0.33, 85
57, 0.33, 82
60, 0.23, 79
57, 0.32, 75
55, 0.23, 82
60, 0.37, 65
55, 0.14, 89
60, 0.28, 79
58, 0.42, 68
53, 0.28, 72
57, 0.37, 53
51, 0.37, 61
55, 0.51, 60
53, 0.37, 62
50, 1.2, 48
48, 0.84, 8
46, 0.51, 6
0, 2.1, 8
58, 0.56, 62
50, 0.28, 60
48, 0.33, 73
46, 0.28, 68
58, 0.6, 67
62, 0.23, 81
60, 0.32, 74
58, 0.7, 70
63, 0.14, 70
62, 0.19, 28
63, 0.14, 38
55, 0.33, 71
57, 0.28, 73
58, 0.6, 66
55, 0.6, 57
63, 0.23, 73
62, 0.28, 70
72, 0.65, 58
55, 0.23, 63
57, 0.37, 51
58, 0.23, 37
60, 0.28, 48
57, 0.46, 17
0, 0.88, 23
60, 0.28, 67
57, 0.28, 70
55, 0.28, 68
62, 0.23, 80
60, 0.42, 36
53, 0.33, 69
62, 0.37, 80
63, 0.19, 79
60, 0.28, 78
65, 0.33, 88
63, 0.37, 79
