note, length, volume
0, 0.61, 15
60, 0.33, 45
61, 0.19, 77
65, 1.5, 54
0, 0.79, 20
65, 0.09, 55
66, 0.05, 62
65, 0.51, 51
60, 1.1, 59
61, 0.51, 52
63, 0.84, 70
65, 0.32, 64
64, 0.09, 43
65, 0.09, 47
64, 0.19, 5
65, 0.09, 0
0, 2.7, 5
66, 0.46, 79
68, 0.46, 78
69, 0.65, 70
70, 0.98, 31
0, 0.33, 37
63, 0.79, 50
0, 0.28, 45
63, 0.65, 76
62, 0.05, 57
63, 0.46, 24
0, 1.4, 12
70, 0.51, 86
72, 0.51, 73
66, 0.65, 58
60, 0.93, 83
63, 0.93, 68
60, 0.98, 16
0, 2.2, 7
60, 0.6, 79
56, 0.6, 69
53, 0.6, 62
48, 0.6, 49
46, 0.93, 37
0, 1.3, 16
63, 0.05, 84
62, 0.05, 85
63, 0.09, 86
62, 0.32, 78
63, 0.05, 92
60, 0.6, 79
56, 0.7, 64
53, 0.6, 62
48, 0.74, 34
0, 2.0, 8
66, 0.05, 69
65, 0.51, 52
66, 0.05, 5
65, 0.05, 73
66, 0.19, 89
60, 0.74, 81
58, 0.56, 58
65, 0.65, 71
63, 0.51, 32
0, 0.84, 9
56, 0.7, 60
60, 0.51, 33
61, 0.05, 0
60, 0.05, 0
61, 0.14, 35
54, 0.56, 51
60, 0.79, 61
56, 1.2, 56
65, 1.3, 62
68, 0.37, 45
67, 0.14, 1
68, 0.18, 0
0, 0.46, 44
68, 0.84, 26
0, 2.9, 6
71, 0.14, 79
72, 0.09, 84
71, 0.09, 80
72, 0.93, 74
70, 0.46, 24
0, 0.37, 31
65, 0.7, 69
63, 0.6, 41
0, 1.0, 19
70, 0.93, 68
69, 0.09, 78
68, 0.46, 30
0, 0.42, 25
63, 0.79, 67
61, 0.65, 18
0, 0.98, 16
69, 0.65, 66
70, 0.19, 54
69, 0.14, 58
70, 0.05, 75
66, 0.6, 34
0, 0.33, 51
60, 0.74, 80
58, 0.6, 29
0, 0.98, 18
67, 0.56, 82
68, 1.2, 60
65, 0.6, 26
0, 0.28, 31
58, 1.6, 55
0, 2.2, 6
60, 0.33, 54
61, 0.42, 73
63, 0.51, 75
60, 0.79, 70
56, 0.74, 58
54, 0.7, 54
58, 0.74, 67
65, 0.84, 66
60, 0.84, 68
63, 0.79, 46
61, 0.6, 0
0, 2.1, 9
66, 0.19, 50
65, 1.2, 64
66, 0.37, 69
72, 0.93, 44
0, 1.1, 16
65, 0.42, 57
63, 0.42, 70
65, 0.84, 71
70, 1.0, 38
0, 1.6, 10
63, 0.23, 66
61, 0.28, 79
63, 0.46, 11
0, 0.79, 19
68, 0.93, 43
0, 0.7, 24
60, 0.37, 83
58, 0.93, 44
0, 0.65, 21
56, 0.74, 66
54, 0.84, 34
0, 1.9, 10
65, 0.37, 81
63, 0.33, 74
68, 0.19, 82
65, 0.46, 74
61, 0.37, 41
54, 0.37, 58
58, 0.65, 36
0, 0.84, 25
63, 0.74, 70
56, 0.42, 57
60, 0.46, 53
68, 0.32, 69
66, 0.42, 43
56, 0.7, 34
0, 0.84, 21
58, 0.28, 90
60, 0.42, 72
61, 0.28, 82
63, 0.37, 85
64, 0.65, 81
65, 0.6, 78
67, 0.09, 73
68, 0.14, 62
67, 0.14, 38
68, 0.14, 0
0, 2.2, 7
67, 0.23, 74
69, 0.32, 81
67, 0.19, 76
65, 0.32, 54
61, 0.28, 63
58, 0.46, 60
54, 0.88, 43
69, 0.28, 84
71, 0.28, 72
70, 0.19, 70
66, 0.33, 77
63, 0.33, 77
60, 0.42, 31
56, 0.65, 29
0, 1.2, 13
73, 0.33, 92
72, 0.32, 77
70, 0.23, 77
68, 0.33, 79
66, 0.23, 79
65, 0.37, 81
63, 0.33, 58
61, 0.23, 66
60, 0.42, 77
58, 0.33, 61
56, 0.42, 45
51, 0.32, 68
48, 0.37, 34
56, 0.37, 0
0, 1.3, 11
53, 0.46, 62
60, 0.56, 45
54, 0.32, 62
63, 0.42, 70
58, 0.37, 70
65, 0.46, 68
60, 0.42, 41
56, 0.65, 47
60, 0.46, 14
0, 3.2, 5
70, 0.79, 68
69, 0.05, 80
70, 0.05, 83
66, 0.42, 65
61, 0.23, 69
58, 0.42, 59
54, 0.84, 40
49, 0.65, 18
0, 0.93, 15
72, 1.3, 84
68, 0.33, 69
63, 0.37, 81
60, 0.37, 56
54, 0.33, 54
51, 0.79, 42
0, 1.0, 12
65, 0.65, 59
56, 0.42, 51
61, 0.09, 82
65, 0.37, 71
66, 0.32, 29
53, 0.37, 36
61, 0.28, 51
58, 0.84, 37
0, 0.84, 14
61, 0.28, 70
60, 0.56, 59
61, 0.84, 41
63, 0.46, 78
65, 0.46, 16
0, 1.9, 8
66, 0.19, 63
65, 0.46, 63
63, 0.42, 42
61, 0.32, 30
60, 0.56, 50
58, 0.51, 45
56, 0.56, 25
0, 1.0, 18
68, 0.33, 55
66, 0.33, 64
65, 0.42, 72
63, 0.32, 50
61, 0.33, 41
60, 0.51, 62
58, 1.3, 50
0, 0.88, 23
69, 0.42, 73
70, 0.6, 57
68, 0.05, 71
67, 0.28, 71
66, 0.09, 49
65, 0.56, 73
63, 0.37, 46
61, 0.33, 40
60, 0.84, 46
0, 0.98, 12
72, 0.37, 85
70, 0.28, 78
68, 0.32, 74
66, 0.33, 77
65, 0.42, 79
63, 0.56, 64
60, 0.6, 29
0, 0.7, 21
75, 1.6, 58
0, 2.9, 6
63, 2.6, 71
61, 1.3, 17
60, 0.6, 0
0, 2.3, 5
58, 3.2, 62
56, 0.33, 54
55, 0.56, 39
56, 0.33, 0
0, 3.1, 3
53, 2.9, 60
54, 0.37, 38
53, 0.84, 14
54, 0.23, 0
0, 1.4, 13
60, 0.23, 88
59, 0.37, 83
60, 0.37, 76
59, 0.05, 70
60, 0.23, 66
59, 0.14, 64
60, 0.19, 59
59, 0.19, 52
60, 0.09, 56
59, 0.14, 51
60, 0.14, 56
59, 0.37, 58
58, 1.7, 50
0, 2.0, 8
63, 0.28, 81
62, 0.74, 63
63, 0.23, 0
0, 1.1, 8
56, 1.2, 60
60, 1.3, 68
64, 0.09, 71
65, 0.05, 73
64, 0.19, 75
65, 0.93, 42
0, 1.4, 6
54, 1.1, 55
58, 1.2, 60
63, 1.8, 59
0, 1.0, 9
51, 1.0, 60
56, 1.6, 50
61, 0.09, 28
60, 1.3, 15
0, 2.4, 7
60, 0.46, 83
63, 0.32, 65
61, 0.32, 60
58, 0.37, 64
56, 0.37, 54
54, 0.37, 46
53, 0.56, 31
0, 0.7, 19
58, 0.46, 58
60, 0.51, 71
58, 0.32, 62
56, 0.37, 56
53, 0.42, 48
51, 0.6, 29
0, 0.65, 19
54, 0.32, 61
60, 0.46, 35
54, 0.28, 52
63, 0.37, 52
54, 0.37, 50
63, 0.42, 40
53, 0.6, 25
0, 0.79, 22
56, 0.37, 70
58, 0.46, 50
65, 0.28, 78
63, 0.14, 50
61, 0.51, 41
62, 0.19, 55
61, 0.28, 63
60, 1.0, 34
61, 0.05, 0
0, 1.3, 12
67, 0.37, 80
66, 0.28, 79
65, 0.42, 82
63, 0.33, 78
60, 0.33, 69
58, 0.33, 61
56, 0.42, 42
65, 1.3, 62
63, 0.33, 27
60, 0.51, 62
58, 0.42, 38
54, 0.42, 5
0, 0.79, 20
58, 0.37, 62
53, 0.19, 57
54, 0.09, 73
58, 0.28, 65
56, 0.28, 75
60, 0.28, 75
63, 0.32, 58
72, 0.33, 35
60, 0.19, 0
0, 0.6, 17
56, 0.42, 70
51, 0.46, 61
53, 0.33, 60
56, 0.28, 72
60, 0.14, 86
63, 0.7, 67
60, 0.42, 19
0, 0.93, 10
54, 0.32, 68
51, 0.37, 70
56, 0.32, 60
53, 0.28, 69
60, 0.37, 42
54, 0.28, 34
61, 0.33, 53
58, 0.56, 72
63, 0.97, 46
61, 0.28, 7
60, 0.09, 0
0, 3.2, 4
65, 0.09, 82
64, 0.05, 80
65, 0.14, 76
