note, length, volume
0, 1.8, 7
60, 0.74, 67
64, 0.6, 59
62, 0.51, 59
59, 0.6, 63
55, 0.6, 53
64, 0.7, 60
66, 0.33, 42
67, 0.19, 0
0, 1.1, 13
57, 0.42, 67
60, 0.51, 73
62, 0.46, 71
67, 0.79, 78
69, 0.51, 62
64, 0.51, 57
62, 0.7, 49
67, 0.7, 37
0, 1.1, 13
71, 1.5, 77
68, 0.05, 77
69, 0.14, 69
68, 0.19, 65
69, 0.42, 67
67, 1.1, 68
65, 0.88, 63
64, 0.74, 10
0, 2.3, 7
62, 1.3, 78
59, 0.88, 58
52, 0.7, 50
60, 0.84, 65
57, 0.74, 55
62, 0.84, 50
64, 0.37, 33
63, 0.09, 0
64, 0.05, 0
63, 0.05, 0
0, 1.2, 9
55, 0.84, 58
60, 0.79, 48
65, 0.98, 71
69, 0.93, 47
0, 0.79, 19
72, 1.0, 90
74, 0.98, 64
71, 1.1, 61
57, 0.79, 32
0, 1.7, 9
67, 0.37, 86
65, 0.37, 77
64, 0.42, 66
62, 0.42, 70
67, 1.1, 63
59, 0.09, 60
58, 0.37, 50
59, 0.23, 38
65, 0.37, 76
64, 0.42, 66
62, 0.33, 63
60, 0.37, 68
65, 0.6, 40
0, 0.56, 19
57, 0.88, 43
64, 0.42, 68
62, 0.28, 71
60, 0.28, 66
59, 0.42, 63
63, 0.33, 51
64, 0.28, 27
55, 0.74, 39
0, 0.7, 19
62, 0.28, 88
60, 0.23, 69
59, 0.28, 67
57, 0.46, 57
62, 0.84, 49
55, 0.65, 61
53, 0.84, 32
0, 1.0, 9
52, 0.37, 58
55, 0.33, 69
60, 0.37, 55
62, 0.33, 62
59, 0.28, 60
55, 0.28, 59
53, 0.28, 65
57, 0.28, 72
60, 0.37, 73
62, 0.32, 63
59, 0.46, 51
67, 0.37, 64
64, 0.37, 31
53, 0.65, 20
0, 1.4, 6
53, 0.32, 59
55, 0.23, 63
57, 0.37, 63
60, 0.23, 69
62, 0.28, 74
64, 0.37, 70
62, 0.28, 62
59, 0.28, 66
57, 0.32, 63
