note, length, volume
0, 0.22, 69
62, 1.5, 58
0, 0.65, 18
61, 0.42, 73
64, 0.28, 81
62, 0.42, 80
65, 0.37, 82
67, 0.51, 84
69, 0.84, 77
68, 0.46, 74
66, 0.09, 74
64, 0.37, 82
62, 0.88, 52
0, 1.3, 14
61, 0.33, 87
64, 0.37, 87
62, 0.65, 62
57, 0.42, 73
61, 0.33, 75
59, 0.05, 78
58, 0.84, 70
55, 0.32, 65
54, 0.37, 60
52, 0.7, 70
51, 0.42, 56
52, 0.42, 43
55, 0.14, 77
59, 0.37, 72
62, 0.28, 74
65, 0.42, 76
63, 0.37, 60
61, 0.51, 44
59, 0.37, 40
57, 0.51, 18
0, 1.3, 6
55, 0.37, 73
59, 0.42, 75
62, 0.33, 78
66, 0.37, 80
69, 1.3, 60
0, 1.6, 12
69, 0.33, 93
68, 0.65, 87
69, 0.23, 85
68, 0.05, 76
69, 0.14, 84
66, 2.0, 79
62, 0.79, 74
58, 0.6, 31
0, 1.2, 16
69, 0.56, 89
66, 0.46, 85
62, 0.42, 84
59, 0.37, 79
58, 0.46, 77
65, 0.46, 76
62, 0.33, 70
61, 0.42, 70
59, 0.84, 73
57, 0.33, 68
55, 0.23, 57
54, 0.33, 59
52, 0.33, 61
50, 0.37, 62
49, 0.23, 48
47, 0.84, 27
0, 2.6, 2
54, 0.6, 69
57, 0.42, 61
61, 0.14, 82
64, 0.37, 82
62, 0.28, 66
61, 0.37, 70
62, 0.28, 75
59, 0.33, 70
55, 0.28, 62
54, 0.37, 30
52, 0.74, 48
55, 0.23, 75
59, 0.28, 78
62, 0.33, 78
66, 1.1, 72
64, 0.33, 35
61, 0.28, 24
57, 0.51, 9
0, 1.1, 16
69, 0.42, 87
67, 0.28, 87
66, 0.28, 81
64, 0.28, 78
62, 0.28, 72
61, 0.28, 74
59, 0.37, 77
57, 0.42, 39
71, 1.3, 83
69, 0.32, 78
67, 0.23, 82
66, 0.28, 77
64, 0.28, 78
62, 0.28, 62
61, 0.28, 61
59, 0.42, 69
57, 0.79, 38
0, 2.4, 4
55, 0.42, 75
59, 0.37, 69
61, 0.14, 69
57, 0.42, 79
59, 0.32, 67
61, 0.28, 75
62, 0.19, 75
59, 0.37, 65
61, 0.23, 75
62, 0.23, 75
63, 0.37, 65
60, 0.14, 72
62, 0.33, 77
64, 0.32, 73
66, 0.33, 71
62, 0.32, 76
64, 0.28, 75
66, 0.28, 80
67, 0.32, 73
64, 0.98, 56
66, 0.28, 73
67, 0.23, 67
68, 0.32, 66
65, 0.51, 51
66, 0.32, 3
0, 1.1, 14
67, 0.37, 91
69, 0.23, 94
71, 0.28, 90
67, 0.33, 80
64, 0.23, 60
61, 0.28, 62
57, 0.37, 65
54, 0.23, 71
57, 0.33, 60
61, 0.23, 71
64, 0.37, 86
66, 0.33, 77
67, 0.23, 5
0, 0.98, 18
66, 0.33, 81
62, 0.23, 78
59, 0.33, 67
55, 0.23, 57
52, 0.42, 53
49, 0.32, 60
52, 0.28, 63
55, 0.23, 70
59, 0.42, 72
62, 0.6, 32
0, 1.5, 6
52, 0.42, 71
59, 0.37, 82
62, 0.14, 86
66, 0.32, 85
69, 0.33, 91
73, 0.84, 52
0, 0.98, 18
67, 0.23, 92
66, 0.23, 84
64, 0.88, 44
0, 0.6, 35
69, 0.14, 99
67, 0.37, 89
65, 0.09, 80
66, 0.05, 85
65, 0.23, 75
66, 0.51, 34
61, 0.32, 79
62, 0.28, 76
64, 0.7, 62
59, 0.14, 67
61, 0.32, 71
62, 0.46, 30
0, 3.6, 6
62, 0.14, 89
61, 0.37, 85
59, 0.32, 68
61, 0.37, 75
62, 0.65, 68
57, 0.84, 74
55, 0.28, 71
57, 0.32, 75
59, 0.33, 71
55, 0.28, 65
52, 0.37, 58
54, 0.28, 70
55, 0.28, 43
50, 0.37, 70
49, 0.37, 67
52, 0.28, 53
57, 0.37, 56
55, 0.28, 49
54, 0.28, 28
52, 0.37, 41
50, 0.33, 43
49, 0.32, 38
47, 0.56, 10
0, 0.93, 11
54, 0.37, 71
50, 0.37, 77
59, 0.28, 80
57, 0.42, 68
61, 0.23, 78
59, 0.42, 71
64, 0.37, 79
62, 0.42, 80
66, 1.0, 51
0, 4.2, 3
67, 0.33, 85
66, 0.98, 68
59, 0.28, 71
57, 0.42, 66
64, 0.42, 76
62, 0.42, 51
55, 0.33, 62
54, 0.46, 48
61, 0.46, 67
59, 0.05, 70
58, 0.65, 48
52, 0.46, 42
50, 0.33, 53
57, 0.46, 69
55, 0.37, 51
50, 0.46, 59
48, 0.33, 33
49, 0.19, 0
0, 1.3, 6
47, 0.74, 84
57, 1.1, 60
49, 0.65, 76
59, 0.28, 37
50, 0.56, 70
61, 0.42, 29
54, 0.56, 67
62, 0.51, 81
64, 1.3, 61
0, 3.0, 7
67, 0.28, 92
66, 0.14, 86
64, 0.32, 89
62, 0.19, 74
61, 0.23, 74
59, 0.37, 75
57, 0.74, 48
67, 0.37, 89
66, 0.28, 80
64, 0.23, 79
62, 0.09, 66
61, 0.19, 73
59, 0.33, 79
57, 0.32, 77
55, 0.33, 71
54, 0.6, 27
0, 1.0, 17
52, 0.42, 74
55, 0.19, 85
59, 0.28, 83
62, 0.28, 84
65, 0.51, 66
66, 0.19, 0
0, 0.23, 54
57, 0.6, 76
62, 1.2, 55
0, 2.0, 10
61, 0.33, 88
64, 0.37, 84
62, 0.09, 84
59, 0.32, 71
55, 0.09, 75
52, 0.37, 72
54, 0.65, 51
60, 0.51, 73
61, 0.37, 76
62, 0.28, 83
64, 0.32, 85
66, 0.84, 83
64, 0.33, 80
62, 0.33, 61
61, 0.33, 63
59, 0.33, 65
57, 0.32, 65
55, 0.28, 55
54, 0.37, 49
52, 0.37, 45
50, 0.51, 12
0, 3.7, 3
54, 0.37, 79
57, 0.42, 80
55, 0.33, 76
59, 0.33, 79
57, 0.42, 72
50, 0.93, 51
0, 1.0, 0
49, 0.23, 62
48, 1.0, 71
55, 0.32, 68
54, 0.33, 73
57, 0.32, 73
55, 0.28, 71
59, 0.37, 71
57, 0.42, 33
52, 1.3, 41
0, 1.1, 7
55, 0.32, 68
54, 0.28, 71
57, 0.37, 72
55, 0.32, 69
59, 0.42, 72
57, 0.46, 71
62, 0.88, 47
0, 1.3, 11
59, 0.37, 79
57, 0.33, 65
61, 0.28, 75
59, 0.37, 72
55, 0.33, 72
57, 0.42, 64
54, 0.37, 37
53, 0.09, 38
54, 0.88, 51
55, 0.28, 71
57, 0.33, 77
59, 0.32, 61
61, 0.28, 71
62, 0.37, 81
64, 0.37, 85
63, 0.05, 85
64, 0.09, 81
65, 0.37, 68
66, 0.56, 24
0, 1.7, 10
67, 0.74, 86
62, 0.28, 76
59, 0.93, 68
57, 0.32, 71
59, 0.37, 66
61, 0.7, 36
0, 1.3, 17
57, 0.6, 51
64, 0.37, 81
62, 0.32, 75
59, 0.33, 65
55, 0.46, 68
57, 0.56, 64
52, 0.51, 52
54, 0.56, 40
50, 0.7, 37
0, 1.8, 8
57, 0.46, 72
61, 0.37, 73
67, 1.3, 58
0, 0.14, 69
55, 0.56, 75
59, 0.51, 75
65, 0.51, 69
66, 0.37, 10
0, 0.79, 12
54, 0.42, 72
57, 0.51, 78
64, 1.7, 76
62, 0.28, 66
61, 0.23, 70
59, 0.33, 62
61, 0.46, 57
57, 0.56, 61
52, 0.6, 58
54, 0.56, 47
55, 0.51, 12
0, 0.93, 22
49, 0.42, 79
47, 0.46, 71
55, 0.46, 68
54, 0.74, 61
52, 0.51, 71
50, 0.65, 35
0, 1.9, 8
55, 0.32, 80
59, 0.33, 81
57, 0.79, 49
0, 0.05, 79
52, 0.51, 69
50, 0.51, 44
54, 0.28, 76
57, 0.37, 75
55, 0.6, 61
