note, length, volume
0, 1.2, 11
65, 0.93, 68
64, 0.93, 70
61, 0.05, 67
73, 0.56, 60
57, 1.1, 71
56, 0.56, 68
59, 0.33, 65
58, 0.05, 76
63, 0.56, 73
65, 0.46, 66
68, 1.3, 63
66, 0.05, 57
65, 0.14, 59
66, 0.42, 12
0, 1.8, 8
68, 0.05, 81
67, 0.42, 74
64, 0.42, 64
63, 0.37, 66
61, 0.51, 63
65, 0.51, 39
66, 0.05, 22
65, 0.05, 60
57, 0.51, 70
63, 0.42, 71
59, 0.46, 68
56, 0.84, 64
64, 1.2, 44
0, 0.05, 35
54, 0.37, 65
57, 0.28, 54
61, 0.14, 73
64, 0.33, 71
67, 0.33, 68
65, 0.09, 73
63, 0.33, 62
59, 0.42, 58
56, 0.88, 32
0, 4.2, 2
54, 0.6, 54
56, 0.51, 63
57, 1.4, 64
59, 0.56, 43
61, 0.46, 60
63, 0.42, 69
64, 0.46, 68
66, 0.37, 71
67, 0.23, 75
68, 0.05, 78
67, 0.14, 82
71, 0.56, 70
69, 0.51, 54
66, 0.46, 65
63, 0.42, 64
68, 0.84, 43
0, 1.5, 7
65, 0.51, 70
64, 0.14, 71
63, 0.28, 59
61, 0.88, 51
64, 0.37, 64
67, 0.05, 71
65, 1.0, 61
66, 0.05, 63
65, 0.14, 74
63, 0.23, 51
61, 0.33, 59
59, 0.23, 64
58, 0.42, 59
64, 0.93, 48
52, 0.84, 29
0, 4.2, 2
54, 0.28, 65
57, 0.28, 65
56, 0.37, 53
54, 0.33, 61
59, 0.65, 70
58, 0.09, 63
59, 0.65, 28
0, 0.74, 9
49, 0.19, 61
48, 0.46, 56
52, 0.74, 59
56, 0.33, 65
59, 0.37, 66
63, 0.46, 66
61, 0.33, 56
59, 0.42, 62
56, 0.46, 52
54, 0.37, 48
52, 0.65, 25
0, 1.3, 10
66, 0.93, 75
63, 0.28, 65
61, 0.28, 67
59, 0.33, 64
64, 0.37, 59
61, 0.09, 72
59, 0.33, 69
