note, length, volume
0, 0.23, 66
58, 1.3, 66
60, 0.84, 74
62, 0.7, 80
63, 0.65, 81
65, 0.65, 81
67, 0.79, 77
68, 0.93, 52
0, 2.2, 7
68, 1.8, 91
70, 0.74, 77
68, 0.88, 86
67, 0.74, 84
65, 0.74, 82
63, 0.65, 81
62, 0.7, 37
0, 2.7, 6
62, 0.65, 88
65, 0.46, 85
63, 0.56, 75
58, 0.46, 72
60, 0.46, 76
62, 1.2, 83
65, 0.51, 82
66, 0.37, 77
67, 0.51, 32
58, 1.0, 70
55, 1.3, 61
58, 0.33, 75
62, 0.37, 79
72, 0.28, 71
60, 0.42, 15
0, 0.93, 11
56, 0.42, 74
55, 0.37, 67
53, 1.3, 62
50, 0.37, 53
48, 0.46, 50
50, 1.1, 54
53, 0.37, 63
55, 0.33, 68
56, 0.51, 47
51, 0.46, 44
50, 0.14, 3
51, 0.19, 0
0, 0.88, 14
55, 0.46, 73
60, 0.84, 74
58, 0.46, 77
62, 0.65, 86
65, 2.0, 64
0, 2.3, 6
67, 1.8, 80
62, 1.7, 74
60, 1.3, 62
72, 0.56, 55
65, 1.3, 50
0, 1.4, 8
58, 2.0, 66
53, 1.4, 58
55, 0.28, 60
56, 0.37, 60
58, 1.3, 61
60, 0.33, 72
62, 0.32, 75
63, 1.6, 51
67, 0.65, 65
65, 0.56, 30
0, 0.28, 46
58, 0.6, 29
0, 3.1, 5
68, 0.51, 90
70, 0.51, 79
72, 1.1, 80
74, 0.42, 80
72, 0.51, 75
70, 1.1, 40
0, 0.28, 46
67, 0.42, 85
68, 0.33, 75
70, 0.84, 70
72, 0.33, 68
70, 0.42, 75
68, 0.6, 47
0, 2.1, 9
65, 0.28, 92
67, 0.51, 92
68, 0.46, 40
70, 0.28, 86
68, 0.37, 87
67, 0.74, 81
63, 0.28, 90
65, 0.32, 86
67, 1.2, 86
65, 0.6, 42
0, 1.1, 10
62, 0.42, 93
63, 0.23, 91
65, 0.79, 87
67, 0.23, 91
65, 0.37, 89
63, 0.65, 84
60, 0.28, 82
62, 0.28, 89
63, 0.42, 90
65, 0.28, 86
63, 0.28, 86
62, 0.84, 69
58, 0.32, 66
60, 0.33, 71
62, 0.56, 69
63, 0.23, 56
62, 0.37, 51
60, 1.4, 16
0, 0.14, 70
58, 0.42, 63
60, 0.42, 65
56, 0.42, 64
60, 0.42, 62
55, 0.56, 63
53, 0.88, 60
58, 0.74, 44
55, 0.19, 42
51, 0.6, 10
0, 2.8, 3
55, 0.65, 69
63, 0.98, 63
0, 1.0, 16
63, 0.51, 91
62, 0.74, 80
60, 0.7, 48
65, 0.93, 61
0, 1.2, 15
58, 0.51, 77
62, 0.51, 87
63, 0.84, 54
0, 0.7, 28
62, 0.37, 88
60, 0.37, 49
55, 0.33, 46
51, 0.65, 22
0, 0.84, 11
53, 0.37, 73
58, 0.23, 69
56, 0.37, 72
60, 0.19, 95
63, 0.28, 88
67, 0.42, 91
68, 0.74, 58
62, 0.28, 84
60, 0.33, 73
58, 0.56, 34
0, 0.84, 19
65, 0.84, 71
58, 0.32, 78
62, 0.33, 86
63, 0.42, 56
