note, length, volume
0, 5.0, 2
58, 0.51, 61
54, 0.42, 46
61, 0.56, 60
63, 0.46, 76
65, 1.1, 70
63, 0.46, 57
72, 0.42, 46
60, 0.05, 69
58, 1.3, 66
56, 0.6, 56
53, 0.56, 46
48, 0.05, 43
49, 0.6, 35
54, 0.51, 12
0, 2.2, 3
54, 0.37, 54
53, 0.46, 50
51, 0.46, 46
53, 0.46, 41
54, 0.42, 55
59, 1.2, 69
58, 0.88, 63
60, 0.05, 43
61, 0.09, 48
72, 0.14, 18
61, 0.19, 0
0, 0.93, 9
56, 0.93, 49
0, 0.05, 52
51, 0.93, 47
53, 0.65, 17
0, 0.98, 5
54, 0.37, 52
56, 0.37, 66
58, 0.37, 71
59, 0.46, 40
61, 0.42, 68
62, 0.09, 64
63, 0.6, 28
0, 1.8, 6
56, 0.46, 71
58, 0.33, 72
59, 0.28, 54
61, 0.42, 65
63, 0.37, 74
65, 1.1, 42
61, 0.33, 37
60, 0.14, 0
61, 0.14, 0
0, 0.98, 13
66, 0.33, 77
65, 0.42, 73
63, 0.37, 61
58, 0.33, 60
56, 0.37, 42
61, 0.42, 57
59, 0.37, 64
56, 0.51, 63
53, 0.46, 34
72, 0.19, 56
58, 0.84, 49
54, 0.46, 8
0, 4.1, 4
59, 0.46, 60
61, 0.37, 66
63, 0.79, 68
65, 0.46, 70
66, 0.42, 74
68, 0.46, 67
67, 0.14, 62
68, 0.14, 68
67, 0.05, 60
69, 0.46, 59
70, 0.05, 73
68, 0.56, 76
71, 0.84, 66
68, 0.42, 66
66, 0.37, 54
69, 0.14, 55
70, 0.42, 19
0, 2.9, 4
66, 0.23, 73
65, 0.46, 76
67, 0.56, 56
65, 0.42, 74
63, 0.37, 67
66, 0.33, 55
65, 0.23, 63
63, 0.28, 53
61, 0.42, 58
65, 0.88, 37
0, 1.5, 13
72, 0.23, 71
59, 0.42, 73
63, 0.33, 64
59, 0.33, 55
61, 0.33, 62
58, 0.46, 70
59, 0.42, 54
53, 0.46, 52
56, 0.46, 51
54, 0.6, 16
0, 3.9, 1
53, 0.46, 56
54, 0.28, 54
56, 0.42, 65
58, 0.84, 65
56, 0.42, 59
58, 0.37, 59
59, 0.42, 26
61, 1.3, 22
0, 0.84, 18
59, 0.37, 68
63, 0.37, 62
61, 0.28, 52
56, 0.42, 65
58, 0.37, 71
59, 0.37, 64
63, 0.51, 63
66, 0.14, 50
65, 0.46, 31
61, 0.6, 15
0, 2.1, 4
63, 0.7, 67
58, 0.65, 65
56, 0.56, 45
60, 0.19, 29
56, 0.42, 65
58, 0.37, 47
54, 0.37, 58
58, 0.14, 49
56, 0.46, 55
58, 0.33, 56
53, 0.37, 49
51, 0.37, 45
56, 0.51, 43
54, 0.7, 38
58, 0.37, 54
61, 0.37, 68
64, 0.14, 70
65, 0.05, 59
64, 0.19, 27
65, 0.23, 0
0, 2.7, 5
66, 0.05, 61
65, 0.05, 60
66, 0.05, 50
65, 0.46, 50
61, 0.28, 63
58, 0.37, 62
53, 0.79, 59
56, 0.7, 52
54, 0.84, 28
49, 0.05, 42
48, 0.42, 40
49, 0.42, 30
54, 0.56, 15
0, 1.7, 8
59, 0.37, 74
63, 0.28, 59
61, 0.28, 64
59, 0.37, 63
56, 0.42, 49
54, 0.33, 55
59, 0.46, 64
63, 0.32, 54
61, 0.42, 37
56, 0.46, 60
53, 0.46, 38
60, 0.23, 69
65, 0.93, 39
0, 0.7, 19
58, 0.37, 75
59, 0.32, 56
61, 0.56, 24
53, 0.56, 54
54, 0.32, 44
60, 0.09, 67
59, 0.14, 71
58, 0.23, 56
56, 0.46, 59
53, 0.46, 29
60, 0.19, 15
54, 0.7, 19
0, 2.3, 3
56, 0.42, 72
58, 0.33, 77
59, 0.37, 62
61, 0.37, 69
63, 0.37, 79
65, 0.42, 72
66, 0.42, 74
68, 0.28, 77
65, 0.42, 76
63, 0.37, 54
61, 0.37, 57
59, 0.46, 62
66, 0.28, 76
65, 0.46, 77
63, 0.37, 59
61, 0.42, 50
59, 0.37, 68
58, 0.6, 28
0, 1.8, 9
59, 0.33, 55
54, 0.33, 52
51, 0.79, 59
59, 0.37, 59
61, 0.28, 52
56, 0.46, 64
53, 0.84, 52
61, 0.42, 69
63, 0.7, 66
58, 0.42, 50
54, 0.88, 24
53, 0.33, 25
51, 0.42, 8
0, 2.4, 5
53, 0.42, 50
54, 0.23, 45
56, 0.88, 62
58, 0.33, 73
59, 0.46, 59
61, 0.51, 29
60, 0.19, 0
0, 0.65, 23
58, 0.28, 57
61, 0.28, 75
63, 0.23, 68
59, 0.37, 53
54, 1.3, 28
59, 0.33, 76
63, 0.33, 81
65, 0.88, 34
0, 0.88, 19
63, 0.23, 82
65, 0.6, 57
61, 0.28, 57
58, 0.6, 53
65, 0.46, 76
63, 0.37, 64
66, 0.37, 48
61, 0.33, 49
58, 0.56, 18
0, 0.56, 23
59, 0.33, 61
56, 0.42, 45
54, 0.88, 40
58, 0.37, 50
54, 0.28, 48
53, 1.4, 41
51, 2.1, 35
0, 2.6, 1
49, 0.65, 55
53, 0.51, 48
54, 0.37, 24
56, 0.37, 52
58, 0.37, 52
61, 0.42, 72
64, 0.05, 83
65, 0.84, 63
63, 0.37, 59
59, 0.37, 44
54, 0.33, 41
51, 0.42, 56
58, 0.42, 55
56, 0.42, 48
59, 0.42, 48
65, 0.74, 31
0, 1.3, 11
68, 0.37, 76
66, 0.37, 74
65, 0.42, 78
63, 0.37, 69
66, 0.23, 75
65, 0.51, 79
63, 0.37, 52
61, 0.37, 53
59, 0.37, 57
56, 0.42, 57
53, 0.46, 53
58, 0.46, 43
54, 0.37, 47
51, 0.46, 47
56, 0.65, 55
53, 0.65, 42
49, 0.56, 33
54, 0.56, 11
0, 4.2, 2
56, 0.33, 72
58, 0.33, 78
59, 0.42, 59
61, 0.74, 20
0, 1.3, 12
58, 0.37, 73
59, 0.37, 44
61, 0.33, 70
65, 0.46, 74
64, 0.05, 51
65, 0.51, 8
0, 1.3, 7
56, 0.37, 66
58, 0.32, 68
59, 0.42, 26
66, 1.1, 39
0, 1.3, 5
54, 0.42, 59
56, 0.37, 67
58, 0.42, 39
68, 0.42, 84
65, 0.42, 53
61, 0.42, 38
56, 0.74, 32
0, 4.1, 2
56, 0.46, 69
58, 0.33, 65
56, 0.42, 64
58, 0.37, 63
56, 0.42, 44
61, 0.42, 62
62, 0.42, 53
58, 0.51, 63
53, 0.37, 57
56, 0.37, 54
53, 0.46, 39
54, 0.33, 48
58, 0.37, 46
54, 0.37, 34
51, 0.42, 50
54, 0.33, 36
51, 0.42, 41
53, 0.37, 54
56, 0.37, 49
53, 0.37, 53
56, 0.37, 42
51, 0.42, 44
48, 0.33, 43
53, 0.46, 31
49, 0.33, 47
47, 1.2, 28
0, 4.8, 1
51, 0.42, 58
49, 0.28, 51
47, 0.37, 55
49, 0.33, 56
51, 0.37, 66
53, 0.42, 53
54, 0.23, 58
56, 0.42, 65
58, 0.37, 51
54, 0.28, 50
53, 0.42, 52
51, 0.42, 41
49, 0.42, 49
59, 0.37, 68
58, 0.46, 57
56, 0.42, 48
54, 0.33, 47
53, 0.46, 51
51, 0.42, 40
61, 0.42, 60
58, 0.74, 65
56, 0.37, 51
54, 0.42, 47
53, 0.56, 15
0, 1.8, 7
61, 0.37, 76
63, 0.37, 81
65, 1.0, 74
66, 0.33, 54
61, 0.51, 15
56, 0.98, 54
58, 0.33, 62
59, 1.1, 52
58, 0.65, 49
54, 0.7, 34
49, 0.84, 30
53, 0.51, 40
54, 0.6, 12
0, 3.3, 3
61, 0.33, 78
63, 0.37, 71
65, 0.09, 52
66, 0.14, 63
65, 0.14, 49
66, 0.23, 50
65, 0.09, 46
66, 0.46, 5
0, 0.84, 11
61, 0.33, 75
63, 0.37, 73
65, 0.65, 54
59, 0.65, 61
56, 0.79, 51
61, 0.33, 70
63, 0.42, 73
66, 0.7, 41
58, 0.84, 61
59, 0.6, 47
53, 0.74, 52
56, 0.65, 34
54, 0.65, 26
59, 0.7, 2
0, 1.8, 6
61, 0.46, 76
63, 0.79, 40
0, 0.65, 26
65, 0.42, 78
66, 0.28, 75
68, 0.79, 39
53, 0.56, 43
61, 0.46, 69
65, 0.79, 42
54, 0.6, 44
58, 0.42, 62
61, 0.46, 57
65, 0.37, 37
66, 0.33, 15
54, 0.74, 12
0, 5.0, 0
56, 1.1, 61
59, 0.14, 65
58, 1.3, 47
0, 1.0, 11
53, 0.37, 58
54, 0.88, 52
58, 0.33, 67
56, 1.3, 37
0, 0.74, 14
51, 0.42, 62
53, 1.1, 60
56, 0.33, 48
54, 1.5, 24
0, 1.8, 6
51, 1.3, 62
54, 0.37, 57
53, 1.8, 36
0, 1.5, 7
49, 0.33, 62
47, 0.93, 67
58, 0.93, 75
63, 0.84, 75
68, 1.1, 75
65, 0.79, 65
61, 1.3, 11
0, 2.4, 5
66, 0.37, 65
65, 0.09, 43
66, 0.7, 42
59, 0.84, 39
0, 0.6, 26
65, 0.09, 93
64, 0.05, 93
65, 0.09, 79
64, 0.33, 76
65, 0.51, 64
63, 0.42, 55
61, 0.84, 27
70, 1.2, 50
69, 0.14, 0
70, 0.19, 0
0, 5.0, 1
68, 1.0, 78
71, 0.88, 75
75, 1.2, 48
