note, length, volume
0, 3.7, 3
64, 1.1, 73
60, 0.6, 77
65, 1.0, 75
62, 0.33, 69
58, 0.42, 65
55, 0.88, 54
60, 0.93, 66
57, 1.2, 57
52, 1.2, 46
53, 0.65, 16
0, 3.1, 4
55, 0.93, 39
0, 0.65, 23
58, 0.51, 73
62, 0.56, 41
67, 0.6, 67
64, 0.65, 69
60, 0.65, 75
65, 0.84, 29
0, 2.0, 4
55, 0.42, 63
57, 0.37, 69
58, 0.33, 64
60, 0.33, 73
62, 0.33, 71
64, 0.42, 77
65, 0.42, 72
67, 0.65, 49
60, 0.88, 36
0, 1.2, 13
69, 0.79, 69
67, 0.14, 83
65, 0.33, 74
64, 0.42, 71
62, 0.56, 28
0, 1.1, 12
70, 1.2, 49
60, 0.93, 44
0, 0.79, 21
72, 0.7, 76
69, 0.6, 56
64, 0.65, 63
67, 0.65, 71
65, 0.88, 31
0, 2.1, 5
55, 0.37, 70
57, 0.37, 71
58, 0.28, 71
60, 0.33, 79
62, 0.23, 72
64, 0.46, 77
65, 0.46, 69
62, 0.33, 59
58, 0.37, 57
52, 0.37, 66
57, 0.42, 62
55, 0.46, 57
53, 0.88, 56
57, 0.33, 62
60, 0.42, 66
65, 0.6, 71
62, 0.28, 61
58, 0.37, 61
55, 0.7, 58
57, 0.33, 60
53, 0.42, 47
50, 0.74, 14
0, 1.5, 7
52, 0.37, 60
55, 0.23, 59
60, 0.28, 68
64, 0.28, 74
67, 0.79, 68
65, 0.23, 58
64, 0.42, 71
65, 0.37, 66
62, 0.33, 39
57, 0.42, 59
60, 0.46, 61
58, 0.7, 30
0, 2.1, 5
55, 0.33, 73
57, 0.42, 74
58, 0.19, 64
55, 0.33, 64
52, 0.33, 56
50, 0.33, 43
48, 0.33, 52
52, 0.37, 65
53, 0.33, 58
55, 0.28, 68
57, 0.42, 61
53, 0.42, 66
58, 0.37, 71
62, 0.37, 72
60, 0.42, 67
64, 0.42, 76
65, 0.33, 75
62, 0.28, 56
57, 0.37, 61
53, 0.37, 65
58, 0.37, 64
55, 0.42, 58
52, 0.37, 55
60, 0.7, 37
53, 0.7, 24
0, 1.8, 8
67, 1.0, 78
65, 0.33, 72
64, 0.37, 71
62, 0.33, 72
60, 0.7, 51
69, 0.93, 68
70, 0.46, 68
67, 0.28, 62
64, 0.42, 66
60, 0.33, 62
57, 0.37, 62
53, 0.42, 59
50, 0.37, 52
46, 0.65, 25
0, 1.0, 14
72, 0.98, 86
69, 0.33, 75
65, 0.33, 77
62, 0.32, 64
58, 0.33, 56
55, 0.33, 60
52, 0.42, 47
48, 0.42, 46
53, 0.37, 63
57, 0.46, 68
58, 0.46, 56
52, 0.51, 59
53, 0.7, 23
0, 2.0, 4
55, 0.46, 62
58, 0.42, 60
60, 0.46, 55
55, 0.37, 61
57, 0.37, 58
60, 0.46, 66
62, 0.37, 55
57, 0.42, 70
58, 0.33, 68
62, 0.37, 65
64, 0.37, 62
58, 0.33, 63
60, 0.37, 61
64, 0.42, 73
65, 0.42, 62
60, 0.33, 72
62, 0.28, 76
65, 0.37, 74
67, 0.37, 68
62, 0.33, 63
64, 0.37, 63
67, 0.37, 66
69, 0.6, 23
0, 1.2, 8
64, 0.51, 80
65, 0.28, 66
69, 0.37, 69
70, 0.28, 65
67, 0.33, 60
64, 0.42, 71
65, 0.28, 71
67, 0.37, 65
69, 0.28, 71
65, 0.32, 75
62, 0.37, 64
60, 0.37, 66
62, 0.33, 71
64, 0.42, 75
65, 0.33, 66
62, 0.28, 58
58, 0.33, 61
57, 0.56, 59
55, 0.65, 44
53, 1.3, 31
0, 3.2, 1
53, 0.51, 67
57, 0.37, 65
60, 0.28, 64
64, 0.37, 70
62, 0.33, 68
58, 0.42, 63
55, 0.42, 59
52, 0.42, 51
50, 0.32, 56
53, 0.28, 66
57, 0.37, 64
60, 0.37, 67
58, 0.7, 67
55, 0.33, 59
52, 0.32, 44
48, 0.42, 51
46, 0.51, 57
57, 0.74, 70
60, 0.74, 60
64, 0.74, 61
65, 0.65, 26
0, 2.0, 7
67, 0.42, 66
64, 0.42, 69
62, 1.1, 68
60, 0.37, 64
62, 0.7, 72
65, 0.46, 62
60, 0.46, 49
58, 1.2, 44
0, 1.1, 14
62, 0.37, 79
60, 0.42, 62
57, 0.42, 59
53, 0.46, 61
58, 0.7, 34
0, 1.2, 10
62, 0.33, 68
58, 0.42, 60
55, 0.33, 33
60, 0.56, 65
57, 0.46, 19
0, 0.7, 17
62, 0.37, 71
58, 0.56, 23
0, 0.6, 6
64, 0.46, 60
60, 0.56, 18
0, 0.7, 18
65, 0.93, 38
0, 3.5, 3
67, 0.56, 81
72, 0.42, 60
67, 1.1, 71
72, 0.79, 71
69, 0.42, 65
72, 0.37, 64
69, 1.1, 58
72, 0.74, 59
64, 0.6, 56
69, 0.46, 53
64, 0.6, 46
69, 0.33, 4
0, 1.3, 11
67, 0.56, 49
65, 0.51, 58
64, 0.51, 35
62, 0.42, 69
60, 0.42, 68
58, 0.42, 65
57, 0.56, 53
55, 0.51, 46
60, 0.79, 32
0, 0.98, 3
53, 1.0, 56
62, 1.3, 60
67, 0.46, 82
72, 0.93, 81
69, 0.33, 70
72, 0.46, 59
67, 0.37, 68
72, 1.4, 67
69, 0.33, 64
72, 0.42, 59
67, 0.6, 18
0, 2.2, 5
65, 0.79, 55
74, 0.74, 74
72, 0.42, 67
69, 0.42, 47
64, 0.74, 23
0, 0.79, 23
62, 0.42, 73
60, 0.42, 69
64, 0.74, 50
62, 0.51, 42
57, 0.46, 59
58, 0.56, 58
52, 0.51, 32
48, 0.46, 27
53, 0.46, 49
57, 0.79, 30
0, 2.6, 5
57, 0.33, 65
55, 0.42, 68
58, 0.37, 73
57, 0.37, 62
60, 0.42, 75
58, 0.42, 73
62, 0.37, 72
60, 0.42, 71
64, 0.74, 57
58, 0.33, 57
62, 0.33, 57
57, 0.37, 59
60, 0.42, 56
55, 0.37, 63
58, 0.6, 61
52, 0.37, 56
55, 0.37, 56
53, 0.42, 64
58, 0.37, 62
55, 0.37, 54
60, 0.46, 42
52, 0.37, 53
50, 0.46, 47
55, 0.42, 51
53, 0.65, 23
0, 4.0, 3
57, 0.84, 75
58, 0.42, 76
60, 0.42, 83
62, 0.42, 74
64, 0.51, 76
65, 0.98, 72
62, 0.6, 29
0, 1.3, 8
55, 0.37, 65
57, 0.37, 70
58, 0.42, 68
60, 0.37, 74
62, 0.37, 76
64, 0.98, 68
60, 0.65, 31
0, 1.5, 6
53, 0.42, 56
55, 0.28, 60
57, 0.37, 65
58, 0.32, 70
60, 0.51, 79
61, 0.33, 68
62, 0.51, 59
58, 0.56, 28
0, 1.2, 10
52, 0.46, 70
57, 0.46, 67
55, 0.51, 56
52, 0.93, 58
53, 0.84, 57
50, 0.33, 59
48, 0.88, 44
57, 0.74, 58
52, 0.37, 49
50, 0.33, 57
58, 0.65, 25
0, 2.4, 3
53, 0.42, 67
52, 0.37, 62
55, 0.37, 63
62, 0.46, 74
60, 0.6, 67
57, 0.79, 43
0, 0.33, 30
55, 0.42, 58
53, 0.7, 25
0, 0.88, 20
62, 0.37, 85
65, 1.3, 72
60, 0.46, 72
64, 0.93, 32
0, 2.1, 6
67, 0.93, 74
65, 1.1, 59
60, 0.33, 50
64, 0.74, 20
0, 1.5, 10
62, 0.51, 80
65, 0.88, 69
64, 0.19, 59
62, 0.28, 66
60, 0.46, 65
64, 0.74, 34
0, 0.98, 14
58, 0.37, 67
64, 0.37, 73
62, 0.7, 74
60, 0.79, 66
57, 0.74, 63
62, 0.37, 67
60, 0.93, 37
0, 2.1, 7
62, 0.56, 82
65, 1.1, 47
0, 0.65, 27
60, 0.46, 76
64, 0.93, 43
0, 1.5, 10
67, 0.42, 86
65, 0.46, 66
60, 0.37, 70
64, 0.84, 34
0, 1.5, 11
67, 0.37, 87
65, 0.42, 81
69, 0.37, 58
68, 0.32, 21
64, 0.51, 78
62, 0.6, 48
72, 1.1, 86
70, 0.6, 34
0, 1.3, 11
67, 0.28, 91
65, 0.23, 85
64, 0.33, 83
62, 0.28, 83
60, 0.37, 74
58, 1.3, 56
64, 0.84, 67
65, 0.74, 30
0, 0.84, 18
57, 0.65, 71
55, 0.33, 66
53, 0.37, 71
52, 0.46, 65
55, 0.37, 63
53, 0.37, 69
57, 0.42, 68
60, 0.93, 48
52, 0.42, 50
50, 0.32, 56
55, 0.37, 65
57, 0.28, 63
53, 0.37, 53
55, 0.28, 69
58, 0.42, 68
60, 0.37, 78
62, 0.6, 56
58, 0.6, 23
0, 1.4, 13
60, 0.37, 80
64, 0.37, 79
65, 0.33, 75
62, 0.32, 45
57, 0.33, 68
58, 0.37, 60
55, 0.42, 54
52, 0.46, 58
53, 0.42, 55
60, 0.46, 37
53, 0.33, 64
62, 0.33, 46
53, 0.37, 59
64, 0.37, 53
53, 0.33, 72
65, 0.51, 55
53, 0.37, 41
67, 1.0, 30
0, 2.3, 6
69, 0.28, 77
67, 0.37, 71
68, 0.23, 71
67, 1.0, 66
69, 0.37, 64
67, 0.37, 65
69, 0.33, 59
67, 0.37, 61
69, 0.28, 59
67, 0.37, 61
69, 0.28, 60
67, 0.74, 66
64, 0.37, 66
67, 0.32, 61
64, 0.33, 64
67, 0.28, 56
64, 0.33, 64
67, 0.28, 60
64, 0.37, 63
67, 0.23, 58
64, 0.42, 68
62, 0.79, 45
0, 0.93, 19
60, 0.28, 75
64, 0.28, 74
60, 0.28, 75
64, 0.28, 80
62, 0.33, 80
65, 0.74, 72
62, 0.28, 75
65, 0.37, 64
58, 0.33, 75
62, 0.28, 64
58, 0.28, 68
62, 0.23, 70
60, 0.37, 71
64, 0.74, 62
60, 0.28, 65
64, 0.37, 45
55, 0.28, 64
58, 0.28, 66
57, 0.32, 58
60, 0.33, 51
57, 0.33, 60
60, 0.51, 19
0, 1.0, 5
52, 0.33, 54
55, 0.6, 53
52, 0.19, 57
57, 0.42, 70
58, 0.28, 57
55, 0.28, 62
52, 0.33, 54
48, 0.74, 51
53, 1.1, 57
57, 0.33, 73
58, 0.28, 73
62, 0.32, 82
65, 0.33, 72
69, 1.1, 55
67, 0.28, 65
64, 0.46, 60
62, 0.51, 64
60, 0.37, 8
0, 2.0, 7
72, 0.42, 93
74, 0.28, 95
72, 0.93, 78
64, 0.65, 63
69, 0.56, 73
70, 0.28, 85
72, 0.28, 77
70, 0.65, 65
62, 0.65, 43
0, 1.0, 15
69, 0.28, 65
64, 0.23, 68
60, 0.19, 62
57, 0.65, 31
0, 0.6, 19
72, 1.2, 77
64, 0.56, 67
67, 0.84, 61
58, 0.74, 28
0, 1.4, 11
67, 0.28, 84
65, 0.28, 66
58, 0.28, 72
62, 0.23, 78
60, 0.33, 63
57, 0.33, 67
58, 0.28, 58
55, 0.33, 42
50, 0.33, 44
48, 0.42, 52
53, 0.79, 59
57, 0.37, 72
58, 0.23, 73
60, 0.23, 79
62, 0.23, 70
64, 0.32, 79
65, 0.23, 76
67, 0.28, 68
69, 0.56, 24
0, 2.7, 3
53, 0.56, 65
55, 0.19, 76
57, 0.28, 70
58, 0.23, 77
62, 0.23, 80
60, 0.28, 69
64, 0.28, 80
62, 0.23, 83
65, 0.23, 70
64, 0.33, 80
65, 0.23, 74
67, 0.28, 73
69, 1.6, 64
67, 0.14, 84
65, 0.19, 69
64, 0.33, 70
62, 0.09, 67
60, 0.23, 66
58, 0.79, 38
0, 0.7, 18
67, 0.98, 63
57, 0.42, 53
65, 0.74, 60
52, 0.33, 63
62, 0.74, 46
53, 0.51, 53
60, 0.7, 25
0, 0.84, 19
52, 0.28, 53
50, 0.14, 70
57, 0.37, 71
58, 0.19, 59
55, 0.23, 67
52, 0.33, 76
48, 0.51, 67
53, 0.51, 67
62, 0.56, 65
69, 0.74, 32
0, 0.74, 26
74, 1.1, 90
76, 0.05, 48
75, 0.09, 13
76, 0.09, 0
62, 0.09, 0
0, 0.84, 17
64, 0.33, 83
62, 0.23, 81
60, 0.28, 72
58, 0.23, 66
57, 0.37, 60
