note, length, volume
0, 4.5, 3
58, 0.37, 78
57, 0.32, 72
55, 0.37, 69
53, 1.0, 35
0, 1.1, 14
60, 0.33, 80
59, 0.33, 75
57, 0.42, 71
55, 0.98, 33
0, 1.3, 14
58, 0.28, 79
57, 0.37, 72
55, 0.37, 67
53, 0.88, 34
0, 0.98, 14
62, 0.33, 76
61, 0.33, 75
59, 0.37, 75
57, 0.98, 46
0, 1.1, 16
58, 0.28, 79
57, 0.32, 71
55, 0.37, 67
53, 0.88, 31
0, 1.0, 16
60, 0.33, 77
59, 0.28, 77
57, 0.37, 72
55, 0.84, 32
0, 1.0, 17
63, 0.28, 80
62, 0.37, 88
60, 0.33, 82
58, 0.88, 35
0, 0.84, 21
62, 0.28, 79
61, 0.37, 73
59, 0.32, 70
57, 0.93, 32
0, 0.93, 18
60, 0.28, 80
59, 0.33, 72
57, 0.42, 66
55, 0.79, 25
0, 3.1, 4
56, 0.37, 78
55, 0.28, 69
53, 0.33, 67
51, 0.93, 33
0, 0.93, 21
60, 0.28, 84
59, 0.28, 76
57, 0.37, 68
55, 0.74, 28
0, 0.93, 18
56, 0.33, 74
55, 0.28, 67
53, 0.37, 61
51, 0.84, 26
0, 0.74, 25
62, 0.28, 84
61, 0.33, 75
59, 0.28, 69
57, 0.7, 35
0, 1.2, 17
60, 0.28, 81
59, 0.33, 71
57, 0.33, 64
55, 0.65, 29
0, 1.3, 11
63, 0.33, 84
62, 0.28, 81
60, 0.37, 76
58, 0.7, 32
0, 1.4, 14
61, 0.33, 97
60, 0.19, 81
58, 0.42, 73
56, 0.05, 60
55, 0.05, 58
56, 0.6, 23
0, 0.93, 22
65, 0.19, 95
64, 0.42, 82
62, 0.28, 82
60, 0.88, 37
0, 0.56, 30
58, 0.23, 78
57, 0.33, 73
55, 0.28, 69
53, 0.84, 30
0, 0.56, 38
60, 0.23, 79
59, 0.33, 75
57, 0.23, 71
55, 0.93, 39
0, 0.56, 21
54, 0.28, 73
53, 0.28, 76
51, 0.33, 75
48, 0.37, 56
49, 0.37, 6
0, 0.56, 21
56, 0.33, 79
55, 0.28, 70
53, 0.28, 67
51, 0.84, 29
0, 0.65, 34
60, 0.28, 82
59, 0.19, 75
57, 0.37, 70
55, 0.65, 28
0, 0.74, 22
62, 0.23, 81
61, 0.28, 78
59, 0.33, 74
57, 0.88, 41
0, 0.65, 28
60, 0.19, 71
59, 0.28, 71
57, 0.28, 63
55, 0.65, 28
0, 0.74, 23
62, 0.23, 71
61, 0.28, 71
59, 0.33, 73
57, 1.3, 74
65, 0.28, 83
64, 0.28, 74
62, 0.33, 77
60, 0.74, 41
0, 0.79, 20
67, 0.28, 84
66, 0.28, 79
64, 0.32, 74
62, 0.88, 45
0, 0.56, 29
65, 0.19, 92
64, 0.42, 79
62, 0.28, 80
60, 0.79, 45
0, 0.6, 37
67, 0.46, 90
65, 0.37, 79
63, 0.74, 38
0, 0.79, 24
61, 0.23, 93
60, 0.28, 81
58, 0.28, 71
56, 0.7, 29
0, 0.74, 23
66, 0.23, 82
65, 0.33, 80
63, 0.28, 72
61, 0.88, 30
0, 0.6, 25
69, 0.23, 89
68, 0.28, 85
66, 0.28, 76
64, 0.98, 41
0, 0.46, 40
63, 0.23, 83
62, 0.33, 89
60, 0.28, 77
58, 0.7, 35
0, 0.79, 30
71, 0.05, 67
70, 0.32, 76
68, 0.46, 83
66, 0.7, 36
0, 0.56, 26
65, 0.23, 82
64, 0.37, 73
62, 0.28, 71
60, 0.74, 34
0, 0.98, 19
69, 0.19, 87
68, 0.28, 86
66, 0.28, 78
64, 0.88, 38
0, 0.56, 33
61, 0.23, 88
60, 0.28, 77
58, 0.28, 69
56, 0.79, 37
0, 0.65, 30
66, 0.05, 72
65, 0.46, 82
63, 0.28, 58
61, 1.1, 34
0, 0.33, 45
67, 0.28, 77
66, 0.28, 73
64, 0.28, 72
62, 0.93, 48
0, 0.56, 41
68, 0.42, 85
66, 0.09, 78
65, 0.23, 79
64, 1.1, 52
0, 0.37, 55
71, 0.19, 73
70, 0.28, 82
68, 0.37, 76
65, 0.05, 61
66, 0.28, 66
65, 0.05, 50
66, 0.51, 27
0, 0.56, 36
67, 0.28, 75
65, 0.09, 69
64, 0.46, 71
62, 0.84, 34
0, 0.74, 22
63, 0.28, 83
62, 0.28, 81
60, 0.37, 70
58, 0.74, 32
0, 0.7, 24
61, 0.23, 90
60, 0.28, 76
58, 0.28, 70
56, 0.88, 40
0, 0.56, 27
59, 0.23, 69
58, 0.28, 67
56, 0.33, 63
54, 0.74, 34
0, 0.74, 20
62, 0.19, 68
61, 0.33, 67
59, 0.28, 69
57, 0.79, 37
0, 0.74, 33
64, 0.51, 82
62, 0.28, 85
60, 0.84, 43
0, 0.7, 26
67, 0.28, 79
66, 0.28, 77
64, 0.33, 74
62, 0.74, 38
0, 0.74, 23
68, 0.23, 90
67, 0.33, 83
65, 0.33, 79
63, 0.79, 44
