note, length, volume
0, 2.3, 7
58, 0.7, 85
60, 0.33, 96
62, 0.42, 93
65, 1.3, 84
63, 0.79, 88
65, 0.79, 77
68, 0.09, 90
67, 0.14, 85
68, 0.23, 90
67, 0.05, 83
68, 0.7, 46
0, 0.88, 20
65, 0.28, 93
62, 0.28, 98
60, 0.28, 84
58, 0.33, 78
57, 0.28, 70
55, 0.33, 70
53, 0.37, 76
50, 0.37, 83
51, 0.28, 72
53, 0.33, 64
54, 0.28, 72
58, 0.37, 73
56, 0.93, 57
60, 0.7, 93
62, 0.7, 53
0, 0.79, 11
53, 0.46, 71
55, 0.05, 77
57, 0.42, 72
60, 0.37, 87
61, 0.98, 51
0, 0.65, 21
51, 0.33, 66
54, 0.23, 79
61, 0.37, 94
63, 0.33, 88
60, 0.98, 76
53, 0.74, 37
0, 1.6, 14
61, 0.37, 65
54, 0.37, 72
63, 0.28, 89
67, 0.42, 94
68, 0.6, 69
67, 0.05, 0
68, 0.05, 0
67, 0.09, 0
0, 1.0, 17
65, 0.6, 29
0, 0.37, 50
69, 0.93, 52
0, 1.1, 14
65, 0.46, 94
68, 1.6, 74
61, 1.0, 53
0, 0.7, 28
62, 0.37, 93
65, 0.46, 48
53, 0.37, 72
58, 0.37, 77
62, 0.28, 90
60, 0.33, 45
53, 0.28, 64
55, 0.28, 74
56, 0.28, 77
58, 0.28, 79
60, 0.37, 90
61, 0.28, 95
63, 0.28, 96
65, 0.37, 90
66, 0.33, 91
68, 0.42, 93
65, 0.6, 35
0, 1.1, 15
62, 0.28, 97
60, 0.28, 83
58, 0.37, 66
53, 0.33, 76
56, 0.32, 68
54, 0.23, 35
49, 0.42, 61
51, 0.42, 71
53, 0.74, 73
57, 2.3, 60
0, 2.1, 5
56, 0.28, 80
58, 0.28, 86
60, 0.37, 90
61, 0.37, 91
63, 0.33, 92
65, 0.51, 89
62, 0.79, 42
0, 0.65, 26
65, 0.33, 85
69, 0.74, 78
70, 0.51, 60
61, 0.79, 78
66, 0.51, 78
70, 0.65, 36
0, 0.84, 17
62, 0.28, 94
60, 0.28, 82
58, 0.33, 69
55, 0.28, 68
53, 0.28, 61
50, 0.28, 76
48, 0.37, 53
0, 0.05, 42
48, 0.09, 48
0, 0.09, 81
49, 0.56, 83
56, 0.65, 82
63, 0.65, 75
66, 0.6, 31
0, 0.88, 15
65, 0.42, 61
50, 1.3, 49
66, 0.65, 33
0, 0.05, 18
51, 1.2, 44
0, 0.74, 22
69, 0.56, 51
53, 1.1, 40
0, 0.56, 35
70, 0.33, 93
68, 0.28, 82
66, 0.09, 91
65, 0.6, 85
63, 0.6, 89
61, 0.42, 91
60, 0.46, 74
58, 0.79, 35
0, 0.84, 15
58, 0.37, 91
60, 0.33, 96
62, 0.33, 93
65, 0.65, 82
63, 0.37, 76
58, 0.28, 64
56, 0.33, 64
54, 0.28, 57
53, 0.28, 70
51, 0.37, 72
49, 0.28, 78
48, 0.74, 75
57, 0.98, 72
58, 0.37, 56
53, 0.42, 13
0, 0.74, 22
51, 0.42, 63
54, 0.19, 71
58, 0.33, 83
60, 0.42, 83
61, 0.42, 59
56, 0.7, 35
0, 0.65, 27
58, 0.46, 66
62, 0.42, 98
63, 0.37, 92
65, 1.5, 67
66, 0.32, 82
63, 0.37, 71
58, 1.1, 52
68, 0.42, 90
65, 0.33, 75
61, 0.7, 37
0, 0.98, 18
65, 0.74, 63
60, 1.0, 60
0, 1.4, 11
61, 0.42, 83
65, 0.19, 88
63, 0.42, 93
68, 0.33, 88
65, 0.37, 83
70, 0.37, 80
66, 0.37, 80
72, 0.42, 82
69, 0.37, 83
67, 0.33, 87
65, 0.37, 89
63, 0.33, 91
62, 0.28, 89
60, 0.37, 80
58, 0.28, 76
56, 0.42, 71
54, 0.28, 64
53, 0.42, 69
51, 0.79, 36
0, 1.6, 10
69, 0.28, 83
67, 0.33, 88
65, 0.33, 82
64, 0.33, 85
62, 0.28, 89
60, 0.37, 78
57, 0.33, 69
55, 0.33, 64
54, 0.37, 70
51, 0.33, 82
46, 0.84, 38
0, 1.0, 18
49, 0.42, 78
53, 0.33, 60
50, 0.37, 62
53, 0.23, 84
57, 0.28, 75
55, 0.33, 76
58, 0.28, 78
57, 0.33, 71
53, 0.42, 64
55, 0.37, 74
56, 0.33, 62
54, 0.28, 66
58, 0.37, 66
56, 0.33, 62
60, 0.42, 88
63, 0.7, 34
0, 0.88, 20
65, 0.33, 87
63, 0.33, 89
62, 0.37, 85
65, 0.46, 75
70, 0.7, 28
0, 0.14, 7
60, 0.93, 41
0, 0.79, 20
58, 0.37, 78
61, 0.51, 70
51, 0.37, 60
54, 0.33, 46
60, 0.37, 78
66, 0.46, 31
58, 0.33, 73
61, 0.56, 45
66, 0.37, 82
69, 0.84, 38
62, 0.65, 44
0, 2.3, 5
65, 0.42, 97
67, 0.56, 93
65, 0.33, 89
62, 0.51, 34
0, 0.7, 30
61, 0.23, 93
63, 0.23, 87
65, 0.6, 59
58, 0.28, 68
60, 0.33, 79
61, 0.37, 85
65, 0.56, 88
68, 0.65, 91
69, 0.46, 73
62, 0.7, 44
0, 1.4, 13
57, 0.28, 81
53, 0.28, 83
58, 0.28, 95
60, 0.28, 93
62, 0.37, 62
58, 0.33, 69
53, 0.23, 81
61, 0.65, 81
58, 0.28, 42
54, 0.14, 86
63, 0.84, 76
56, 0.37, 78
53, 0.32, 82
62, 0.33, 94
65, 0.6, 74
58, 0.37, 53
54, 0.14, 76
61, 0.33, 96
65, 0.88, 44
0, 1.2, 18
68, 0.23, 94
65, 0.37, 84
66, 0.14, 95
63, 0.23, 87
65, 0.33, 88
61, 0.28, 90
63, 0.28, 90
60, 0.37, 91
62, 0.14, 72
58, 0.37, 78
60, 0.28, 78
57, 0.33, 74
58, 0.23, 72
53, 0.28, 66
50, 0.33, 52
46, 0.32, 67
49, 0.33, 81
56, 0.33, 75
54, 0.19, 79
53, 0.28, 76
51, 1.0, 49
0, 0.7, 23
53, 0.28, 67
50, 0.42, 71
53, 0.33, 87
60, 1.8, 82
58, 0.33, 54
54, 0.51, 64
58, 0.33, 76
65, 1.1, 52
0, 0.98, 22
62, 0.42, 94
60, 0.37, 83
56, 0.37, 82
61, 0.42, 90
65, 0.42, 89
68, 0.42, 85
66, 0.28, 77
65, 0.37, 81
68, 0.42, 78
65, 0.05, 75
66, 0.28, 73
65, 0.56, 80
63, 0.33, 80
65, 0.37, 59
60, 0.37, 63
58, 0.33, 54
54, 0.28, 63
53, 0.42, 77
62, 0.46, 73
57, 0.42, 57
58, 0.33, 61
65, 0.42, 73
62, 0.23, 77
60, 0.28, 72
58, 0.32, 67
56, 0.65, 36
0, 1.1, 15
56, 0.37, 76
60, 0.19, 78
58, 0.42, 66
54, 0.23, 61
53, 0.37, 73
57, 0.28, 70
60, 0.28, 88
62, 0.28, 73
58, 0.28, 60
53, 0.28, 68
50, 0.23, 74
48, 0.33, 69
49, 0.19, 74
56, 0.33, 66
54, 0.19, 47
50, 0.32, 67
53, 0.28, 69
51, 0.28, 75
56, 0.33, 67
54, 0.19, 74
58, 0.33, 79
57, 0.33, 71
60, 0.33, 84
65, 0.32, 48
53, 0.33, 70
55, 0.23, 76
57, 0.28, 75
58, 0.23, 84
60, 0.28, 82
61, 0.28, 90
63, 0.28, 95
65, 0.37, 87
66, 0.33, 92
68, 0.6, 43
0, 1.3, 14
70, 0.33, 82
65, 0.28, 92
62, 0.28, 85
60, 0.33, 81
65, 0.46, 24
53, 1.0, 68
58, 0.28, 83
61, 0.23, 91
63, 0.23, 93
65, 0.84, 87
63, 0.28, 90
61, 0.37, 90
63, 0.42, 64
56, 0.84, 50
0, 0.84, 20
57, 0.33, 91
60, 0.33, 52
53, 0.28, 74
62, 0.37, 72
55, 0.33, 76
63, 0.33, 89
60, 0.37, 89
65, 0.42, 81
66, 0.28, 59
58, 0.33, 74
63, 0.33, 61
54, 0.33, 71
58, 0.23, 76
49, 0.19, 74
48, 0.42, 79
56, 0.79, 69
50, 0.28, 67
57, 0.42, 64
48, 0.6, 70
46, 0.7, 32
0, 0.65, 27
58, 0.19, 79
56, 0.33, 76
58, 0.23, 66
54, 0.23, 65
53, 0.33, 70
51, 0.37, 75
56, 0.7, 56
64, 0.19, 92
65, 0.6, 88
62, 1.3, 60
