note, length, volume
0, 0.19, 72
55, 0.14, 70
52, 1.3, 77
55, 0.14, 103
60, 0.32, 98
64, 0.46, 94
62, 1.3, 84
63, 0.84, 48
0, 0.79, 13
56, 0.46, 79
58, 0.33, 77
63, 0.42, 85
65, 0.42, 86
62, 0.98, 53
0, 0.74, 24
59, 0.28, 83
57, 0.33, 78
55, 0.51, 69
52, 0.37, 72
53, 0.28, 68
55, 0.33, 77
56, 0.42, 82
60, 0.37, 84
58, 0.33, 75
56, 0.42, 73
51, 0.56, 75
53, 0.46, 67
55, 0.42, 75
57, 1.3, 73
59, 0.74, 67
58, 0.05, 100
60, 0.6, 92
62, 0.51, 90
63, 0.42, 90
65, 0.46, 88
67, 0.98, 47
0, 1.0, 20
65, 0.28, 97
64, 0.37, 102
60, 0.46, 80
55, 0.46, 71
53, 0.37, 71
57, 0.42, 74
55, 0.37, 69
52, 0.42, 67
53, 0.23, 66
58, 0.33, 71
56, 0.46, 76
58, 0.42, 81
60, 0.32, 78
56, 0.37, 79
63, 0.37, 89
60, 0.42, 95
64, 0.37, 92
60, 0.33, 89
65, 0.42, 87
62, 0.37, 79
67, 0.51, 67
66, 0.33, 0
0, 1.2, 18
67, 0.65, 93
65, 0.33, 87
63, 0.33, 84
62, 0.37, 87
60, 0.42, 84
58, 0.79, 51
71, 0.33, 91
69, 0.33, 83
67, 0.37, 90
65, 0.28, 94
64, 0.42, 94
62, 0.42, 90
60, 0.32, 78
58, 0.37, 74
56, 0.33, 70
53, 0.28, 80
51, 0.37, 80
48, 0.42, 73
50, 0.32, 71
53, 0.33, 67
58, 0.56, 21
0, 0.79, 21
55, 0.33, 79
52, 0.33, 74
53, 0.28, 77
57, 0.33, 77
55, 0.32, 76
52, 0.33, 71
50, 0.42, 64
48, 0.28, 73
58, 0.42, 70
53, 0.28, 72
55, 0.33, 77
58, 0.33, 77
56, 0.33, 73
53, 0.33, 75
51, 0.33, 75
50, 0.42, 68
55, 0.6, 79
57, 0.19, 76
59, 0.33, 94
60, 0.42, 87
59, 0.14, 82
57, 0.32, 75
55, 0.65, 30
0, 0.98, 19
58, 0.33, 95
60, 0.23, 96
62, 0.28, 95
63, 0.37, 97
65, 0.33, 89
67, 1.8, 87
65, 0.33, 93
64, 1.2, 90
67, 0.28, 95
71, 0.28, 87
72, 0.46, 41
67, 0.33, 70
64, 0.37, 65
60, 0.37, 77
58, 0.7, 32
0, 0.84, 22
65, 0.33, 89
67, 0.33, 92
68, 0.28, 89
67, 0.32, 86
65, 0.19, 88
62, 0.33, 80
58, 0.37, 85
60, 0.28, 89
62, 0.14, 92
64, 0.51, 84
60, 0.37, 44
55, 0.09, 63
52, 0.46, 73
55, 0.28, 69
53, 0.33, 74
57, 0.37, 63
60, 0.19, 72
59, 0.42, 69
55, 0.33, 76
60, 0.37, 92
62, 0.37, 93
63, 0.37, 96
65, 1.2, 58
0, 2.3, 6
67, 1.2, 72
64, 0.79, 85
60, 0.42, 100
65, 0.93, 75
67, 0.46, 90
68, 0.42, 90
70, 0.79, 80
68, 0.42, 85
70, 0.33, 83
67, 0.98, 40
0, 0.84, 19
55, 0.33, 82
60, 0.37, 102
64, 0.37, 92
67, 0.51, 91
68, 0.19, 90
65, 0.42, 83
60, 0.37, 76
56, 0.37, 75
58, 0.7, 39
0, 0.7, 24
67, 0.33, 91
64, 1.1, 48
0, 0.42, 29
52, 0.37, 85
48, 1.0, 46
0, 0.51, 31
55, 0.37, 82
56, 0.74, 80
60, 0.79, 71
53, 0.84, 43
0, 0.46, 34
56, 0.42, 80
55, 0.33, 59
52, 0.51, 76
53, 0.33, 71
55, 0.37, 80
62, 1.1, 90
60, 0.56, 81
56, 0.65, 36
0, 0.6, 27
53, 0.37, 80
63, 1.1, 82
62, 1.3, 83
60, 0.84, 61
48, 0.79, 81
52, 0.46, 80
55, 0.51, 72
53, 0.74, 31
0, 1.4, 12
56, 0.42, 87
58, 0.37, 90
60, 0.42, 98
63, 0.37, 94
64, 1.1, 58
0, 0.74, 22
67, 0.56, 68
64, 0.6, 93
60, 0.51, 81
