note, length, volume
0, 0.84, 19
50, 1.1, 70
54, 0.14, 83
57, 0.37, 82
59, 1.0, 77
57, 0.33, 70
53, 0.19, 73
58, 0.37, 87
60, 0.28, 94
62, 0.42, 93
65, 0.56, 88
67, 0.98, 80
66, 0.09, 91
65, 0.51, 87
64, 0.51, 90
62, 0.14, 79
61, 0.28, 75
59, 0.23, 75
57, 0.37, 67
53, 0.09, 70
52, 0.51, 80
50, 0.56, 26
0, 1.1, 14
55, 0.28, 85
57, 0.51, 82
58, 1.7, 58
60, 0.33, 96
62, 0.74, 94
64, 0.74, 96
61, 1.3, 75
57, 0.84, 70
54, 0.84, 34
0, 0.79, 24
62, 0.7, 84
58, 0.88, 71
55, 0.93, 65
50, 0.6, 60
53, 0.51, 71
57, 0.56, 78
59, 0.56, 67
58, 0.42, 59
59, 0.51, 14
0, 0.19, 58
54, 0.42, 52
53, 0.19, 29
54, 0.23, 0
0, 1.6, 12
57, 0.46, 80
58, 0.46, 82
62, 0.51, 96
65, 0.51, 90
69, 0.46, 82
67, 0.84, 50
62, 1.1, 90
66, 1.3, 55
0, 0.98, 24
61, 0.88, 68
64, 0.33, 91
62, 0.42, 64
57, 0.56, 68
60, 0.6, 72
58, 1.2, 51
0, 0.74, 17
50, 0.42, 77
55, 0.37, 77
58, 0.42, 84
62, 0.84, 86
60, 0.19, 75
58, 0.33, 69
57, 0.98, 75
61, 0.79, 84
62, 0.74, 43
0, 1.5, 7
54, 0.37, 72
55, 0.33, 81
57, 0.42, 80
58, 1.3, 77
60, 0.33, 91
62, 1.0, 52
0, 0.28, 57
58, 0.51, 79
55, 0.56, 70
54, 0.46, 65
57, 0.51, 81
61, 0.42, 95
64, 0.56, 97
62, 0.7, 41
0, 0.7, 20
57, 0.46, 73
61, 0.37, 80
59, 0.46, 66
50, 0.46, 61
54, 0.37, 60
58, 0.46, 88
60, 0.42, 94
62, 0.37, 92
64, 0.46, 91
65, 0.56, 35
55, 1.2, 50
0, 0.84, 16
66, 0.6, 27
0, 0.14, 61
57, 1.5, 55
0, 1.3, 12
66, 0.6, 77
67, 0.56, 41
58, 1.1, 51
0, 0.93, 17
70, 0.28, 82
69, 0.28, 76
67, 0.74, 23
0, 0.79, 20
69, 0.23, 83
67, 0.37, 73
66, 0.56, 33
0, 2.2, 5
66, 0.74, 25
0, 0.65, 19
69, 0.32, 3
0, 0.79, 21
66, 0.33, 74
67, 0.56, 26
62, 0.6, 74
58, 0.56, 72
60, 0.51, 81
62, 0.56, 34
0, 0.93, 19
67, 0.42, 85
62, 0.37, 56
58, 0.28, 71
55, 0.28, 68
54, 0.84, 38
0, 0.79, 20
57, 0.93, 68
62, 1.3, 87
66, 1.1, 74
65, 0.79, 54
60, 1.1, 55
0, 0.88, 20
58, 0.51, 77
55, 0.56, 69
50, 0.56, 70
55, 0.79, 62
50, 0.88, 42
0, 0.7, 13
54, 0.46, 73
57, 0.84, 56
0, 0.33, 65
49, 0.6, 77
50, 0.51, 67
53, 0.56, 72
58, 0.56, 71
55, 0.7, 65
50, 0.51, 64
55, 0.6, 26
0, 0.6, 29
55, 0.51, 79
58, 0.46, 79
57, 0.74, 74
54, 0.37, 64
62, 0.93, 73
53, 0.23, 66
54, 0.05, 81
57, 0.7, 32
0, 0.51, 36
57, 0.42, 86
62, 0.51, 86
58, 0.51, 78
55, 0.42, 80
65, 0.51, 90
64, 0.51, 91
62, 0.42, 82
58, 0.51, 76
55, 0.51, 69
50, 0.56, 69
54, 0.46, 70
57, 0.79, 39
0, 1.4, 12
64, 0.51, 105
62, 0.51, 63
57, 0.56, 80
61, 0.46, 88
64, 0.65, 97
62, 0.46, 52
58, 0.93, 42
0, 0.56, 31
55, 0.37, 76
58, 0.46, 83
62, 0.51, 96
65, 0.7, 87
66, 0.98, 77
69, 0.74, 38
0, 0.51, 37
62, 0.93, 87
66, 0.7, 34
0, 0.42, 41
58, 0.74, 75
65, 0.7, 37
0, 0.74, 19
62, 0.56, 40
58, 0.46, 63
55, 0.51, 62
50, 0.46, 53
54, 0.56, 16
0, 2.8, 7
57, 0.33, 74
54, 0.37, 66
50, 0.46, 69
55, 0.65, 28
0, 1.2, 14
46, 0.51, 72
50, 0.42, 66
55, 0.51, 75
58, 0.46, 74
57, 0.65, 67
54, 0.46, 64
55, 0.46, 74
59, 0.46, 67
57, 0.65, 63
62, 0.46, 80
66, 0.46, 82
64, 0.51, 90
62, 0.46, 26
55, 0.84, 46
0, 1.9, 12
58, 0.05, 90
57, 0.46, 79
55, 0.37, 77
57, 0.33, 75
58, 0.28, 76
57, 0.51, 54
50, 0.42, 52
54, 0.6, 28
0, 0.98, 22
61, 0.37, 96
62, 0.56, 58
56, 0.37, 80
57, 0.37, 78
64, 0.42, 91
62, 0.46, 37
58, 0.51, 69
55, 0.37, 72
62, 0.6, 37
0, 2.0, 7
67, 1.0, 61
66, 0.51, 76
62, 0.51, 50
59, 0.42, 75
57, 0.6, 52
50, 0.42, 55
54, 0.46, 58
50, 0.56, 68
55, 0.51, 67
50, 0.42, 75
57, 0.51, 69
50, 0.42, 65
58, 0.6, 23
0, 0.93, 19
50, 0.51, 86
60, 0.46, 92
57, 0.46, 77
61, 0.56, 57
54, 0.37, 64
62, 0.56, 64
54, 0.37, 69
64, 0.56, 56
55, 0.42, 75
62, 0.51, 76
57, 0.51, 74
58, 0.42, 74
62, 0.51, 89
65, 0.37, 90
64, 0.56, 86
62, 0.37, 5
0, 0.74, 26
57, 0.46, 79
62, 0.46, 84
65, 0.37, 43
66, 0.09, 64
57, 0.46, 65
61, 0.46, 78
66, 0.42, 79
62, 0.46, 77
57, 0.42, 78
55, 0.51, 77
62, 0.42, 91
60, 0.42, 80
58, 0.37, 77
57, 0.51, 79
55, 0.42, 75
53, 0.46, 77
51, 0.42, 69
50, 1.1, 44
0, 3.0, 3
55, 0.42, 78
57, 0.51, 76
58, 0.42, 61
50, 0.46, 65
48, 0.51, 61
45, 0.14, 58
46, 0.05, 54
45, 0.05, 40
46, 0.14, 86
57, 0.51, 82
55, 0.46, 71
54, 0.46, 62
50, 0.42, 75
45, 1.2, 51
0, 0.79, 23
57, 0.51, 77
54, 0.42, 72
55, 0.42, 73
50, 0.46, 71
46, 1.4, 64
0, 0.6, 30
60, 0.46, 88
58, 0.42, 78
57, 0.7, 78
62, 1.1, 85
66, 0.84, 44
0, 0.56, 30
57, 0.56, 75
58, 0.74, 73
62, 0.98, 86
65, 1.2, 49
0, 0.51, 31
58, 0.42, 79
61, 0.74, 88
64, 0.93, 77
65, 0.09, 67
66, 0.05, 66
65, 0.05, 51
66, 0.37, 17
0, 0.79, 20
57, 0.51, 71
61, 0.37, 91
64, 0.56, 85
67, 0.46, 82
69, 0.46, 62
65, 0.42, 84
62, 0.42, 71
58, 0.42, 68
57, 0.6, 72
55, 0.56, 66
54, 0.65, 65
50, 0.7, 37
