note, length, volume
0, 1.4, 6
55, 0.79, 71
58, 0.37, 80
63, 1.2, 54
0, 0.98, 19
61, 0.51, 83
59, 0.42, 73
58, 1.1, 70
56, 0.7, 72
55, 0.56, 63
50, 0.65, 49
49, 0.05, 28
50, 0.51, 40
53, 0.7, 58
51, 0.6, 25
0, 0.79, 18
54, 0.28, 65
53, 0.42, 71
51, 0.37, 65
54, 0.33, 65
58, 0.65, 75
59, 0.28, 73
56, 0.56, 66
51, 0.46, 56
55, 0.7, 34
0, 0.74, 23
58, 0.23, 89
60, 0.33, 94
62, 0.79, 56
0, 0.74, 28
65, 0.28, 91
63, 0.42, 84
66, 0.7, 42
0, 0.7, 23
59, 0.28, 73
56, 0.33, 82
61, 0.84, 49
0, 0.7, 26
62, 0.42, 91
65, 0.65, 48
58, 1.5, 56
0, 1.1, 17
58, 0.37, 81
59, 0.37, 85
61, 0.42, 88
59, 0.42, 79
58, 0.46, 77
56, 0.46, 73
54, 0.37, 71
51, 0.46, 82
47, 0.42, 73
46, 1.0, 69
55, 1.1, 43
0, 1.2, 10
51, 0.65, 80
59, 0.93, 71
56, 0.74, 80
65, 1.3, 80
63, 0.93, 38
0, 1.1, 9
62, 0.7, 45
58, 0.74, 35
0, 1.1, 10
66, 0.51, 22
0, 0.28, 43
58, 0.6, 29
0, 1.1, 11
56, 0.37, 67
58, 0.42, 47
59, 0.56, 50
66, 0.56, 66
63, 0.74, 33
0, 1.4, 13
66, 0.28, 90
65, 0.42, 90
63, 0.37, 91
60, 0.37, 82
59, 0.42, 69
56, 0.42, 75
53, 0.33, 71
51, 0.46, 80
47, 0.74, 37
0, 1.4, 12
62, 0.33, 102
60, 0.37, 87
58, 0.37, 71
55, 0.42, 77
51, 0.42, 76
48, 0.42, 51
46, 0.37, 52
55, 0.42, 70
54, 0.37, 69
51, 0.37, 76
47, 0.37, 67
46, 0.42, 80
44, 0.7, 39
0, 1.1, 9
55, 0.51, 71
58, 0.42, 67
62, 0.46, 88
65, 0.56, 81
67, 0.79, 76
63, 0.84, 40
51, 0.6, 70
54, 0.37, 57
56, 0.42, 65
58, 0.37, 48
59, 0.32, 44
61, 0.42, 74
65, 0.42, 72
68, 0.42, 75
67, 0.6, 21
0, 1.6, 7
72, 0.46, 86
69, 0.37, 81
67, 0.09, 85
66, 0.37, 77
63, 0.33, 78
61, 0.37, 71
59, 0.33, 71
58, 0.46, 63
56, 0.42, 67
54, 0.33, 70
51, 0.37, 76
49, 0.37, 56
47, 0.33, 52
46, 0.56, 24
0, 1.3, 10
55, 0.42, 75
51, 0.37, 82
48, 0.42, 70
46, 0.56, 39
56, 0.56, 76
54, 0.32, 68
51, 0.42, 80
47, 0.42, 78
59, 0.42, 79
56, 0.37, 74
54, 0.37, 69
51, 0.46, 67
55, 0.46, 67
58, 0.42, 16
0, 2.7, 7
62, 0.37, 89
65, 0.79, 46
63, 0.37, 85
61, 0.6, 28
0, 0.33, 44
59, 0.32, 59
63, 0.37, 79
65, 0.14, 62
66, 0.05, 67
65, 0.05, 59
66, 0.42, 9
0, 0.88, 20
58, 0.74, 37
0, 0.05, 85
67, 1.2, 77
68, 0.33, 77
70, 0.6, 64
63, 0.51, 32
59, 0.74, 32
0, 1.3, 7
56, 0.56, 71
66, 0.42, 51
56, 0.46, 65
66, 0.42, 53
58, 0.42, 68
51, 0.56, 71
67, 0.98, 40
0, 1.1, 13
54, 0.28, 85
47, 0.51, 66
70, 0.74, 76
68, 0.05, 78
67, 0.05, 74
68, 0.19, 82
67, 0.14, 77
68, 0.33, 62
66, 0.37, 63
63, 0.42, 62
67, 0.37, 77
72, 1.1, 71
70, 0.56, 43
63, 0.65, 28
0, 0.74, 19
56, 0.37, 76
58, 0.37, 65
59, 0.46, 50
61, 0.33, 72
63, 0.37, 82
65, 0.42, 72
66, 0.37, 77
68, 0.42, 80
70, 0.46, 41
69, 0.05, 56
53, 0.46, 59
67, 0.7, 22
0, 2.3, 6
65, 0.7, 89
63, 0.37, 77
61, 0.42, 65
59, 0.28, 62
56, 0.46, 63
58, 0.51, 44
51, 0.28, 56
55, 0.46, 70
56, 0.37, 60
58, 0.33, 61
55, 0.37, 63
51, 0.28, 75
50, 0.37, 70
48, 0.42, 66
46, 0.33, 72
56, 0.37, 71
58, 0.42, 61
59, 0.23, 36
54, 0.28, 58
51, 0.37, 64
49, 0.28, 47
47, 0.33, 35
46, 0.37, 16
55, 0.7, 25
0, 0.88, 20
58, 0.33, 93
60, 0.32, 84
58, 0.32, 86
62, 0.33, 72
58, 0.37, 70
63, 0.33, 61
51, 0.37, 67
54, 0.28, 68
51, 0.33, 74
56, 0.42, 72
51, 0.33, 73
58, 0.37, 45
51, 0.37, 64
55, 0.33, 62
51, 0.28, 69
56, 0.42, 61
51, 0.23, 64
58, 0.37, 56
51, 0.37, 74
60, 0.56, 34
0, 0.74, 5
51, 0.37, 66
59, 0.33, 50
51, 0.28, 70
58, 0.37, 59
51, 0.28, 71
56, 0.46, 68
61, 0.33, 56
58, 0.37, 57
51, 0.28, 72
55, 0.79, 62
58, 0.65, 68
60, 0.42, 84
62, 0.84, 81
63, 0.42, 79
65, 0.84, 78
66, 0.46, 65
63, 0.65, 24
0, 0.65, 30
67, 1.3, 66
58, 0.56, 28
0, 1.8, 8
70, 0.46, 64
60, 0.42, 88
63, 0.23, 89
65, 0.7, 70
66, 0.56, 47
59, 0.65, 36
0, 1.4, 11
70, 0.28, 88
68, 0.32, 85
70, 0.33, 71
66, 0.37, 74
61, 0.33, 82
63, 0.37, 84
65, 1.3, 57
0, 1.3, 11
62, 0.74, 58
53, 0.37, 65
58, 0.56, 79
62, 0.6, 90
63, 0.56, 51
56, 0.19, 69
58, 0.28, 77
59, 0.79, 70
58, 0.09, 64
56, 0.33, 66
54, 0.88, 65
51, 0.19, 72
49, 0.33, 57
47, 0.19, 47
46, 0.56, 20
0, 0.98, 17
55, 0.37, 57
50, 0.33, 62
51, 0.28, 67
53, 0.28, 67
55, 0.33, 68
58, 0.33, 80
62, 0.33, 92
65, 0.37, 84
63, 0.28, 60
59, 0.33, 70
56, 0.46, 67
54, 0.7, 22
0, 0.7, 20
63, 0.51, 84
67, 0.98, 41
0, 0.56, 31
58, 0.33, 66
55, 0.28, 71
51, 0.32, 77
50, 0.65, 61
51, 0.37, 80
56, 0.74, 49
59, 0.33, 75
58, 0.6, 28
0, 0.56, 28
56, 0.28, 84
55, 0.28, 77
51, 0.33, 79
48, 0.37, 51
46, 0.33, 21
0, 0.28, 63
62, 0.88, 47
0, 0.37, 47
63, 0.33, 82
59, 0.23, 75
56, 0.37, 69
54, 0.6, 25
0, 0.6, 32
63, 0.7, 65
58, 0.33, 68
55, 0.23, 76
51, 0.33, 73
50, 0.84, 59
51, 0.28, 65
55, 0.33, 65
58, 0.28, 53
61, 0.37, 69
59, 0.28, 70
56, 0.33, 58
49, 0.37, 60
58, 0.28, 65
56, 0.32, 70
51, 0.37, 50
47, 0.37, 11
0, 0.33, 46
54, 0.37, 66
51, 0.7, 29
0, 1.8, 9
58, 0.65, 60
59, 0.74, 57
61, 0.6, 65
63, 0.65, 68
65, 0.79, 53
67, 0.7, 33
0, 1.1, 15
67, 0.28, 88
68, 0.23, 75
70, 0.42, 61
63, 0.37, 79
65, 0.37, 66
66, 0.28, 6
58, 0.42, 55
59, 0.46, 63
61, 0.23, 73
63, 0.37, 18
56, 0.42, 64
58, 0.28, 69
59, 0.37, 51
53, 0.46, 60
54, 0.37, 54
56, 0.28, 59
58, 0.28, 66
56, 0.46, 69
55, 0.51, 20
0, 1.2, 14
58, 0.28, 99
60, 0.23, 97
62, 0.28, 101
63, 0.28, 97
65, 0.88, 87
63, 0.23, 81
61, 0.28, 76
59, 0.33, 73
58, 0.28, 66
56, 0.33, 70
54, 0.28, 72
53, 0.28, 79
51, 0.33, 80
50, 0.33, 76
48, 0.37, 76
46, 0.93, 44
0, 1.6, 12
58, 0.28, 79
56, 0.23, 58
54, 0.23, 69
49, 0.37, 72
53, 1.1, 57
51, 0.33, 70
53, 0.37, 59
55, 0.28, 76
56, 0.28, 73
58, 0.37, 77
60, 0.33, 97
62, 0.74, 51
0, 0.98, 18
62, 0.37, 98
65, 0.37, 93
63, 0.84, 57
56, 0.28, 71
61, 0.28, 73
59, 0.88, 49
51, 0.33, 70
58, 0.33, 67
55, 0.28, 52
50, 0.28, 63
48, 1.1, 43
0, 1.5, 7
51, 0.37, 72
53, 0.51, 62
54, 0.05, 75
56, 0.42, 70
58, 0.33, 72
59, 0.33, 73
61, 0.37, 83
63, 0.42, 87
65, 0.33, 84
67, 0.33, 90
68, 0.23, 84
70, 0.33, 87
72, 1.1, 68
51, 0.56, 64
68, 0.65, 47
