note, length, volume
0, 5.0, 1
67, 0.33, 89
66, 0.46, 85
64, 0.23, 82
62, 0.37, 79
58, 0.33, 66
55, 0.42, 67
53, 0.37, 70
52, 0.51, 66
60, 1.7, 52
52, 0.65, 65
53, 0.93, 36
0, 3.2, 4
55, 0.33, 72
57, 0.42, 71
58, 0.33, 72
60, 0.33, 82
62, 1.0, 84
65, 0.7, 77
61, 1.0, 74
62, 0.09, 70
63, 0.6, 79
67, 0.14, 90
68, 0.05, 88
67, 0.46, 80
68, 0.19, 76
67, 1.7, 74
65, 1.3, 62
0, 2.9, 5
69, 0.42, 86
65, 0.46, 88
62, 0.37, 74
58, 0.42, 68
57, 1.3, 52
0, 0.74, 21
68, 0.46, 81
66, 0.33, 70
64, 0.42, 76
61, 0.6, 71
60, 1.3, 54
58, 0.46, 66
57, 0.74, 65
65, 0.93, 39
0, 2.9, 3
55, 0.46, 68
58, 0.33, 75
62, 0.46, 85
65, 0.28, 76
64, 0.98, 69
62, 0.84, 68
60, 0.93, 61
61, 0.79, 60
56, 1.0, 68
55, 1.2, 53
53, 0.98, 29
0, 2.6, 3
55, 0.42, 61
50, 0.46, 64
58, 0.37, 67
55, 0.37, 69
57, 0.46, 67
55, 0.33, 55
54, 0.46, 55
55, 0.42, 67
58, 0.79, 69
56, 0.51, 60
60, 0.42, 64
61, 0.46, 69
64, 0.51, 73
67, 0.79, 67
72, 0.51, 67
69, 1.1, 38
0, 4.0, 0
72, 0.51, 68
71, 0.33, 69
70, 0.42, 68
68, 0.42, 72
66, 0.33, 77
65, 0.42, 76
64, 0.46, 68
62, 0.42, 73
60, 0.42, 71
59, 0.37, 73
58, 0.46, 64
54, 0.46, 57
52, 1.3, 40
0, 0.65, 15
55, 0.46, 66
57, 0.93, 37
0, 5.0, 2
55, 0.46, 69
58, 0.32, 77
57, 0.37, 71
55, 0.37, 67
60, 1.4, 53
55, 0.33, 69
58, 0.37, 71
61, 0.28, 75
60, 0.42, 71
58, 0.51, 69
63, 0.88, 64
64, 0.93, 62
65, 0.65, 27
0, 5.0, 2
58, 0.28, 86
57, 0.42, 77
55, 0.37, 71
53, 0.42, 73
52, 0.51, 70
55, 0.37, 73
58, 0.42, 80
62, 0.46, 84
60, 1.3, 52
0, 0.6, 23
56, 0.46, 73
54, 0.37, 67
51, 0.42, 75
49, 0.42, 77
48, 1.2, 61
53, 1.4, 39
0, 3.2, 4
55, 0.42, 74
57, 0.42, 74
58, 0.37, 71
60, 0.46, 75
62, 1.3, 72
58, 0.51, 62
52, 0.7, 56
54, 0.33, 59
56, 0.88, 70
58, 0.33, 73
60, 1.3, 64
62, 0.37, 73
64, 1.0, 51
53, 1.3, 56
65, 1.2, 51
0, 3.2, 4
70, 0.37, 76
69, 0.42, 78
67, 0.46, 70
64, 0.6, 68
62, 0.88, 73
68, 1.4, 80
66, 0.37, 57
61, 0.42, 72
62, 0.42, 75
64, 1.0, 64
60, 0.56, 65
57, 0.79, 59
60, 0.46, 64
64, 0.7, 71
65, 0.74, 30
0, 5.0, 0
54, 0.42, 57
53, 0.42, 66
56, 0.42, 69
57, 0.37, 74
58, 0.42, 63
55, 0.37, 66
56, 0.37, 69
58, 0.46, 66
60, 0.37, 66
56, 0.42, 67
58, 0.37, 61
60, 0.46, 77
61, 0.46, 76
63, 0.42, 76
64, 0.51, 75
66, 0.09, 78
67, 0.51, 74
69, 1.3, 39
0, 5.0, 2
70, 0.88, 71
67, 0.37, 77
66, 0.37, 72
64, 0.37, 78
62, 0.33, 77
60, 0.37, 74
58, 0.33, 72
57, 0.33, 70
56, 0.37, 61
54, 0.37, 62
52, 0.42, 63
50, 0.37, 62
49, 0.37, 64
51, 0.46, 66
52, 0.42, 57
55, 0.7, 53
53, 1.2, 31
0, 2.0, 8
58, 0.28, 76
57, 0.37, 65
55, 0.28, 67
60, 1.3, 53
55, 0.33, 67
58, 0.37, 75
62, 0.33, 76
60, 1.6, 68
62, 0.33, 78
64, 0.46, 81
65, 1.3, 59
0, 1.6, 9
67, 0.37, 58
69, 0.56, 70
67, 0.37, 82
65, 0.33, 73
64, 0.37, 72
62, 0.42, 73
60, 0.37, 63
58, 0.37, 66
57, 0.37, 63
56, 0.42, 54
54, 0.33, 47
52, 0.42, 55
55, 0.37, 65
58, 0.42, 61
61, 0.37, 63
60, 0.46, 65
57, 0.46, 64
56, 0.32, 66
57, 0.51, 63
56, 0.6, 56
57, 0.42, 57
