note, length, volume
0, 0.68, 17
56, 0.56, 74
58, 0.37, 73
59, 0.32, 72
58, 0.6, 68
59, 0.09, 71
61, 0.46, 67
63, 0.42, 74
64, 0.46, 77
67, 1.1, 67
65, 0.28, 65
63, 0.28, 62
61, 0.84, 36
0, 1.0, 14
68, 0.37, 76
66, 0.51, 67
70, 1.1, 49
61, 0.56, 74
65, 1.5, 64
66, 0.42, 6
0, 2.0, 9
67, 0.33, 78
69, 0.33, 85
67, 0.37, 71
65, 0.65, 69
63, 0.42, 63
61, 0.28, 66
60, 0.56, 71
58, 0.09, 67
59, 0.09, 65
58, 0.6, 67
56, 0.42, 56
54, 0.28, 52
53, 0.37, 62
56, 0.51, 67
59, 0.23, 69
65, 0.51, 75
62, 0.51, 65
58, 0.51, 63
61, 0.79, 29
0, 1.6, 9
61, 0.37, 84
62, 0.37, 71
63, 0.42, 44
59, 0.28, 70
58, 0.46, 69
59, 0.37, 62
56, 0.6, 31
0, 0.28, 74
67, 0.33, 80
66, 0.33, 76
65, 0.46, 78
64, 0.46, 74
62, 0.37, 79
60, 0.51, 74
58, 0.93, 64
57, 1.3, 49
0, 1.0, 12
58, 0.56, 66
66, 1.3, 40
0, 1.5, 8
66, 0.28, 79
65, 0.37, 87
68, 0.33, 76
69, 0.28, 81
71, 0.28, 70
59, 0.05, 90
68, 0.42, 75
66, 0.23, 71
65, 0.46, 68
63, 0.33, 70
62, 0.37, 76
60, 0.46, 71
61, 0.37, 62
63, 0.42, 67
65, 0.42, 67
61, 0.33, 65
60, 0.46, 59
58, 0.88, 40
0, 2.4, 3
56, 0.42, 69
58, 0.37, 67
59, 0.33, 61
61, 0.37, 61
63, 0.74, 30
0, 0.33, 35
59, 0.6, 61
61, 0.65, 27
0, 0.56, 17
53, 0.7, 21
0, 0.42, 30
61, 0.74, 59
59, 0.51, 58
58, 0.74, 36
0, 2.9, 6
58, 1.0, 70
56, 1.1, 40
0, 1.0, 14
49, 0.37, 63
51, 0.42, 60
53, 0.42, 50
54, 0.42, 53
56, 0.51, 66
58, 0.56, 68
59, 0.42, 64
60, 0.46, 69
61, 0.84, 59
58, 1.0, 50
54, 0.6, 8
0, 1.5, 12
59, 0.05, 74
58, 0.14, 62
59, 0.05, 76
56, 0.56, 55
51, 0.42, 59
