note, length, volume
0, 0.19, 66
62, 0.28, 70
60, 0.37, 68
59, 0.33, 65
57, 0.33, 60
55, 0.32, 51
54, 0.33, 50
52, 0.42, 51
50, 0.42, 41
54, 0.33, 46
62, 0.46, 68
60, 0.46, 44
55, 0.46, 61
57, 0.46, 61
59, 1.3, 40
0, 2.0, 5
59, 0.42, 64
56, 0.6, 67
57, 0.33, 61
59, 0.37, 62
60, 0.28, 68
62, 0.33, 68
64, 0.79, 37
57, 0.51, 52
60, 0.46, 65
58, 0.74, 54
54, 0.37, 49
52, 0.46, 49
50, 0.6, 23
0, 0.7, 21
59, 0.42, 67
58, 0.56, 67
59, 1.3, 46
62, 0.42, 65
60, 1.4, 51
64, 0.46, 65
67, 1.3, 45
0, 3.3, 5
67, 0.37, 89
71, 0.33, 83
69, 0.33, 77
67, 0.37, 75
66, 0.42, 64
64, 0.42, 72
62, 0.33, 67
61, 0.33, 70
60, 1.2, 53
55, 0.42, 60
59, 0.37, 60
56, 0.46, 67
57, 0.42, 66
64, 0.42, 70
63, 0.51, 73
62, 0.56, 61
59, 0.42, 53
55, 0.93, 24
0, 1.8, 6
55, 0.32, 58
54, 0.33, 60
52, 0.42, 64
50, 0.33, 73
48, 0.42, 74
52, 0.37, 63
55, 0.37, 64
59, 0.42, 66
57, 0.42, 57
54, 0.37, 60
51, 0.42, 68
58, 1.1, 65
51, 0.74, 67
56, 0.65, 65
50, 0.7, 44
55, 0.7, 52
59, 0.74, 44
62, 0.7, 30
55, 0.56, 15
0, 2.2, 7
57, 0.33, 70
59, 0.42, 68
60, 0.37, 72
62, 0.37, 67
64, 0.79, 23
0, 0.09, 59
56, 0.51, 65
57, 0.33, 60
62, 0.46, 70
60, 0.65, 48
54, 0.42, 53
55, 0.23, 65
57, 0.46, 69
58, 0.42, 54
54, 0.33, 52
51, 0.51, 59
48, 0.6, 56
50, 0.7, 41
55, 0.88, 39
59, 0.7, 11
0, 3.5, 4
59, 0.42, 67
60, 0.74, 49
54, 0.42, 48
55, 0.37, 60
59, 0.42, 63
57, 0.88, 37
0, 0.74, 23
60, 0.42, 80
63, 0.88, 70
62, 0.46, 59
61, 0.51, 56
62, 0.56, 26
0, 0.74, 24
58, 0.7, 58
59, 0.37, 46
60, 0.42, 65
59, 0.51, 52
62, 0.42, 53
59, 0.46, 61
60, 0.42, 52
57, 0.51, 61
59, 0.51, 51
55, 0.46, 46
50, 0.93, 51
55, 0.65, 27
0, 2.3, 6
57, 0.28, 59
56, 0.37, 67
57, 0.46, 66
52, 1.2, 62
57, 1.2, 60
54, 0.37, 48
51, 0.37, 62
50, 0.88, 32
0, 0.79, 21
59, 0.37, 78
58, 0.33, 78
59, 0.93, 57
60, 1.8, 63
62, 1.4, 61
64, 0.51, 14
0, 1.8, 7
58, 0.37, 74
57, 0.46, 69
58, 0.37, 58
54, 0.33, 60
58, 0.51, 67
53, 0.84, 61
58, 0.42, 57
54, 0.37, 55
51, 0.37, 62
57, 0.42, 61
54, 0.37, 55
52, 0.51, 61
50, 0.6, 56
48, 0.65, 43
50, 0.93, 26
0, 1.1, 11
53, 0.42, 63
57, 0.51, 72
59, 0.42, 68
57, 0.51, 60
55, 0.98, 48
62, 1.2, 47
55, 0.65, 16
0, 3.4, 3
69, 0.37, 79
67, 0.46, 75
66, 0.28, 62
64, 0.51, 74
62, 0.42, 73
60, 0.56, 74
58, 0.42, 67
57, 0.56, 70
58, 0.56, 55
54, 0.33, 53
55, 0.37, 63
57, 0.51, 67
58, 0.42, 48
54, 0.37, 45
50, 0.56, 59
48, 0.46, 73
47, 1.1, 47
0, 2.8, 4
55, 0.42, 69
52, 0.33, 76
48, 0.46, 49
45, 0.46, 12
57, 0.05, 49
55, 0.51, 65
59, 0.42, 69
57, 0.7, 47
50, 0.37, 55
52, 0.42, 50
54, 0.37, 54
55, 0.37, 62
57, 0.37, 62
59, 0.42, 67
60, 1.0, 56
59, 0.33, 57
57, 0.46, 53
62, 1.5, 47
0, 2.3, 5
62, 0.46, 75
63, 0.33, 62
64, 0.84, 38
60, 0.42, 58
59, 0.37, 49
60, 0.65, 20
0, 0.09, 28
56, 0.51, 47
57, 0.37, 57
60, 0.37, 62
59, 0.46, 62
58, 0.51, 54
54, 0.51, 45
52, 0.65, 23
0, 0.79, 18
59, 0.33, 64
57, 0.46, 60
55, 0.33, 29
50, 0.42, 47
49, 0.37, 46
50, 0.33, 43
54, 0.42, 43
48, 0.51, 56
47, 0.42, 48
50, 0.42, 48
55, 0.46, 52
59, 0.56, 20
0, 2.4, 5
59, 0.42, 68
60, 1.0, 49
62, 0.98, 50
64, 0.98, 49
66, 0.79, 55
67, 0.79, 67
69, 0.42, 70
70, 0.28, 77
72, 0.42, 80
74, 1.3, 73
72, 0.46, 69
71, 0.93, 32
0, 2.9, 5
71, 0.51, 75
69, 0.19, 63
66, 0.46, 67
63, 0.46, 64
67, 0.32, 65
66, 0.09, 58
65, 0.33, 68
62, 0.37, 67
61, 0.51, 56
64, 0.42, 62
62, 0.46, 50
57, 0.46, 65
58, 0.46, 62
59, 0.33, 60
58, 0.51, 60
59, 0.37, 60
60, 0.46, 62
61, 0.33, 62
60, 0.51, 56
61, 0.42, 62
62, 0.51, 68
63, 0.93, 32
64, 1.1, 42
66, 0.98, 30
67, 0.28, 0
0, 2.9, 4
69, 0.37, 78
67, 0.42, 74
66, 0.28, 65
64, 0.51, 76
62, 0.32, 66
61, 0.37, 66
60, 0.46, 57
59, 0.37, 58
58, 0.37, 60
57, 0.42, 56
55, 0.37, 51
54, 0.51, 50
52, 0.46, 54
50, 0.56, 49
54, 0.37, 49
57, 0.46, 51
55, 0.65, 20
0, 3.1, 3
50, 0.46, 59
54, 0.42, 64
57, 0.46, 64
55, 0.37, 63
59, 0.42, 63
62, 0.51, 72
60, 0.51, 68
64, 0.46, 77
67, 0.6, 67
71, 1.4, 67
74, 1.2, 58
0, 2.7, 3
72, 0.51, 81
71, 0.33, 78
69, 0.46, 74
66, 0.42, 61
65, 0.33, 55
66, 0.42, 22
65, 0.09, 56
60, 0.37, 68
62, 0.37, 74
63, 0.33, 76
65, 0.46, 71
67, 0.42, 79
68, 0.37, 73
70, 0.84, 71
72, 0.88, 82
74, 1.6, 68
0, 2.8, 3
72, 0.46, 79
71, 0.37, 74
66, 0.42, 68
67, 0.37, 68
71, 0.33, 71
69, 0.56, 59
62, 0.33, 65
64, 0.46, 61
67, 0.42, 67
66, 0.51, 54
60, 0.46, 60
59, 0.42, 65
58, 0.51, 54
54, 0.42, 45
62, 0.74, 63
59, 0.51, 49
55, 1.0, 28
0, 2.8, 1
56, 0.56, 66
57, 0.46, 69
59, 0.42, 51
60, 0.28, 74
62, 0.56, 81
63, 0.56, 73
65, 0.79, 72
66, 1.3, 56
65, 0.14, 43
66, 0.05, 68
62, 0.79, 32
0, 1.4, 9
67, 0.28, 76
66, 0.09, 63
65, 0.6, 66
63, 0.23, 53
64, 0.37, 54
67, 0.37, 76
71, 0.84, 43
0, 1.2, 12
69, 0.33, 70
66, 0.09, 62
65, 0.56, 62
62, 0.42, 69
60, 0.51, 64
64, 0.51, 66
69, 0.74, 37
0, 1.8, 5
67, 0.46, 84
71, 0.42, 88
74, 0.93, 57
0, 1.2, 11
71, 0.37, 75
72, 0.74, 35
0, 0.65, 15
65, 0.7, 51
64, 0.93, 39
0, 1.1, 10
66, 1.1, 40
0, 0.93, 13
67, 1.6, 56
0, 2.6, 7
60, 0.46, 75
59, 0.51, 58
60, 0.93, 33
0, 1.1, 4
56, 1.7, 59
57, 0.37, 67
59, 0.37, 58
60, 0.51, 63
61, 1.3, 54
62, 0.98, 55
59, 1.3, 35
0, 0.88, 18
58, 1.2, 38
0, 0.74, 17
59, 1.1, 40
54, 0.74, 53
57, 0.7, 56
55, 0.74, 22
0, 1.9, 4
48, 0.42, 66
50, 0.37, 60
52, 0.42, 53
54, 0.37, 53
55, 0.33, 61
57, 0.56, 63
58, 0.37, 59
60, 0.51, 60
61, 0.42, 68
62, 0.46, 76
63, 1.1, 36
0, 1.4, 10
65, 0.51, 78
64, 0.23, 75
62, 0.98, 75
66, 0.84, 64
65, 0.51, 36
62, 0.74, 56
67, 0.98, 55
62, 0.79, 59
55, 0.7, 24
0, 5.0, 2
59, 0.74, 67
57, 0.37, 60
55, 0.33, 56
54, 0.37, 56
50, 0.46, 39
46, 0.56, 42
58, 0.46, 11
0, 0.88, 19
58, 0.28, 73
57, 0.33, 64
55, 0.33, 60
54, 0.37, 59
53, 0.37, 66
52, 0.46, 58
50, 0.37, 51
48, 0.46, 60
47, 0.74, 54
55, 0.93, 37
56, 0.6, 60
51, 0.33, 55
50, 1.1, 43
54, 0.46, 37
55, 0.7, 17
0, 2.4, 5
59, 0.51, 43
54, 0.37, 53
55, 0.28, 67
57, 0.46, 71
58, 0.88, 69
56, 0.51, 62
57, 0.37, 63
59, 0.33, 63
58, 0.46, 61
60, 0.51, 56
57, 0.51, 50
61, 1.1, 51
58, 0.37, 48
54, 0.33, 45
51, 0.46, 53
50, 0.46, 62
62, 0.42, 65
59, 0.42, 48
55, 0.51, 32
50, 0.51, 26
55, 0.46, 27
59, 0.46, 5
0, 3.2, 4
59, 1.4, 46
0, 0.05, 48
52, 0.93, 55
60, 0.51, 44
59, 0.37, 26
52, 0.74, 50
51, 0.93, 27
0, 1.9, 10
59, 0.05, 72
58, 0.33, 56
54, 0.37, 59
55, 0.28, 60
57, 0.46, 66
59, 0.79, 38
50, 0.65, 51
59, 0.84, 35
0, 0.05, 60
50, 0.79, 54
48, 0.51, 46
49, 0.28, 51
57, 0.84, 30
0, 1.1, 7
54, 0.79, 58
53, 0.51, 57
55, 0.74, 63
58, 0.23, 65
57, 0.46, 62
59, 0.19, 63
58, 0.23, 61
57, 0.28, 62
60, 0.23, 69
59, 0.37, 68
62, 0.51, 79
63, 2.0, 64
64, 1.4, 58
66, 0.93, 33
0, 1.2, 11
67, 0.7, 78
62, 0.32, 68
59, 0.33, 57
55, 0.51, 40
64, 0.42, 66
69, 0.84, 48
66, 0.56, 61
62, 0.46, 68
67, 0.6, 28
0, 2.8, 7
74, 0.42, 91
73, 0.33, 87
72, 0.37, 77
71, 0.32, 70
70, 0.37, 70
69, 0.37, 71
67, 0.33, 69
66, 0.28, 64
65, 0.46, 74
64, 0.42, 63
63, 0.46, 68
62, 0.46, 63
61, 0.42, 57
60, 0.6, 65
58, 0.56, 57
54, 0.56, 41
50, 1.1, 29
0, 2.2, 7
57, 0.42, 62
54, 0.33, 55
55, 0.23, 69
57, 0.42, 70
58, 0.28, 61
56, 0.42, 63
57, 0.28, 66
59, 0.33, 66
60, 0.37, 69
61, 0.37, 77
62, 0.33, 75
63, 0.42, 66
64, 0.93, 48
66, 0.79, 57
67, 0.93, 39
62, 0.84, 45
55, 0.7, 21
0, 2.3, 6
67, 0.32, 86
71, 0.28, 81
69, 0.33, 72
67, 0.33, 74
66, 0.79, 68
64, 0.84, 46
67, 0.46, 82
63, 0.33, 83
65, 0.37, 69
58, 0.42, 56
60, 0.65, 31
0, 0.56, 22
61, 0.37, 73
64, 0.37, 71
67, 0.51, 75
66, 0.19, 77
62, 0.37, 67
67, 0.51, 68
66, 1.0, 35
0, 2.6, 5
69, 0.42, 74
70, 0.28, 74
67, 0.42, 86
68, 0.37, 76
69, 0.42, 68
66, 0.51, 65
63, 0.23, 65
64, 0.42, 73
65, 0.46, 68
62, 0.42, 66
65, 0.42, 62
62, 0.37, 75
65, 0.46, 74
62, 0.42, 72
65, 0.46, 69
62, 0.42, 75
67, 1.0, 45
0, 2.8, 4
64, 0.51, 70
62, 0.37, 73
60, 0.37, 63
59, 0.33, 68
57, 0.42, 62
55, 0.33, 55
54, 0.37, 57
52, 0.51, 70
63, 0.6, 73
61, 0.33, 67
60, 0.37, 66
58, 0.37, 67
57, 0.37, 61
55, 0.33, 52
54, 0.33, 51
52, 0.46, 55
50, 0.37, 45
55, 0.42, 53
59, 0.37, 65
62, 0.46, 69
60, 0.46, 55
57, 0.37, 55
54, 0.37, 45
50, 0.46, 43
55, 0.51, 15
0, 5.0, 1
59, 0.37, 64
60, 0.33, 67
59, 0.46, 64
60, 0.51, 50
62, 0.33, 70
64, 0.33, 72
62, 0.33, 67
64, 0.51, 38
66, 0.42, 70
67, 0.28, 71
66, 0.37, 71
67, 0.51, 32
69, 1.3, 74
70, 0.65, 36
0, 0.79, 22
71, 0.33, 79
72, 0.42, 79
71, 0.37, 74
67, 0.46, 68
69, 0.33, 65
57, 0.05, 71
66, 0.42, 64
64, 0.42, 67
62, 0.7, 67
67, 0.93, 22
0, 2.6, 7
69, 0.42, 74
70, 0.33, 79
71, 0.33, 67
67, 0.33, 64
64, 0.37, 68
60, 0.42, 72
59, 0.46, 62
57, 0.65, 37
66, 0.42, 76
67, 0.33, 74
69, 0.28, 67
66, 0.37, 64
62, 0.37, 57
59, 0.42, 60
58, 0.46, 64
56, 0.6, 31
0, 0.98, 17
62, 0.37, 82
60, 0.37, 71
59, 0.42, 66
57, 0.37, 61
60, 0.33, 67
59, 0.37, 63
57, 0.46, 56
54, 0.33, 48
59, 0.42, 61
57, 0.46, 55
55, 2.3, 18
0, 0.82, 23
60, 0.46, 76
59, 0.33, 70
57, 0.37, 59
62, 1.1, 53
0, 0.37, 32
64, 0.42, 58
66, 0.23, 65
67, 0.46, 73
68, 0.09, 73
69, 0.98, 56
70, 0.46, 18
0, 1.0, 12
71, 0.37, 74
67, 0.37, 72
64, 0.46, 68
60, 0.46, 70
63, 0.93, 63
66, 1.2, 57
67, 1.1, 33
0, 2.5, 5
66, 0.23, 75
65, 0.42, 73
64, 0.33, 74
63, 0.42, 72
62, 0.37, 63
61, 0.37, 63
60, 0.46, 69
58, 0.42, 67
57, 0.37, 60
55, 0.37, 52
54, 1.4, 35
52, 0.46, 51
54, 1.4, 27
52, 0.46, 39
54, 0.42, 56
57, 0.46, 59
55, 0.65, 25
0, 1.3, 8
55, 0.37, 65
59, 0.42, 68
58, 0.84, 65
59, 0.65, 44
60, 0.7, 31
0, 0.09, 66
56, 0.56, 61
57, 0.28, 59
59, 0.42, 50
60, 0.33, 67
62, 0.42, 72
63, 0.33, 72
65, 1.2, 62
66, 0.74, 51
67, 0.6, 13
0, 3.5, 4
67, 0.46, 83
71, 0.37, 79
68, 0.46, 77
69, 0.6, 64
64, 0.42, 64
60, 0.37, 66
59, 0.51, 60
57, 0.65, 42
70, 0.42, 76
73, 0.33, 79
71, 0.37, 76
72, 0.56, 72
69, 0.46, 69
66, 0.37, 64
64, 0.51, 64
62, 0.46, 50
67, 0.88, 36
0, 3.1, 4
69, 0.46, 80
66, 0.42, 73
67, 0.84, 29
0, 0.23, 27
69, 0.42, 70
66, 0.42, 66
64, 0.46, 71
62, 0.42, 66
60, 1.3, 38
0, 0.74, 15
61, 1.2, 32
0, 0.74, 19
62, 0.51, 77
63, 0.56, 69
64, 0.42, 62
66, 0.51, 65
65, 0.7, 70
66, 0.51, 61
67, 0.51, 72
69, 0.84, 68
70, 1.6, 57
71, 0.46, 16
0, 2.2, 7
71, 0.33, 72
67, 0.37, 73
64, 0.37, 72
60, 0.37, 62
59, 0.46, 61
57, 0.6, 31
0, 0.7, 22
70, 0.28, 67
66, 0.42, 67
63, 0.37, 71
60, 0.46, 59
58, 0.42, 64
57, 0.79, 32
0, 0.88, 11
55, 1.3, 57
59, 0.37, 57
55, 0.28, 63
57, 1.3, 59
60, 0.46, 38
57, 0.33, 57
59, 1.4, 28
0, 2.4, 5
59, 0.37, 59
60, 0.37, 45
57, 0.33, 60
59, 0.33, 51
55, 0.33, 56
57, 0.46, 52
54, 1.1, 41
64, 0.37, 79
63, 0.33, 70
62, 0.28, 64
61, 0.32, 67
60, 0.33, 58
59, 0.09, 66
58, 0.6, 64
54, 0.28, 44
51, 0.46, 43
48, 0.42, 34
50, 0.33, 53
55, 0.37, 62
59, 0.65, 26
0, 1.3, 15
58, 0.28, 75
57, 0.28, 79
56, 1.1, 74
57, 0.23, 69
58, 0.23, 72
59, 0.37, 69
60, 0.33, 71
61, 0.37, 75
62, 0.37, 73
63, 0.88, 60
60, 0.74, 44
58, 0.42, 25
0, 0.84, 19
66, 0.37, 81
64, 0.6, 67
67, 0.56, 42
66, 0.05, 55
62, 0.65, 57
69, 0.98, 62
60, 0.46, 50
71, 0.51, 87
69, 0.37, 72
67, 0.37, 68
66, 0.42, 62
67, 0.56, 19
0, 5.0, 1
67, 0.33, 68
66, 0.37, 71
64, 0.65, 66
60, 0.23, 67
57, 1.3, 53
54, 0.28, 62
57, 0.84, 35
0, 0.74, 18
55, 0.19, 47
52, 1.3, 53
54, 0.33, 45
55, 0.19, 17
50, 0.7, 46
59, 0.93, 57
57, 0.05, 44
54, 0.93, 44
57, 0.19, 55
60, 0.88, 50
59, 0.46, 17
0, 4.2, 3
60, 0.37, 77
63, 0.37, 51
56, 0.37, 65
57, 0.32, 65
59, 0.33, 61
60, 0.37, 65
58, 0.37, 59
60, 0.37, 66
61, 0.33, 62
64, 0.42, 65
66, 0.42, 53
63, 0.37, 73
62, 0.46, 59
67, 0.42, 72
71, 0.7, 62
70, 0.05, 78
62, 0.42, 66
67, 0.51, 36
60, 0.37, 58
66, 0.46, 56
59, 0.46, 59
58, 0.56, 50
66, 0.42, 60
62, 0.46, 38
59, 0.32, 30
55, 0.51, 6
0, 2.0, 4
55, 0.33, 72
56, 0.33, 73
57, 0.56, 65
52, 0.28, 66
51, 1.2, 62
50, 0.46, 54
48, 0.7, 46
47, 0.28, 72
46, 0.46, 53
53, 0.42, 47
48, 0.37, 60
58, 0.46, 35
51, 0.28, 41
54, 0.37, 53
57, 0.46, 55
55, 0.51, 18
0, 2.2, 6
59, 1.2, 62
60, 0.7, 53
59, 0.33, 61
57, 0.33, 56
55, 0.37, 46
54, 0.56, 35
61, 0.23, 64
60, 0.79, 51
61, 0.33, 65
62, 0.46, 57
63, 0.65, 28
0, 0.93, 18
58, 0.42, 46
59, 0.23, 33
62, 0.7, 36
0, 0.74, 23
59, 0.23, 57
55, 0.42, 56
64, 0.74, 34
0, 0.51, 19
54, 0.42, 52
49, 0.09, 62
50, 0.23, 43
49, 0.05, 57
55, 0.65, 27
0, 3.2, 3
60, 0.56, 76
62, 0.37, 69
64, 0.42, 60
66, 1.2, 65
64, 0.79, 63
62, 1.4, 51
0, 0.05, 84
71, 0.88, 79
69, 1.2, 68
67, 1.5, 46
0, 2.7, 2
62, 0.51, 72
66, 0.79, 67
64, 0.37, 71
60, 0.42, 69
62, 0.42, 57
59, 0.42, 62
57, 0.46, 59
55, 0.56, 57
60, 0.46, 64
59, 0.74, 61
58, 0.79, 64
57, 0.42, 60
56, 0.42, 58
55, 0.42, 52
54, 0.46, 49
52, 0.51, 55
50, 1.0, 33
0, 2.6, 4
53, 0.37, 62
52, 0.51, 67
55, 0.32, 55
54, 0.42, 58
57, 0.42, 61
55, 0.42, 62
58, 0.37, 67
57, 0.46, 62
60, 0.51, 68
58, 0.46, 63
61, 0.42, 63
58, 0.14, 61
59, 0.09, 56
58, 0.14, 72
62, 0.37, 66
60, 0.46, 55
64, 0.56, 61
62, 0.56, 62
65, 0.14, 54
66, 0.14, 63
65, 0.09, 53
66, 0.46, 62
67, 1.3, 52
62, 0.51, 34
55, 0.56, 23
0, 2.8, 5
71, 0.37, 85
69, 0.37, 74
66, 0.37, 64
65, 0.28, 67
64, 0.37, 73
63, 0.37, 68
62, 0.23, 58
61, 0.42, 61
60, 1.2, 52
55, 0.42, 58
59, 0.33, 56
57, 0.93, 36
0, 0.05, 38
50, 0.88, 42
59, 0.7, 45
58, 0.14, 39
55, 0.79, 26
0, 1.2, 14
50, 0.79, 51
60, 0.6, 56
54, 0.98, 40
52, 0.56, 58
60, 0.51, 63
57, 1.1, 55
58, 0.51, 56
59, 0.6, 20
0, 0.14, 46
62, 0.7, 37
67, 0.7, 31
