note, length, volume
0, 0.18, 72
59, 0.79, 77
58, 0.46, 77
59, 0.23, 76
61, 0.32, 83
62, 0.37, 77
64, 0.33, 68
66, 0.33, 79
68, 0.42, 81
69, 0.79, 75
71, 0.56, 82
68, 0.79, 79
64, 0.79, 70
69, 0.98, 45
0, 1.5, 12
71, 0.33, 94
73, 0.33, 91
71, 0.23, 83
69, 0.28, 86
68, 0.28, 78
66, 0.33, 67
64, 0.37, 63
63, 0.28, 79
62, 1.0, 75
61, 0.28, 65
59, 0.33, 72
57, 0.32, 74
56, 0.42, 64
52, 0.37, 62
57, 0.98, 59
52, 1.2, 35
0, 1.7, 5
52, 0.32, 68
57, 0.33, 67
61, 0.33, 67
59, 0.33, 71
57, 0.33, 71
56, 0.37, 67
59, 0.6, 73
62, 0.37, 76
66, 0.88, 36
0, 0.74, 14
64, 0.51, 76
62, 0.28, 81
61, 0.37, 78
60, 0.51, 71
56, 0.37, 67
59, 0.51, 52
54, 0.46, 40
56, 0.56, 68
57, 0.6, 29
0, 1.9, 8
58, 0.28, 74
59, 0.28, 74
60, 0.23, 66
59, 0.28, 71
58, 0.51, 68
59, 0.19, 64
62, 0.56, 70
66, 0.05, 61
65, 0.33, 39
66, 0.23, 0
0, 0.79, 19
59, 0.33, 72
57, 0.28, 70
56, 0.28, 46
54, 0.37, 46
52, 0.42, 63
56, 0.42, 69
60, 1.1, 52
64, 0.56, 49
61, 0.84, 18
0, 1.6, 10
61, 0.28, 71
64, 0.33, 72
62, 0.28, 72
61, 0.37, 66
59, 0.28, 66
57, 0.32, 65
56, 0.93, 39
0, 0.65, 20
61, 0.33, 79
62, 0.33, 73
64, 0.37, 67
66, 0.32, 76
67, 0.37, 79
68, 0.7, 59
66, 0.37, 59
64, 0.46, 57
61, 0.46, 44
59, 0.6, 34
64, 0.51, 9
0, 1.9, 9
68, 0.42, 82
70, 0.37, 81
71, 0.88, 73
69, 0.28, 77
68, 0.28, 67
66, 0.37, 54
69, 0.46, 77
68, 0.33, 71
66, 0.28, 53
64, 0.33, 75
68, 0.28, 70
66, 0.19, 65
64, 0.37, 67
60, 0.37, 66
58, 0.79, 39
0, 0.84, 25
67, 0.19, 78
66, 0.33, 73
64, 0.32, 84
61, 0.37, 77
59, 0.37, 76
61, 0.32, 72
59, 0.37, 72
61, 0.37, 57
57, 0.28, 56
61, 0.33, 68
59, 1.4, 51
0, 0.88, 14
59, 0.74, 69
58, 0.37, 74
59, 0.23, 73
61, 0.23, 69
62, 0.19, 69
59, 0.28, 72
57, 0.28, 46
52, 0.28, 59
56, 0.28, 69
59, 0.23, 67
62, 0.28, 82
65, 0.32, 70
70, 0.28, 79
68, 0.28, 77
67, 0.32, 78
65, 0.28, 73
64, 0.84, 37
0, 2.0, 5
67, 0.42, 81
65, 0.33, 80
64, 0.28, 82
62, 0.19, 77
61, 0.37, 79
62, 0.23, 76
64, 0.42, 72
66, 0.28, 84
68, 1.8, 75
64, 0.74, 41
57, 0.88, 39
0, 0.79, 20
71, 1.1, 85
69, 0.28, 85
71, 0.33, 85
73, 0.65, 81
71, 0.09, 79
69, 0.19, 85
68, 0.79, 87
65, 0.74, 33
0, 0.6, 28
68, 0.37, 84
66, 0.28, 79
65, 0.37, 85
68, 0.28, 71
66, 0.32, 75
62, 0.33, 85
61, 0.37, 72
64, 0.33, 78
62, 0.33, 70
59, 0.28, 74
57, 0.42, 58
52, 0.37, 65
50, 0.56, 28
0, 0.46, 28
56, 0.37, 75
57, 0.28, 70
59, 0.33, 68
61, 0.33, 82
62, 0.28, 67
64, 0.37, 72
66, 0.51, 72
65, 0.09, 65
64, 1.5, 33
0, 3.0, 4
66, 0.37, 82
68, 0.28, 71
64, 0.46, 49
66, 0.37, 74
62, 0.51, 81
64, 0.56, 72
59, 0.6, 35
0, 0.65, 38
62, 0.42, 78
64, 0.42, 71
66, 0.37, 84
67, 0.33, 73
65, 0.09, 68
64, 0.51, 75
66, 0.37, 84
68, 0.14, 80
67, 0.09, 64
68, 0.28, 8
0, 0.79, 21
71, 0.33, 85
69, 0.14, 69
64, 0.37, 74
61, 0.28, 72
65, 0.19, 67
66, 0.05, 66
65, 0.09, 63
66, 0.28, 68
64, 0.46, 71
61, 0.28, 60
59, 0.42, 69
57, 0.65, 31
0, 1.3, 15
59, 0.19, 69
56, 0.33, 72
57, 0.23, 70
59, 0.33, 72
61, 0.28, 80
62, 0.28, 66
59, 0.28, 64
56, 0.37, 55
54, 0.28, 49
52, 0.46, 61
53, 0.28, 59
56, 0.37, 57
55, 0.28, 61
58, 0.33, 62
56, 0.33, 62
59, 0.28, 64
57, 0.37, 52
60, 0.37, 66
58, 0.37, 69
61, 0.23, 74
60, 0.42, 82
62, 0.37, 80
64, 0.6, 25
0, 1.8, 8
66, 1.0, 69
64, 0.23, 78
62, 0.23, 81
61, 0.46, 75
59, 0.7, 52
