note, length, volume
0, 3.1, 3
53, 0.51, 73
58, 0.7, 78
60, 0.28, 70
61, 0.28, 70
63, 0.98, 65
64, 1.0, 65
67, 1.3, 71
69, 0.74, 69
67, 0.42, 68
63, 0.51, 70
60, 0.6, 73
58, 1.7, 67
56, 0.84, 38
0, 3.1, 6
60, 0.56, 65
53, 0.42, 71
58, 0.37, 70
60, 0.56, 72
61, 0.79, 25
0, 1.0, 12
63, 0.42, 81
65, 0.6, 71
66, 1.3, 65
67, 0.05, 66
63, 0.42, 73
60, 0.46, 67
58, 0.84, 71
60, 1.4, 48
0, 3.3, 6
67, 1.0, 92
65, 0.51, 78
67, 0.37, 71
63, 0.33, 81
65, 0.37, 81
61, 0.42, 74
58, 0.51, 68
60, 0.37, 76
56, 0.42, 70
53, 0.46, 60
54, 0.42, 57
55, 0.37, 66
58, 0.37, 68
63, 0.37, 67
61, 0.42, 66
60, 0.65, 66
58, 0.37, 68
56, 0.7, 36
0, 2.0, 2
53, 0.42, 70
57, 0.28, 74
60, 0.33, 73
63, 0.37, 69
60, 0.46, 63
61, 0.37, 56
60, 0.42, 67
58, 0.33, 68
56, 0.33, 65
55, 0.33, 60
53, 0.37, 66
52, 0.46, 58
55, 0.32, 66
58, 0.46, 64
63, 0.42, 68
60, 1.1, 43
56, 1.2, 42
51, 0.51, 45
56, 0.46, 20
0, 2.2, 4
53, 0.32, 67
51, 0.33, 53
48, 0.28, 57
51, 0.33, 63
53, 0.28, 64
56, 0.37, 60
60, 0.33, 68
63, 0.42, 64
61, 0.56, 67
59, 0.56, 70
57, 0.37, 66
55, 0.28, 52
54, 0.23, 60
52, 0.37, 59
51, 0.33, 43
55, 0.42, 64
60, 0.37, 79
58, 0.37, 71
56, 1.1, 46
0, 2.0, 9
70, 0.74, 84
68, 0.37, 78
69, 0.28, 74
67, 0.37, 74
69, 0.33, 78
65, 1.2, 78
69, 0.37, 71
64, 0.37, 71
66, 0.37, 69
63, 0.42, 74
64, 0.37, 79
61, 0.93, 74
63, 0.74, 67
60, 1.1, 45
0, 2.5, 5
58, 0.46, 68
60, 0.37, 67
61, 0.28, 66
63, 0.37, 77
65, 0.42, 74
66, 0.19, 81
67, 0.46, 85
65, 0.46, 70
61, 0.37, 65
58, 0.37, 74
60, 0.37, 72
58, 0.51, 64
63, 1.2, 44
55, 0.74, 64
56, 0.88, 43
0, 2.4, 6
59, 0.23, 80
58, 0.42, 78
57, 0.37, 73
58, 0.37, 52
60, 0.42, 70
61, 0.84, 47
58, 0.37, 64
52, 0.28, 58
51, 0.42, 55
48, 0.42, 65
59, 0.37, 76
57, 0.56, 68
55, 1.1, 54
51, 1.2, 60
56, 1.5, 49
0, 2.7, 5
60, 0.46, 73
61, 0.19, 77
58, 0.37, 69
60, 0.37, 68
61, 0.33, 61
63, 0.33, 63
60, 0.37, 69
61, 0.28, 73
64, 0.46, 72
65, 0.33, 62
63, 0.33, 67
64, 0.42, 72
66, 0.6, 72
67, 0.09, 74
66, 0.14, 69
67, 1.4, 63
63, 0.98, 68
68, 0.19, 95
67, 0.05, 93
68, 0.19, 91
67, 0.14, 90
68, 1.2, 63
0, 2.2, 4
63, 0.93, 77
68, 1.5, 94
67, 0.42, 80
65, 0.33, 72
63, 0.37, 68
61, 0.37, 72
59, 0.42, 68
55, 0.32, 65
52, 0.93, 71
49, 0.46, 64
51, 0.74, 37
0, 1.5, 7
55, 0.51, 69
60, 0.6, 77
56, 0.88, 42
0, 2.6, 4
72, 0.33, 89
68, 0.28, 88
65, 0.37, 77
61, 0.37, 70
59, 1.7, 65
58, 0.51, 67
55, 0.33, 66
57, 0.28, 72
58, 0.33, 65
60, 0.37, 60
61, 0.28, 64
64, 0.37, 68
