note, length, volume
0, 3.5, 4
67, 0.6, 90
63, 0.28, 94
60, 0.28, 69
55, 0.37, 74
58, 0.42, 72
55, 0.37, 73
57, 0.42, 75
62, 0.46, 86
65, 1.6, 73
0, 2.2, 8
63, 0.28, 91
62, 0.33, 85
60, 0.05, 85
58, 0.37, 82
57, 0.28, 72
55, 0.33, 73
53, 0.28, 76
51, 0.32, 75
50, 0.79, 64
53, 0.33, 74
58, 1.4, 52
0, 1.5, 9
55, 0.42, 58
49, 0.09, 75
50, 0.32, 74
55, 0.33, 79
58, 0.28, 77
59, 0.23, 79
57, 0.37, 73
55, 0.33, 72
53, 0.51, 71
62, 0.42, 86
63, 0.28, 76
64, 0.37, 86
65, 0.33, 83
62, 0.33, 75
58, 0.46, 67
55, 0.6, 22
0, 1.6, 11
67, 0.33, 89
63, 0.23, 95
60, 0.28, 71
55, 0.33, 77
57, 0.28, 82
65, 0.37, 81
63, 0.37, 52
53, 0.37, 70
62, 0.93, 51
0, 0.93, 15
53, 0.37, 74
60, 0.37, 54
53, 0.37, 72
58, 0.56, 27
0, 2.6, 5
55, 0.33, 73
51, 0.28, 73
48, 0.19, 69
51, 0.28, 67
55, 0.37, 67
51, 0.37, 76
53, 1.1, 56
60, 0.33, 83
57, 0.33, 70
50, 0.28, 78
57, 0.33, 82
60, 0.42, 83
57, 0.46, 77
62, 0.88, 50
0, 1.1, 18
58, 0.23, 83
57, 0.28, 71
55, 0.19, 70
53, 0.37, 73
51, 0.32, 66
55, 0.33, 65
59, 0.19, 71
57, 0.51, 69
53, 0.51, 68
62, 0.51, 76
58, 0.37, 72
57, 0.51, 70
58, 0.6, 24
0, 1.6, 11
67, 0.23, 87
65, 0.28, 83
63, 0.19, 82
62, 0.33, 74
61, 0.33, 69
57, 0.33, 66
54, 0.37, 54
49, 0.42, 62
53, 1.3, 63
50, 0.7, 52
58, 0.74, 36
0, 1.6, 9
55, 0.33, 49
50, 0.37, 54
51, 0.23, 63
55, 0.23, 74
57, 0.33, 66
60, 0.33, 80
65, 0.33, 82
63, 0.33, 77
62, 0.88, 47
0, 2.6, 6
67, 0.28, 92
65, 0.23, 84
63, 0.09, 89
62, 0.32, 75
60, 0.09, 78
58, 0.37, 73
57, 0.37, 71
65, 1.1, 81
62, 0.28, 63
60, 0.14, 72
58, 0.28, 71
57, 0.28, 65
55, 0.74, 30
0, 1.8, 14
67, 0.14, 88
63, 0.19, 81
60, 0.37, 60
55, 0.14, 77
57, 0.37, 67
60, 0.19, 90
65, 0.32, 85
63, 0.28, 80
62, 0.42, 46
53, 0.42, 67
55, 0.28, 74
57, 0.42, 73
58, 0.56, 27
0, 2.3, 6
55, 0.74, 65
51, 0.33, 70
53, 0.46, 64
54, 0.42, 67
57, 0.51, 79
65, 1.3, 77
53, 1.3, 62
58, 0.7, 34
0, 4.5, 0
62, 1.1, 0
0, 5.0, 3
60, 0.79, 83
65, 0.7, 91
63, 0.79, 75
57, 1.2, 74
58, 1.1, 47
0, 4.0, 3
55, 0.33, 82
57, 0.37, 78
58, 0.28, 76
60, 0.37, 87
62, 0.33, 95
65, 0.46, 92
63, 0.51, 75
57, 0.42, 75
60, 0.51, 78
58, 0.84, 45
0, 1.3, 14
67, 0.56, 91
63, 0.37, 81
60, 0.42, 67
66, 0.93, 61
57, 0.46, 75
60, 0.46, 77
65, 1.1, 45
0, 4.5, 3
67, 0.42, 86
65, 0.42, 88
63, 0.28, 86
62, 0.37, 84
60, 0.37, 83
58, 0.42, 75
57, 0.74, 71
53, 0.51, 66
58, 0.74, 33
0, 5.0, 1
55, 0.42, 76
57, 0.42, 77
58, 0.28, 77
62, 0.37, 79
60, 0.37, 69
57, 0.37, 69
55, 0.42, 66
53, 0.65, 68
62, 1.4, 57
0, 5.0, 2
67, 0.37, 90
65, 0.33, 89
63, 0.19, 85
62, 0.28, 80
60, 0.28, 78
58, 0.37, 75
57, 0.37, 67
53, 0.46, 65
58, 0.93, 39
0, 5.0, 2
55, 0.28, 73
58, 0.37, 79
62, 0.32, 87
65, 0.33, 85
63, 0.37, 81
60, 0.42, 75
57, 0.46, 70
53, 0.56, 68
58, 0.84, 43
0, 1.6, 12
70, 0.23, 88
69, 0.28, 83
67, 0.33, 79
66, 0.28, 81
65, 0.37, 81
63, 0.33, 81
62, 0.37, 76
60, 0.46, 79
62, 1.1, 42
0, 2.4, 6
51, 0.19, 75
55, 0.33, 72
58, 0.33, 70
55, 0.37, 72
57, 0.37, 73
53, 0.42, 76
62, 0.42, 83
60, 0.46, 76
58, 1.2, 46
0, 1.9, 8
63, 0.28, 90
65, 0.46, 81
66, 0.33, 62
58, 0.32, 75
57, 0.42, 53
60, 1.1, 64
53, 0.88, 65
60, 1.4, 60
58, 0.74, 37
0, 2.0, 3
51, 0.37, 68
53, 0.28, 63
55, 0.23, 72
57, 0.37, 75
58, 0.33, 77
60, 0.42, 69
61, 0.42, 77
65, 1.1, 85
62, 0.98, 52
0, 2.6, 7
69, 0.28, 87
67, 0.42, 84
63, 0.32, 85
65, 0.46, 81
66, 0.37, 70
61, 0.37, 63
57, 0.56, 66
53, 0.65, 60
58, 0.98, 43
0, 1.7, 12
60, 0.33, 79
59, 0.37, 75
60, 0.33, 76
62, 0.42, 79
63, 0.28, 76
60, 0.33, 68
57, 0.46, 69
53, 0.46, 71
62, 1.5, 54
0, 2.0, 9
66, 0.28, 86
65, 0.37, 87
63, 0.32, 78
61, 0.33, 78
60, 0.33, 76
58, 0.42, 72
57, 0.46, 69
53, 0.42, 62
58, 0.7, 32
0, 1.5, 8
55, 0.32, 74
57, 0.33, 75
58, 0.32, 66
55, 0.33, 53
51, 0.37, 68
53, 0.37, 61
54, 0.33, 64
57, 0.42, 75
62, 0.42, 85
65, 1.4, 62
58, 1.3, 40
0, 2.2, 8
69, 0.33, 87
67, 0.37, 81
63, 0.33, 88
65, 0.46, 81
66, 0.33, 77
63, 0.37, 72
58, 0.42, 69
60, 0.42, 70
62, 1.0, 44
0, 1.9, 7
62, 0.37, 86
63, 0.28, 87
65, 0.46, 80
66, 0.19, 81
63, 0.33, 68
59, 0.28, 70
57, 0.37, 63
54, 0.33, 54
51, 0.37, 58
50, 0.56, 55
53, 0.56, 69
58, 0.74, 38
0, 2.0, 8
63, 0.33, 89
65, 0.42, 84
66, 0.42, 57
59, 0.98, 61
65, 0.51, 85
62, 0.37, 50
53, 0.51, 63
60, 1.4, 61
58, 1.1, 48
0, 2.4, 6
69, 0.46, 83
67, 0.33, 85
65, 0.37, 82
63, 0.28, 79
62, 0.33, 80
60, 0.37, 75
57, 0.42, 72
55, 0.46, 65
53, 0.56, 66
58, 0.7, 37
0, 3.3, 3
55, 0.37, 75
58, 0.37, 83
62, 0.37, 89
65, 0.74, 78
63, 0.42, 74
59, 0.46, 61
54, 0.46, 60
53, 1.8, 43
0, 2.1, 8
67, 0.42, 94
63, 0.37, 89
65, 0.37, 84
62, 0.37, 83
63, 0.37, 79
60, 0.42, 68
57, 0.51, 69
53, 0.46, 67
58, 0.51, 70
60, 0.6, 68
62, 1.2, 48
0, 2.8, 6
62, 0.33, 96
65, 0.37, 90
63, 0.32, 86
67, 0.46, 86
69, 0.37, 83
65, 0.42, 74
61, 0.42, 61
57, 0.56, 65
53, 0.51, 60
58, 0.56, 71
62, 0.7, 63
58, 0.6, 59
53, 0.7, 23
0, 1.3, 14
60, 0.33, 82
59, 0.37, 80
63, 0.37, 82
62, 0.46, 82
66, 0.56, 76
67, 0.6, 75
63, 0.42, 74
60, 0.51, 67
58, 1.2, 50
0, 5.0, 3
69, 0.33, 91
67, 0.33, 88
65, 0.37, 84
63, 0.33, 86
62, 0.37, 86
60, 0.42, 74
57, 0.33, 61
55, 0.33, 60
53, 1.0, 30
0, 1.7, 8
55, 0.33, 53
50, 0.46, 67
51, 0.19, 65
55, 0.37, 65
54, 0.33, 72
57, 0.33, 85
65, 0.46, 86
63, 0.46, 83
62, 0.56, 86
60, 1.4, 70
58, 0.56, 32
0, 0.2, 76
63, 0.51, 81
60, 0.37, 74
57, 0.46, 68
53, 0.51, 63
52, 0.51, 62
53, 0.56, 11
0, 2.6, 3
55, 0.33, 75
58, 0.37, 82
62, 0.33, 91
65, 0.42, 87
63, 0.46, 78
58, 0.42, 73
55, 0.09, 76
56, 0.42, 75
57, 0.74, 73
58, 1.8, 56
0, 3.4, 2
56, 0.56, 79
57, 0.46, 78
58, 1.2, 52
0, 3.2, 6
62, 0.33, 94
63, 0.33, 91
60, 0.37, 89
63, 0.32, 83
67, 0.42, 87
65, 0.46, 78
62, 0.37, 76
60, 0.46, 78
58, 1.2, 76
62, 0.93, 44
0, 2.1, 8
70, 0.28, 87
67, 0.37, 87
63, 0.42, 87
60, 0.42, 75
57, 0.6, 72
55, 0.46, 67
53, 0.42, 68
62, 0.51, 65
58, 0.79, 34
0, 2.5, 5
55, 0.37, 66
51, 0.28, 71
58, 0.42, 69
55, 0.33, 50
61, 0.37, 60
57, 0.42, 75
66, 0.37, 76
63, 0.56, 80
65, 1.7, 49
0, 2.7, 6
67, 0.33, 85
69, 0.37, 78
70, 0.19, 83
67, 0.33, 79
63, 0.42, 80
60, 0.33, 69
57, 0.37, 71
53, 0.46, 69
58, 0.93, 45
0, 2.2, 5
55, 0.32, 75
58, 0.28, 76
57, 0.37, 64
61, 0.33, 80
65, 0.37, 86
63, 0.37, 82
66, 0.42, 79
70, 0.46, 83
72, 1.8, 65
65, 1.1, 66
58, 0.7, 28
0, 2.3, 6
70, 0.33, 84
69, 0.28, 83
67, 0.37, 81
66, 0.28, 85
65, 0.37, 83
63, 0.42, 79
61, 0.46, 71
58, 1.5, 49
0, 2.0, 6
55, 0.37, 72
50, 0.14, 85
51, 0.28, 70
53, 0.32, 69
56, 0.46, 69
54, 0.37, 71
57, 0.46, 74
55, 0.42, 72
58, 0.56, 75
62, 1.5, 74
58, 0.74, 40
0, 1.7, 10
63, 0.28, 90
62, 0.46, 76
60, 0.37, 73
63, 0.37, 77
67, 0.37, 84
65, 0.42, 69
61, 0.42, 57
57, 0.56, 66
60, 0.42, 70
58, 1.4, 55
57, 0.65, 68
58, 0.79, 38
0, 3.4, 5
58, 0.46, 15
0, 0.37, 43
58, 0.46, 79
62, 0.46, 86
63, 0.37, 80
60, 0.46, 66
57, 0.51, 74
62, 0.51, 90
65, 1.9, 69
0, 1.5, 12
67, 0.42, 92
65, 0.37, 88
63, 0.37, 82
62, 0.51, 77
60, 0.42, 75
59, 0.56, 77
63, 0.51, 72
61, 0.6, 51
57, 0.7, 61
60, 0.56, 58
58, 0.51, 72
62, 0.51, 80
65, 0.98, 49
0, 1.7, 7
55, 0.46, 75
58, 0.46, 69
51, 0.46, 69
55, 0.42, 63
54, 0.46, 64
57, 0.65, 59
50, 0.56, 58
53, 0.74, 64
58, 1.2, 44
0, 1.9, 10
59, 0.56, 66
60, 0.33, 76
62, 0.42, 80
63, 0.37, 82
65, 0.46, 83
67, 0.6, 77
63, 0.51, 57
57, 0.6, 60
60, 0.56, 63
65, 0.88, 46
0, 4.4, 4
67, 0.42, 88
70, 0.33, 84
67, 0.37, 86
63, 0.42, 88
65, 0.42, 80
69, 0.42, 79
65, 0.46, 86
62, 0.56, 77
58, 1.2, 46
0, 1.3, 9
72, 0.42, 99
71, 0.32, 94
72, 0.42, 82
67, 0.37, 79
63, 0.42, 67
57, 0.46, 77
65, 0.42, 85
63, 0.37, 80
62, 0.42, 70
60, 0.46, 69
58, 0.46, 71
57, 0.88, 68
58, 0.84, 36
0, 1.5, 10
55, 0.42, 57
51, 0.33, 75
50, 0.51, 75
48, 0.33, 72
57, 0.7, 80
53, 0.42, 76
62, 0.6, 63
55, 0.6, 66
58, 1.1, 45
0, 3.3, 6
60, 0.37, 88
62, 0.42, 86
63, 0.33, 88
65, 0.46, 90
67, 0.37, 81
66, 0.42, 79
63, 0.51, 79
60, 0.51, 66
58, 0.74, 33
0, 1.9, 8
70, 0.37, 77
67, 0.42, 69
63, 0.42, 73
60, 0.46, 57
68, 0.42, 81
66, 0.42, 76
63, 0.46, 69
61, 0.51, 43
60, 1.2, 38
58, 0.79, 39
0, 4.7, 3
55, 0.37, 75
57, 0.42, 75
58, 0.42, 76
62, 0.46, 74
57, 0.42, 74
58, 0.42, 69
60, 0.46, 77
63, 0.42, 83
62, 1.4, 61
0, 2.1, 4
51, 0.46, 74
53, 0.32, 66
55, 0.42, 72
60, 0.6, 63
53, 0.37, 66
55, 0.37, 71
57, 0.46, 71
63, 0.51, 76
62, 0.56, 74
60, 0.6, 61
58, 0.7, 35
0, 2.0, 9
67, 1.0, 67
62, 0.42, 92
65, 0.37, 87
63, 0.97, 73
68, 0.46, 88
66, 0.42, 81
65, 0.6, 82
62, 0.7, 66
55, 1.4, 43
0, 2.0, 8
72, 0.46, 89
67, 0.42, 80
63, 0.42, 82
60, 0.46, 69
70, 0.56, 76
67, 0.51, 78
69, 0.37, 83
65, 0.51, 83
62, 1.2, 59
0, 2.0, 8
63, 0.33, 90
62, 0.42, 78
60, 0.37, 73
58, 0.42, 73
57, 0.42, 73
65, 0.46, 78
61, 0.56, 40
53, 0.56, 61
60, 0.56, 67
58, 0.98, 46
0, 2.3, 5
55, 0.37, 65
51, 0.33, 73
58, 0.42, 72
55, 0.37, 70
60, 0.37, 71
57, 0.51, 77
63, 0.42, 76
60, 0.56, 74
62, 1.2, 77
60, 0.28, 67
58, 1.0, 43
0, 1.2, 13
67, 0.33, 88
65, 0.37, 81
63, 0.37, 81
62, 0.37, 76
60, 0.33, 69
58, 0.37, 76
57, 0.51, 68
54, 0.74, 58
53, 0.7, 36
0, 2.5, 4
55, 0.42, 73
51, 0.42, 71
48, 0.51, 70
55, 0.42, 67
54, 0.37, 65
51, 0.51, 72
53, 0.37, 71
57, 0.51, 65
60, 0.46, 70
58, 0.46, 73
62, 0.46, 66
58, 0.56, 71
65, 0.65, 75
58, 0.46, 74
62, 0.7, 66
58, 0.74, 39
0, 2.2, 8
70, 0.33, 85
69, 0.37, 82
67, 0.37, 79
66, 0.37, 78
65, 0.42, 80
63, 0.37, 80
62, 0.46, 76
60, 0.42, 73
58, 0.46, 73
57, 1.1, 47
0, 2.1, 8
58, 0.42, 76
55, 0.37, 64
51, 0.42, 77
62, 0.42, 82
61, 0.37, 73
57, 0.6, 73
58, 0.09, 73
59, 0.14, 70
58, 0.37, 60
55, 0.6, 60
53, 0.88, 35
0, 2.0, 6
55, 0.37, 76
58, 0.42, 83
62, 0.42, 92
65, 0.42, 85
63, 0.42, 65
56, 0.56, 75
66, 0.46, 64
61, 1.1, 43
62, 0.88, 48
0, 1.8, 10
69, 0.42, 86
67, 0.46, 56
56, 0.51, 69
60, 0.46, 76
66, 0.65, 74
63, 0.56, 50
53, 0.56, 57
57, 0.93, 62
58, 0.79, 30
0, 2.0, 7
55, 0.37, 73
51, 0.42, 75
53, 0.33, 66
55, 0.33, 72
57, 0.37, 71
53, 0.46, 66
55, 0.28, 71
57, 0.46, 74
58, 0.37, 73
60, 0.42, 78
62, 0.42, 83
63, 0.42, 80
65, 1.4, 62
0, 2.8, 5
67, 0.42, 83
63, 0.37, 85
65, 0.46, 81
63, 0.37, 74
66, 0.46, 61
61, 0.46, 67
63, 0.37, 64
61, 0.51, 66
65, 0.65, 55
58, 0.42, 53
60, 0.32, 65
58, 0.46, 71
62, 0.65, 49
55, 0.79, 34
0, 1.1, 15
51, 0.37, 68
55, 0.33, 74
58, 0.42, 79
62, 0.42, 86
63, 0.28, 78
68, 0.46, 79
66, 0.46, 68
61, 0.46, 68
60, 1.1, 44
0, 2.5, 7
62, 0.37, 88
63, 0.33, 84
65, 0.42, 78
67, 0.56, 46
60, 0.37, 80
62, 0.37, 81
63, 0.37, 75
65, 0.6, 44
58, 0.84, 59
60, 0.33, 73
62, 0.42, 80
63, 0.46, 36
55, 0.37, 65
58, 0.46, 63
62, 0.6, 37
0, 1.5, 11
63, 0.33, 84
60, 0.37, 70
57, 0.46, 70
53, 0.42, 68
63, 0.33, 74
62, 0.42, 66
60, 0.42, 61
57, 0.56, 72
58, 0.51, 65
55, 0.42, 51
51, 0.51, 56
55, 0.93, 50
53, 0.93, 31
0, 2.6, 5
55, 0.37, 68
51, 0.46, 73
53, 0.42, 66
55, 0.37, 70
57, 0.46, 69
53, 0.51, 66
55, 0.37, 70
57, 0.6, 72
58, 1.2, 44
0, 1.6, 7
55, 0.42, 67
51, 0.37, 78
48, 0.42, 55
46, 0.37, 44
45, 1.0, 41
57, 0.56, 76
55, 0.37, 69
53, 1.0, 42
0, 2.3, 5
55, 0.37, 75
58, 0.42, 82
63, 0.42, 85
67, 0.46, 79
66, 0.46, 64
61, 0.42, 62
69, 0.79, 75
62, 0.74, 81
65, 0.93, 49
0, 1.5, 11
67, 0.33, 89
65, 0.37, 83
63, 0.33, 82
62, 0.37, 70
61, 0.37, 63
59, 0.37, 74
57, 0.46, 67
55, 0.42, 60
53, 0.42, 60
51, 0.37, 57
50, 0.79, 30
0, 2.9, 4
58, 0.37, 81
57, 0.42, 68
55, 0.37, 59
54, 0.51, 57
61, 0.37, 68
59, 0.42, 76
58, 0.46, 72
56, 0.46, 71
55, 0.46, 65
58, 0.42, 71
62, 0.51, 84
65, 0.88, 42
0, 1.9, 4
51, 0.51, 74
50, 0.56, 71
51, 0.28, 69
55, 0.42, 73
56, 0.46, 76
57, 0.46, 75
65, 0.46, 82
63, 0.46, 71
60, 1.0, 58
61, 0.93, 53
62, 0.6, 33
0, 1.7, 11
63, 0.33, 85
62, 0.42, 76
60, 0.33, 75
58, 0.37, 72
57, 0.46, 62
54, 0.37, 60
51, 0.46, 77
48, 0.42, 64
46, 0.88, 29
0, 2.3, 7
67, 0.42, 90
63, 0.33, 88
62, 0.42, 81
60, 0.37, 73
59, 0.37, 73
56, 0.46, 67
54, 0.42, 61
51, 0.46, 70
50, 0.88, 35
0, 1.9, 11
71, 0.93, 95
68, 0.46, 85
69, 0.42, 70
66, 0.42, 74
68, 0.51, 78
63, 0.46, 73
66, 0.56, 70
62, 0.79, 78
65, 0.79, 45
0, 0.14, 78
58, 1.0, 45
0, 2.0, 8
55, 0.28, 66
51, 0.42, 71
53, 0.32, 67
55, 0.28, 75
57, 0.42, 69
53, 0.37, 57
60, 0.46, 58
57, 0.42, 70
62, 0.84, 54
0, 2.2, 6
55, 1.2, 56
51, 0.93, 64
50, 0.33, 41
48, 0.42, 45
54, 0.05, 59
53, 0.05, 55
54, 1.1, 45
61, 1.4, 59
60, 1.4, 46
0, 4.5, 3
62, 0.42, 97
65, 0.33, 89
69, 0.42, 82
70, 0.37, 76
63, 0.42, 79
68, 0.51, 81
66, 0.46, 62
61, 0.51, 70
65, 1.2, 62
0, 2.7, 6
72, 0.42, 89
70, 0.28, 85
69, 0.37, 81
67, 0.37, 74
66, 0.33, 75
63, 1.1, 69
62, 0.79, 73
60, 0.7, 64
62, 0.7, 36
0, 4.5, 3
63, 0.46, 83
60, 0.51, 61
67, 1.0, 51
63, 0.51, 82
65, 0.56, 73
60, 0.65, 43
53, 1.2, 42
0, 0.88, 23
62, 1.0, 58
0, 2.2, 7
67, 0.42, 79
70, 1.4, 50
63, 0.56, 76
67, 1.4, 46
0, 0.93, 16
58, 0.56, 75
62, 1.4, 61
0, 2.1, 7
63, 0.42, 86
65, 0.42, 80
67, 0.46, 79
65, 0.46, 82
63, 0.33, 81
62, 0.56, 73
60, 0.56, 66
63, 0.51, 77
62, 1.1, 63
58, 1.0, 53
53, 0.98, 48
58, 0.46, 23
0, 1.5, 9
55, 0.46, 59
51, 0.46, 57
53, 0.37, 58
55, 0.42, 64
57, 0.6, 65
53, 0.42, 57
62, 0.79, 72
60, 0.51, 56
58, 1.5, 50
0, 2.5, 6
67, 0.46, 82
69, 0.56, 72
66, 0.65, 68
67, 0.37, 68
62, 0.51, 80
65, 0.6, 78
63, 0.93, 64
60, 1.2, 51
62, 1.7, 36
0, 2.5, 4
55, 0.42, 68
57, 0.46, 69
58, 0.42, 71
62, 0.51, 81
63, 0.56, 69
60, 0.56, 61
66, 0.6, 67
63, 0.93, 73
65, 0.51, 67
70, 2.0, 52
0, 1.6, 8
72, 0.65, 83
70, 0.37, 78
69, 0.42, 75
67, 0.42, 81
65, 0.42, 82
63, 0.42, 77
62, 0.42, 65
61, 0.09, 71
60, 0.6, 74
58, 0.84, 43
0, 1.2, 11
55, 0.37, 70
58, 0.42, 75
63, 0.37, 73
67, 0.46, 71
66, 0.42, 75
63, 0.42, 74
60, 0.46, 66
57, 0.84, 61
53, 0.98, 29
0, 3.7, 2
55, 0.42, 64
51, 0.42, 66
56, 0.56, 70
54, 0.37, 66
53, 0.42, 71
57, 0.37, 72
62, 0.42, 81
60, 0.46, 65
58, 0.93, 42
0, 1.3, 9
61, 0.42, 78
63, 0.28, 86
65, 0.46, 83
66, 0.37, 73
62, 0.37, 79
64, 0.42, 83
65, 0.46, 80
69, 0.88, 63
67, 0.7, 54
70, 0.51, 64
74, 1.2, 56
0, 1.4, 10
70, 0.51, 70
63, 0.42, 68
67, 0.46, 56
65, 0.56, 82
68, 0.56, 65
61, 0.46, 62
66, 0.56, 67
62, 0.6, 75
64, 0.98, 62
65, 0.7, 43
0, 2.2, 7
58, 0.37, 70
55, 0.33, 63
51, 0.42, 64
48, 0.51, 60
61, 0.46, 71
59, 0.46, 60
54, 0.37, 54
51, 0.65, 63
53, 0.74, 60
58, 0.6, 56
55, 0.56, 41
60, 0.7, 61
62, 0.98, 50
0, 1.6, 10
63, 0.23, 87
62, 0.37, 77
60, 0.79, 67
63, 0.42, 68
67, 0.88, 60
65, 0.93, 57
53, 0.42, 70
62, 0.33, 81
63, 0.23, 84
65, 1.0, 44
0, 2.0, 9
67, 0.37, 88
69, 0.42, 78
70, 0.42, 37
60, 0.93, 44
0, 0.74, 23
69, 0.56, 78
65, 0.05, 74
66, 0.19, 76
65, 0.14, 68
66, 0.19, 62
65, 1.5, 53
0, 1.9, 8
67, 0.37, 85
63, 0.33, 80
60, 0.46, 76
58, 0.42, 71
