note, length, volume
0, 4.5, 1
56, 1.3, 57
0, 0.05, 44
51, 0.42, 55
52, 0.42, 69
56, 0.37, 81
59, 0.51, 67
63, 0.51, 73
61, 1.1, 46
0, 0.98, 15
58, 0.37, 80
56, 0.46, 67
54, 0.42, 68
58, 0.6, 82
63, 0.74, 73
59, 1.3, 54
0, 2.5, 6
63, 0.46, 92
64, 0.46, 91
63, 0.33, 71
61, 0.37, 80
59, 0.42, 86
58, 0.37, 83
56, 0.56, 72
54, 0.33, 70
53, 0.42, 75
52, 0.42, 76
55, 0.42, 81
57, 0.46, 80
60, 0.46, 91
65, 1.3, 82
62, 0.56, 74
59, 0.51, 79
63, 0.56, 81
65, 0.42, 67
66, 0.37, 3
0, 2.0, 7
68, 0.42, 96
67, 0.84, 90
64, 0.46, 90
65, 0.42, 76
63, 0.37, 63
61, 1.0, 49
70, 0.51, 91
69, 0.42, 86
70, 0.09, 82
69, 0.23, 82
68, 0.42, 86
66, 0.33, 86
65, 0.46, 88
64, 0.51, 87
67, 0.46, 77
62, 0.56, 60
59, 0.6, 62
61, 0.84, 26
0, 1.2, 15
59, 0.74, 42
0, 3.7, 4
59, 0.33, 85
56, 0.23, 81
52, 0.33, 80
49, 0.7, 81
48, 0.56, 75
49, 0.19, 82
52, 0.46, 82
56, 0.74, 77
54, 0.42, 70
55, 0.42, 75
58, 1.3, 77
53, 0.37, 72
55, 0.33, 80
58, 0.37, 73
60, 0.37, 76
63, 0.42, 84
66, 0.51, 71
61, 0.79, 63
59, 0.65, 30
0, 1.9, 8
66, 0.37, 95
65, 0.37, 97
64, 0.37, 89
63, 0.33, 77
61, 0.37, 81
59, 0.32, 90
58, 0.42, 83
56, 0.42, 83
55, 0.37, 80
53, 0.42, 84
51, 1.2, 54
0, 0.79, 15
61, 0.37, 76
63, 0.37, 67
61, 0.42, 63
63, 0.37, 78
59, 1.1, 55
0, 3.7, 1
54, 0.42, 70
55, 0.37, 76
56, 0.32, 77
58, 0.37, 81
59, 0.33, 61
61, 0.37, 69
63, 0.33, 52
61, 0.32, 64
59, 0.42, 81
58, 0.46, 76
56, 1.0, 74
55, 1.4, 56
51, 0.88, 58
54, 0.98, 55
51, 0.98, 29
0, 3.1, 3
52, 0.42, 64
54, 0.37, 51
56, 0.42, 73
59, 0.33, 67
61, 0.33, 76
63, 0.32, 71
64, 0.37, 81
66, 0.42, 88
68, 0.37, 79
64, 0.46, 64
61, 0.42, 59
56, 0.33, 75
59, 0.42, 56
61, 0.42, 65
58, 1.0, 60
66, 0.42, 82
64, 0.46, 79
63, 0.7, 34
