note, length, volume
0, 0.14, 0
64, 0.37, 85
62, 0.33, 85
60, 0.33, 81
59, 0.33, 80
57, 0.32, 74
56, 0.46, 68
55, 0.51, 61
60, 1.1, 34
0, 1.4, 9
62, 0.42, 90
65, 0.09, 83
64, 0.56, 83
62, 0.37, 78
67, 1.0, 38
55, 0.7, 68
64, 0.65, 74
60, 0.93, 46
0, 1.3, 12
69, 0.28, 88
67, 0.33, 88
65, 0.23, 85
64, 0.33, 86
62, 0.32, 78
60, 0.23, 72
59, 0.6, 59
55, 1.1, 44
64, 0.74, 31
0, 2.7, 5
53, 0.37, 74
57, 0.28, 72
60, 0.28, 84
64, 0.28, 84
62, 0.33, 72
60, 0.32, 66
59, 0.42, 64
55, 0.42, 63
67, 0.42, 73
65, 0.37, 71
64, 0.6, 57
62, 0.42, 59
60, 0.6, 17
0, 1.4, 12
62, 0.28, 85
64, 0.88, 82
62, 0.33, 76
60, 0.37, 75
59, 0.42, 65
55, 0.37, 66
64, 0.46, 80
65, 0.42, 78
66, 0.09, 73
67, 0.05, 61
66, 0.51, 30
67, 0.05, 0
0, 1.6, 10
67, 0.46, 83
69, 0.51, 81
65, 0.37, 85
67, 0.28, 77
64, 0.42, 74
65, 0.28, 75
62, 0.32, 71
59, 0.46, 66
55, 0.46, 52
60, 0.88, 32
0, 2.3, 7
57, 0.56, 75
55, 0.37, 71
53, 0.33, 76
52, 0.37, 69
50, 1.0, 48
55, 1.0, 57
60, 0.74, 27
0, 0.19, 28
48, 0.98, 26
0, 1.7, 6
50, 0.46, 68
53, 0.42, 70
55, 0.33, 72
57, 0.42, 73
59, 0.37, 63
60, 0.42, 68
62, 0.56, 57
55, 0.7, 52
60, 0.84, 28
0, 2.9, 5
65, 0.37, 89
64, 0.42, 84
62, 0.42, 81
60, 0.46, 63
67, 0.56, 76
69, 0.37, 76
65, 0.56, 77
62, 0.56, 70
60, 0.93, 40
0, 2.5, 6
71, 0.98, 89
67, 0.33, 68
69, 0.88, 71
65, 0.28, 78
67, 0.84, 68
64, 0.42, 72
65, 0.84, 66
62, 0.33, 58
60, 0.98, 27
0, 2.6, 6
65, 0.33, 80
64, 0.37, 70
62, 0.79, 54
55, 0.74, 64
56, 0.65, 70
59, 0.56, 53
67, 0.84, 54
64, 0.51, 16
0, 2.4, 6
67, 0.37, 81
66, 0.28, 80
65, 0.42, 79
63, 0.33, 72
59, 0.46, 67
56, 0.51, 63
55, 0.42, 63
57, 0.51, 68
62, 0.14, 74
64, 0.42, 69
62, 0.56, 69
60, 0.74, 29
0, 2.8, 2
50, 0.05, 74
52, 0.42, 71
53, 0.33, 60
55, 0.33, 67
56, 0.37, 69
59, 0.42, 63
67, 0.37, 67
62, 0.6, 75
64, 0.84, 43
0, 3.0, 5
62, 0.37, 89
64, 0.33, 93
65, 0.23, 81
67, 0.42, 91
68, 0.28, 81
64, 0.46, 78
66, 0.42, 67
61, 1.8, 50
60, 1.0, 37
0, 2.3, 9
62, 0.28, 84
64, 0.37, 86
65, 0.28, 84
62, 0.46, 72
61, 0.51, 60
57, 0.51, 74
59, 0.46, 70
55, 0.56, 57
60, 0.46, 81
62, 0.42, 84
64, 0.46, 73
67, 1.1, 34
60, 0.84, 28
0, 1.8, 9
69, 0.33, 87
65, 0.42, 85
62, 0.37, 78
64, 0.37, 81
65, 0.37, 80
69, 0.46, 80
72, 0.56, 84
71, 0.84, 73
67, 0.7, 29
0, 1.9, 10
67, 0.6, 89
65, 0.37, 81
67, 0.33, 87
68, 0.37, 73
69, 0.33, 69
67, 0.33, 82
65, 0.51, 81
63, 0.46, 65
59, 0.6, 65
62, 0.51, 64
60, 0.88, 32
0, 2.5, 7
62, 0.46, 90
65, 0.28, 83
64, 0.46, 80
62, 0.37, 72
67, 0.46, 80
68, 0.37, 82
65, 0.56, 71
61, 0.42, 52
60, 0.84, 29
0, 4.8, 1
53, 0.42, 65
55, 0.28, 69
57, 0.37, 73
59, 0.37, 69
60, 0.37, 76
62, 0.37, 74
59, 0.37, 74
57, 0.51, 65
55, 0.46, 61
64, 0.88, 40
0, 1.8, 7
65, 0.37, 86
64, 0.42, 77
63, 0.23, 84
62, 0.42, 76
61, 0.33, 66
59, 0.37, 74
58, 0.42, 69
56, 0.42, 67
55, 1.1, 36
0, 2.4, 4
55, 0.33, 74
56, 0.42, 77
57, 0.33, 68
53, 0.28, 73
52, 0.37, 63
50, 0.37, 65
59, 0.42, 70
55, 0.33, 67
57, 0.42, 70
59, 0.37, 70
60, 0.42, 72
62, 0.37, 70
64, 0.65, 29
0, 2.2, 6
65, 0.46, 89
63, 0.33, 79
67, 0.42, 89
65, 0.37, 72
61, 0.37, 66
59, 0.42, 71
64, 0.79, 73
62, 0.56, 68
60, 0.65, 25
0, 5.0, 2
69, 0.37, 86
65, 0.23, 84
64, 0.46, 87
62, 0.33, 86
68, 0.46, 85
64, 0.32, 80
63, 0.46, 77
61, 0.42, 77
60, 0.98, 43
0, 1.8, 10
62, 0.37, 83
59, 0.37, 65
55, 0.37, 57
52, 0.42, 65
62, 0.46, 85
63, 0.33, 71
59, 0.51, 64
55, 0.42, 55
60, 0.42, 74
62, 0.7, 79
64, 0.79, 29
0, 1.2, 9
53, 0.46, 69
55, 0.33, 72
57, 0.37, 65
60, 0.42, 76
63, 0.33, 73
61, 0.37, 70
59, 0.46, 70
56, 0.46, 67
55, 0.84, 34
0, 2.1, 4
53, 0.33, 71
57, 0.33, 65
60, 0.28, 69
64, 0.42, 78
67, 0.51, 88
68, 0.37, 76
63, 0.42, 73
59, 0.6, 73
62, 0.93, 69
60, 0.74, 29
0, 1.7, 9
69, 0.33, 81
67, 0.28, 81
65, 0.33, 79
64, 0.37, 77
63, 0.33, 79
62, 0.37, 71
60, 0.37, 66
59, 0.42, 74
57, 1.1, 68
59, 0.51, 62
60, 0.46, 22
0, 0.23, 16
52, 1.2, 44
0, 3.1, 1
53, 0.56, 76
57, 0.42, 62
60, 0.33, 73
64, 0.46, 74
63, 0.37, 72
59, 0.37, 61
55, 0.42, 57
52, 0.51, 60
55, 0.42, 59
60, 0.74, 30
0, 5.0, 3
57, 0.46, 78
53, 0.33, 73
60, 0.33, 73
57, 0.37, 71
63, 0.33, 74
59, 0.37, 80
65, 0.51, 80
62, 0.46, 76
64, 0.79, 33
0, 2.0, 10
67, 0.23, 82
64, 0.33, 74
60, 0.28, 70
57, 0.37, 79
65, 0.37, 81
63, 0.33, 64
59, 0.42, 65
55, 0.37, 68
62, 0.37, 68
60, 0.7, 29
0, 1.7, 7
53, 0.42, 66
55, 0.28, 66
56, 0.37, 66
58, 0.37, 59
60, 0.37, 60
61, 0.37, 73
63, 0.37, 70
64, 0.42, 74
66, 0.46, 75
67, 1.4, 47
0, 2.8, 6
69, 0.28, 85
67, 0.33, 89
65, 0.33, 84
64, 0.37, 78
62, 0.33, 77
60, 0.33, 72
59, 0.37, 74
57, 0.42, 66
55, 0.33, 60
53, 0.37, 64
52, 0.65, 28
0, 1.8, 6
53, 0.42, 72
57, 0.33, 63
60, 0.33, 66
64, 0.37, 72
63, 0.65, 72
61, 0.37, 67
64, 0.37, 67
67, 0.42, 74
66, 1.0, 65
67, 0.84, 33
60, 0.84, 34
0, 3.2, 5
69, 0.56, 84
63, 0.37, 91
62, 0.37, 93
65, 0.37, 83
67, 0.46, 57
60, 0.42, 70
59, 0.6, 75
62, 0.37, 79
64, 0.65, 33
0, 2.3, 4
52, 0.09, 78
53, 0.42, 76
57, 0.42, 68
55, 0.33, 70
59, 0.37, 74
57, 0.46, 62
60, 0.37, 72
62, 0.46, 81
64, 0.6, 70
60, 1.3, 39
0, 1.8, 7
53, 0.33, 73
50, 0.37, 79
48, 0.42, 77
52, 0.37, 70
55, 0.37, 72
56, 0.51, 73
59, 0.46, 66
55, 1.0, 58
60, 1.1, 35
0, 2.3, 6
50, 0.42, 70
53, 0.37, 72
57, 0.37, 69
60, 0.46, 77
63, 0.37, 69
61, 0.46, 63
64, 0.51, 72
67, 0.88, 74
64, 0.98, 43
0, 2.2, 8
69, 0.74, 83
67, 0.37, 81
65, 0.28, 81
64, 0.42, 74
62, 0.37, 74
60, 0.37, 75
59, 0.42, 76
57, 0.51, 68
55, 0.42, 59
64, 0.56, 60
60, 0.84, 32
0, 1.9, 8
55, 0.37, 72
53, 0.42, 72
57, 0.56, 44
60, 0.46, 74
59, 0.42, 76
62, 0.56, 61
55, 0.37, 67
57, 0.37, 70
59, 0.51, 49
60, 0.93, 31
0, 2.0, 6
55, 0.37, 70
53, 0.37, 73
59, 0.37, 77
57, 0.46, 74
64, 0.46, 81
62, 0.42, 63
56, 0.51, 72
58, 0.46, 69
60, 0.51, 70
62, 0.37, 77
64, 0.65, 32
0, 2.1, 8
65, 0.37, 81
64, 0.42, 82
67, 0.42, 82
63, 1.0, 56
62, 0.51, 74
59, 0.37, 70
56, 0.51, 66
53, 0.42, 62
52, 0.65, 59
55, 0.46, 55
60, 0.6, 72
62, 0.23, 73
64, 0.46, 82
65, 0.23, 72
67, 0.65, 27
0, 1.8, 11
71, 0.33, 94
72, 0.28, 84
69, 0.37, 82
65, 0.28, 81
64, 0.51, 73
62, 0.42, 79
68, 1.1, 58
0, 0.65, 21
67, 0.7, 68
60, 0.98, 44
0, 2.0, 9
62, 0.28, 93
65, 0.33, 85
67, 0.46, 66
62, 0.33, 89
65, 0.37, 82
67, 0.7, 30
0, 0.65, 22
60, 0.37, 68
64, 0.37, 70
67, 0.7, 28
0, 1.4, 14
69, 0.23, 78
67, 0.37, 84
65, 0.33, 75
64, 0.42, 69
62, 0.37, 75
59, 0.37, 67
55, 0.42, 59
51, 0.51, 69
50, 2.3, 48
0, 0.88, 12
52, 0.51, 73
55, 0.51, 61
60, 0.88, 36
0, 1.7, 7
53, 0.42, 71
57, 0.37, 68
60, 0.33, 70
64, 0.51, 72
63, 0.42, 55
56, 0.46, 69
58, 0.51, 73
59, 0.88, 70
60, 1.0, 40
0, 1.5, 8
53, 0.33, 73
57, 0.33, 68
55, 0.28, 63
53, 0.37, 67
57, 0.37, 68
60, 0.33, 72
59, 0.37, 73
57, 0.46, 53
60, 0.37, 66
64, 0.79, 38
0, 3.0, 5
59, 0.37, 73
55, 0.37, 69
58, 0.42, 75
59, 0.37, 66
60, 0.33, 71
61, 0.37, 76
64, 0.46, 69
67, 0.51, 83
71, 1.8, 66
0, 0.33, 32
60, 1.1, 41
0, 1.3, 14
69, 0.32, 82
67, 0.33, 87
65, 0.28, 79
64, 0.42, 74
62, 0.33, 76
60, 0.37, 71
59, 0.79, 45
67, 0.42, 83
65, 0.28, 79
64, 0.42, 81
62, 0.33, 68
60, 0.32, 62
59, 0.42, 70
57, 0.56, 22
0, 0.46, 39
65, 0.23, 85
64, 0.42, 83
62, 0.32, 75
60, 0.46, 55
59, 0.37, 64
55, 0.42, 66
57, 0.42, 66
53, 0.42, 68
52, 0.51, 63
55, 0.28, 53
60, 0.65, 27
0, 2.8, 6
52, 0.37, 71
55, 0.33, 69
53, 0.37, 71
57, 0.37, 75
59, 0.37, 67
55, 0.33, 62
64, 0.42, 77
62, 0.42, 77
60, 0.74, 46
55, 1.0, 52
60, 0.65, 24
0, 5.0, 1
67, 0.42, 85
64, 0.42, 87
65, 0.37, 89
62, 0.33, 80
64, 0.37, 72
60, 0.42, 77
62, 0.37, 74
59, 0.46, 73
60, 1.0, 41
0, 2.1, 8
69, 0.46, 91
65, 0.37, 87
67, 0.32, 80
64, 0.42, 86
65, 0.37, 85
63, 0.37, 82
62, 0.42, 76
61, 0.42, 75
60, 0.46, 84
59, 0.51, 78
60, 0.42, 72
62, 0.56, 73
60, 0.65, 29
0, 1.3, 13
71, 0.33, 93
74, 0.79, 52
0, 0.37, 47
62, 0.37, 91
65, 0.28, 83
69, 0.28, 84
72, 0.42, 90
71, 1.1, 86
74, 0.79, 52
0, 0.98, 15
67, 0.93, 49
60, 0.84, 40
0, 2.4, 3
52, 0.46, 67
53, 0.33, 66
