note, length, volume
0, 0.18, 45
55, 0.51, 64
57, 0.42, 63
59, 0.33, 56
61, 0.37, 69
62, 0.42, 67
66, 0.42, 61
64, 1.3, 37
0, 0.7, 15
55, 0.28, 59
59, 0.37, 61
62, 0.51, 67
64, 0.56, 61
62, 1.8, 61
61, 1.3, 44
62, 0.6, 20
0, 2.8, 1
64, 0.6, 72
67, 0.19, 71
66, 0.37, 54
65, 0.09, 57
64, 0.51, 61
57, 1.3, 42
0, 1.0, 12
57, 0.46, 49
61, 0.33, 63
59, 0.46, 53
54, 0.42, 56
57, 0.42, 59
55, 0.7, 48
50, 0.42, 49
52, 0.42, 38
54, 2.0, 6
0, 2.8, 5
54, 0.33, 62
55, 0.74, 55
57, 0.42, 61
59, 0.56, 29
0, 0.93, 11
55, 0.42, 65
58, 0.98, 68
60, 0.6, 72
61, 1.4, 44
64, 0.79, 72
62, 0.7, 40
0, 2.8, 4
59, 0.42, 71
57, 0.51, 60
54, 0.37, 54
55, 0.46, 56
52, 0.51, 53
54, 0.46, 51
50, 0.65, 45
55, 0.56, 63
58, 1.2, 69
57, 0.37, 63
55, 0.42, 52
54, 0.28, 54
52, 0.46, 62
50, 0.51, 59
48, 0.46, 62
47, 0.74, 63
50, 0.88, 49
54, 0.74, 35
50, 0.74, 19
0, 1.9, 8
59, 0.33, 66
61, 0.42, 68
62, 0.23, 64
59, 0.46, 59
55, 0.74, 58
54, 0.37, 51
52, 0.79, 33
0, 1.2, 10
55, 0.42, 66
59, 0.46, 56
54, 0.37, 51
55, 0.23, 64
57, 0.42, 69
58, 0.33, 60
61, 0.37, 71
65, 0.7, 70
68, 0.09, 70
69, 0.05, 71
68, 0.42, 61
66, 0.23, 52
65, 0.14, 45
66, 1.1, 29
0, 2.4, 5
66, 0.37, 73
67, 0.28, 76
69, 1.5, 66
66, 0.46, 61
65, 0.09, 69
64, 0.51, 70
62, 0.33, 62
61, 0.84, 33
0, 1.0, 16
71, 1.1, 86
73, 0.37, 84
69, 0.37, 83
71, 0.42, 74
70, 0.56, 66
72, 0.37, 48
66, 0.79, 58
71, 1.1, 41
0, 1.1, 12
66, 0.33, 71
64, 0.33, 76
62, 0.79, 61
57, 0.33, 56
61, 0.33, 63
59, 0.37, 58
58, 0.14, 52
59, 0.46, 57
57, 0.6, 52
55, 0.23, 39
54, 0.56, 12
0, 2.7, 3
52, 0.37, 56
51, 0.42, 65
52, 0.33, 57
54, 0.37, 53
55, 0.33, 61
57, 0.46, 62
59, 0.42, 61
62, 0.51, 62
59, 0.98, 37
0, 0.79, 7
54, 0.42, 57
55, 0.56, 54
52, 0.51, 61
59, 0.98, 54
58, 0.05, 56
59, 0.05, 61
57, 0.6, 47
54, 1.0, 12
50, 1.3, 14
54, 0.46, 0
0, 2.7, 4
55, 0.33, 68
57, 0.37, 70
59, 0.33, 63
61, 0.37, 71
62, 0.33, 72
64, 0.42, 67
66, 0.46, 70
67, 0.42, 71
64, 0.98, 31
0, 0.84, 15
59, 0.37, 67
62, 0.42, 74
61, 0.51, 73
59, 0.42, 68
57, 0.51, 57
65, 0.19, 51
66, 0.05, 60
65, 0.19, 49
66, 0.74, 26
0, 2.1, 6
67, 1.6, 80
69, 1.3, 48
0, 2.6, 6
71, 0.42, 88
69, 0.33, 82
67, 0.32, 76
66, 0.42, 73
67, 0.37, 70
64, 0.7, 32
0, 1.2, 10
59, 0.42, 69
62, 0.56, 61
59, 0.28, 57
60, 0.42, 68
61, 0.33, 66
64, 0.46, 74
69, 0.33, 83
67, 0.42, 74
66, 0.79, 31
0, 1.6, 7
67, 1.1, 50
0, 1.0, 13
68, 0.74, 82
71, 0.37, 75
69, 2.0, 48
0, 3.2, 1
52, 0.46, 58
54, 0.74, 45
57, 0.46, 64
55, 0.51, 59
59, 0.98, 59
57, 0.98, 35
0, 0.19, 35
48, 1.2, 53
49, 0.28, 2
0, 0.65, 18
57, 0.79, 58
55, 0.84, 41
54, 0.37, 37
52, 0.37, 48
50, 0.93, 29
0, 4.8, 1
55, 0.79, 67
57, 0.79, 68
58, 0.6, 65
60, 0.79, 57
61, 1.2, 33
0, 0.79, 16
52, 2.0, 64
50, 1.3, 35
0, 2.2, 5
57, 0.6, 69
59, 0.28, 60
58, 0.14, 64
61, 0.56, 69
62, 0.6, 74
63, 0.65, 35
67, 0.98, 73
69, 0.56, 66
68, 0.05, 53
69, 0.14, 54
66, 0.09, 53
65, 0.05, 48
66, 0.56, 49
62, 0.79, 36
0, 2.8, 3
55, 0.37, 61
52, 0.37, 53
54, 0.28, 55
55, 0.28, 65
57, 0.37, 65
58, 0.28, 69
60, 0.33, 70
61, 0.33, 73
63, 0.37, 76
65, 0.46, 72
67, 1.1, 70
64, 0.42, 62
61, 0.37, 58
58, 0.28, 64
57, 0.37, 62
55, 0.42, 49
54, 0.6, 41
57, 0.65, 53
62, 0.84, 51
57, 0.74, 36
54, 0.33, 0
0, 2.6, 3
54, 0.42, 60
57, 0.42, 59
55, 0.65, 38
49, 0.42, 47
50, 0.28, 47
54, 0.33, 52
52, 0.46, 60
57, 0.37, 65
59, 0.37, 58
61, 0.88, 59
59, 0.28, 66
57, 0.33, 65
56, 0.37, 58
55, 0.33, 51
54, 0.37, 48
52, 0.6, 36
0, 0.05, 13
47, 0.65, 22
50, 0.7, 17
0, 2.8, 3
55, 0.37, 68
59, 0.33, 70
57, 0.37, 57
54, 0.42, 54
55, 0.32, 60
52, 0.42, 57
50, 0.42, 50
49, 0.37, 57
60, 1.5, 65
58, 0.42, 64
57, 0.28, 54
56, 0.42, 57
55, 0.37, 54
54, 0.33, 53
52, 0.42, 51
50, 0.46, 39
54, 0.6, 11
0, 3.2, 4
59, 0.33, 61
61, 0.42, 68
62, 0.88, 52
57, 0.42, 54
61, 0.33, 60
59, 0.42, 58
55, 0.33, 52
54, 0.6, 48
55, 0.65, 46
61, 0.37, 80
62, 0.28, 72
64, 0.33, 67
66, 0.56, 69
67, 0.6, 29
0, 1.1, 14
66, 0.05, 57
65, 0.19, 56
66, 0.14, 68
65, 0.05, 84
66, 0.09, 83
69, 1.2, 50
62, 0.46, 73
66, 0.42, 70
67, 0.6, 29
0, 0.6, 21
58, 0.28, 56
64, 0.56, 68
65, 0.42, 41
66, 0.09, 44
65, 0.09, 72
57, 0.42, 47
61, 0.51, 54
64, 0.6, 20
0, 1.0, 6
62, 0.65, 43
0, 3.5, 4
67, 0.37, 87
69, 0.33, 85
71, 0.28, 76
67, 0.33, 73
64, 0.37, 73
62, 0.42, 65
61, 0.46, 63
64, 0.37, 74
69, 0.37, 83
71, 0.28, 84
73, 0.37, 78
69, 0.33, 72
66, 0.37, 62
64, 0.51, 66
63, 0.7, 30
0, 0.93, 18
67, 0.37, 81
66, 0.23, 73
64, 0.42, 79
62, 0.33, 73
61, 0.37, 75
62, 0.28, 72
64, 0.37, 70
66, 0.42, 72
62, 0.84, 50
0, 4.6, 1
54, 0.37, 54
55, 0.33, 44
58, 0.46, 68
59, 0.37, 72
62, 0.37, 68
66, 0.42, 56
64, 0.7, 24
0, 0.93, 20
56, 0.09, 72
57, 0.46, 67
55, 0.42, 57
61, 0.42, 59
59, 0.46, 59
62, 0.46, 30
66, 0.46, 66
64, 0.42, 65
61, 0.51, 59
57, 0.98, 61
62, 0.65, 41
0, 0.98, 18
59, 0.32, 63
57, 0.7, 42
50, 0.56, 44
52, 0.56, 39
54, 0.79, 6
0, 3.0, 3
55, 0.33, 61
54, 0.37, 53
52, 1.2, 52
57, 0.14, 0
0, 0.05, 0
57, 0.19, 46
55, 1.4, 38
0, 0.14, 4
50, 0.42, 40
52, 0.46, 52
48, 0.6, 38
49, 0.23, 0
0, 1.8, 6
49, 0.28, 74
50, 0.09, 80
52, 0.37, 67
49, 0.05, 75
48, 0.42, 70
49, 0.46, 15
0, 0.79, 6
49, 0.88, 41
0, 0.93, 18
56, 0.33, 79
58, 0.42, 65
55, 0.84, 38
52, 0.42, 60
54, 0.33, 63
57, 0.42, 64
62, 0.6, 41
0, 0.6, 27
57, 0.46, 68
59, 0.33, 57
55, 0.33, 55
54, 0.37, 57
53, 0.42, 64
52, 1.4, 48
54, 0.65, 36
50, 0.51, 17
0, 3.2, 3
59, 0.46, 46
51, 0.42, 65
52, 0.28, 52
54, 0.37, 51
55, 0.33, 64
57, 0.33, 62
59, 0.37, 54
60, 0.46, 64
61, 0.93, 41
56, 0.51, 64
57, 0.28, 50
59, 0.37, 52
55, 0.42, 54
52, 0.42, 46
54, 0.33, 54
57, 0.46, 63
62, 0.42, 73
64, 0.65, 69
66, 0.93, 32
0, 1.5, 8
67, 0.37, 75
64, 0.37, 67
66, 0.32, 72
62, 0.37, 70
61, 0.51, 62
59, 0.51, 25
0, 0.84, 21
69, 0.37, 78
66, 0.37, 74
67, 0.32, 66
64, 0.42, 61
61, 0.51, 69
60, 0.98, 44
58, 0.7, 46
57, 0.6, 19
0, 1.6, 4
62, 0.37, 74
66, 0.28, 77
67, 0.74, 43
0, 0.84, 5
64, 0.46, 72
61, 0.37, 69
62, 0.56, 35
0, 4.3, 3
58, 0.09, 63
59, 0.33, 66
57, 0.42, 65
