note, length, volume
0, 2.8, 6
58, 0.65, 75
54, 0.37, 58
51, 0.42, 72
58, 1.3, 71
54, 0.37, 54
51, 0.79, 38
0, 0.33, 50
57, 0.65, 76
56, 0.74, 65
54, 0.65, 56
53, 0.7, 55
49, 0.46, 55
48, 0.51, 47
49, 0.33, 5
0, 2.1, 7
58, 0.51, 69
54, 0.28, 66
56, 0.37, 77
58, 0.28, 76
60, 0.37, 79
61, 0.37, 73
63, 0.42, 77
65, 1.2, 68
66, 0.14, 67
65, 0.19, 66
64, 0.42, 64
63, 0.42, 66
64, 0.74, 72
60, 2.0, 64
61, 1.4, 42
0, 2.4, 8
68, 0.32, 86
70, 0.28, 75
66, 0.42, 73
61, 0.42, 77
65, 0.51, 75
63, 0.7, 27
0, 0.28, 39
72, 0.51, 75
70, 0.05, 73
69, 0.6, 74
66, 0.37, 66
63, 0.37, 76
60, 0.46, 66
57, 0.42, 59
54, 0.33, 55
53, 0.51, 57
61, 0.93, 37
0, 3.1, 4
58, 0.37, 65
54, 0.28, 63
51, 0.37, 62
53, 0.37, 56
54, 0.33, 63
56, 0.37, 72
58, 0.37, 66
60, 0.42, 65
63, 0.51, 70
66, 1.4, 44
0, 0.65, 27
58, 0.37, 73
61, 0.33, 82
60, 0.46, 77
56, 0.51, 61
65, 1.2, 80
68, 1.1, 54
0, 5.0, 1
72, 0.46, 90
73, 0.28, 79
70, 0.28, 79
72, 0.37, 83
68, 0.33, 80
70, 0.37, 70
66, 0.37, 83
68, 0.6, 56
65, 0.46, 30
0, 0.37, 43
65, 0.46, 82
66, 0.37, 71
63, 0.42, 69
64, 0.46, 68
58, 0.37, 66
60, 0.46, 67
63, 0.46, 65
61, 0.88, 39
0, 2.7, 3
51, 0.46, 59
53, 0.37, 50
54, 0.33, 56
56, 0.37, 66
58, 0.37, 64
60, 0.42, 74
61, 0.37, 70
63, 0.37, 61
64, 1.2, 57
66, 0.32, 67
69, 0.37, 77
67, 0.33, 71
66, 0.46, 54
61, 0.46, 66
63, 0.42, 70
65, 1.6, 65
58, 1.1, 44
0, 3.1, 5
65, 0.42, 75
63, 0.37, 65
65, 0.6, 37
60, 0.46, 74
58, 0.42, 62
63, 0.42, 59
61, 0.23, 67
60, 0.42, 68
58, 0.37, 69
56, 0.42, 58
54, 0.33, 56
53, 0.42, 65
52, 0.56, 63
63, 0.6, 65
60, 0.51, 65
56, 0.51, 61
53, 0.7, 58
61, 0.79, 32
0, 5.0, 1
70, 0.51, 75
72, 0.56, 57
66, 0.93, 47
70, 0.37, 79
68, 0.46, 83
65, 0.46, 71
63, 0.42, 60
65, 0.23, 59
66, 0.42, 8
0, 0.51, 36
60, 0.33, 78
59, 0.37, 72
58, 1.0, 53
0, 0.14, 72
59, 0.42, 68
60, 0.37, 74
61, 0.88, 39
0, 2.5, 6
63, 0.51, 80
65, 0.37, 80
61, 0.37, 80
60, 0.6, 78
61, 1.1, 46
0, 0.93, 14
66, 0.51, 81
68, 0.37, 79
64, 0.42, 78
62, 0.51, 76
64, 1.3, 47
0, 1.0, 16
65, 1.0, 84
68, 1.5, 71
0, 0.28, 49
61, 2.1, 56
0, 2.2, 6
72, 0.46, 82
70, 0.28, 87
68, 0.37, 89
67, 0.42, 75
66, 0.28, 74
65, 0.46, 73
63, 0.33, 69
61, 0.33, 75
60, 0.42, 68
58, 0.37, 68
56, 0.6, 66
58, 0.42, 50
54, 0.33, 57
58, 0.46, 54
53, 0.37, 54
51, 0.51, 54
56, 1.1, 58
53, 0.33, 35
49, 1.3, 45
61, 0.93, 42
0, 2.2, 4
51, 0.46, 70
58, 0.46, 57
54, 0.33, 56
58, 0.42, 55
53, 0.42, 52
54, 0.37, 37
51, 0.46, 55
58, 0.51, 69
57, 0.42, 57
60, 0.37, 67
58, 0.46, 58
63, 0.37, 61
61, 0.42, 55
64, 0.42, 60
63, 0.46, 60
66, 0.6, 24
0, 1.2, 10
65, 0.56, 83
68, 0.98, 81
72, 0.93, 38
0, 0.14, 57
61, 1.0, 48
73, 0.98, 50
0, 5.0, 3
70, 0.46, 42
66, 0.79, 58
63, 0.51, 46
58, 0.51, 61
60, 0.7, 31
0, 0.79, 25
68, 0.37, 79
66, 0.33, 61
65, 0.56, 69
63, 0.42, 66
65, 0.51, 64
66, 0.6, 18
0, 0.88, 12
58, 0.46, 70
60, 0.42, 73
61, 0.79, 71
65, 0.42, 79
68, 0.88, 75
69, 0.09, 67
66, 0.37, 68
62, 0.51, 77
60, 0.56, 73
61, 0.65, 28
0, 5.0, 2
58, 0.51, 66
54, 0.33, 65
56, 0.42, 74
58, 0.42, 63
60, 0.98, 71
61, 0.37, 63
63, 0.42, 69
65, 1.1, 51
0, 0.56, 26
64, 0.42, 81
62, 0.37, 79
61, 0.46, 66
59, 0.28, 65
58, 0.46, 70
57, 0.37, 63
56, 0.79, 60
61, 0.65, 33
0, 0.33, 38
