note, length, volume
0, 2.5, 7
57, 1.3, 62
54, 0.42, 58
57, 0.37, 56
61, 0.46, 68
63, 0.51, 66
65, 0.56, 62
66, 0.79, 66
68, 1.1, 85
67, 0.23, 59
64, 1.3, 38
0, 2.0, 7
71, 0.28, 87
69, 0.28, 90
68, 0.37, 80
66, 0.33, 73
64, 0.74, 68
68, 0.37, 73
65, 0.28, 68
63, 1.2, 63
61, 0.33, 65
59, 1.3, 65
57, 0.33, 67
56, 0.46, 67
59, 0.46, 67
64, 0.79, 37
0, 2.0, 4
54, 0.28, 63
57, 0.28, 68
56, 0.51, 53
54, 0.33, 55
59, 0.79, 38
0, 0.28, 37
63, 0.33, 65
61, 0.37, 59
59, 0.37, 64
57, 0.42, 55
54, 0.46, 42
55, 0.37, 55
56, 0.42, 63
57, 0.42, 66
58, 0.93, 64
59, 0.19, 71
63, 0.7, 60
64, 0.65, 24
0, 2.0, 8
68, 0.46, 87
66, 1.0, 65
63, 0.42, 59
59, 0.42, 66
61, 0.79, 41
69, 0.37, 85
68, 0.33, 80
66, 0.33, 72
64, 0.37, 64
63, 0.33, 71
60, 0.7, 63
55, 0.74, 57
60, 0.46, 63
66, 0.46, 62
63, 0.51, 62
59, 0.74, 34
0, 2.1, 6
59, 0.37, 75
56, 0.51, 76
57, 0.42, 65
53, 0.42, 55
54, 0.28, 62
56, 0.37, 74
57, 0.23, 67
59, 0.28, 67
61, 0.37, 74
62, 0.28, 76
64, 0.42, 82
65, 1.2, 48
0, 1.0, 14
63, 0.37, 76
64, 0.6, 60
71, 1.3, 82
68, 0.46, 72
63, 0.7, 62
65, 0.05, 60
66, 0.28, 58
65, 0.05, 46
66, 0.05, 59
64, 0.51, 61
59, 0.42, 59
56, 0.6, 28
0, 2.0, 4
56, 0.42, 73
59, 0.33, 71
57, 0.51, 48
53, 0.46, 53
54, 0.42, 27
60, 0.56, 70
61, 0.65, 25
0, 1.1, 11
66, 0.33, 78
64, 0.42, 71
63, 0.28, 67
61, 0.37, 65
59, 0.37, 69
57, 0.42, 65
53, 1.5, 41
51, 0.51, 52
52, 0.74, 58
56, 0.42, 69
59, 0.6, 64
60, 0.46, 69
57, 0.33, 62
53, 0.42, 52
48, 0.46, 51
47, 0.7, 23
0, 5.0, 1
53, 0.42, 55
54, 0.23, 63
59, 0.33, 70
57, 0.42, 71
56, 0.37, 70
57, 0.32, 68
59, 0.33, 67
61, 0.37, 66
63, 0.37, 66
64, 0.51, 80
65, 0.7, 74
66, 0.37, 74
67, 1.3, 64
63, 1.2, 34
59, 0.88, 46
64, 0.84, 38
0, 2.0, 8
71, 0.28, 87
70, 0.33, 85
69, 0.28, 92
68, 0.37, 82
66, 0.33, 71
64, 0.37, 73
63, 0.37, 72
61, 0.37, 72
59, 0.37, 76
57, 0.37, 71
55, 0.42, 68
53, 0.42, 73
51, 1.2, 57
55, 0.42, 66
59, 0.51, 58
54, 0.6, 50
56, 1.3, 56
52, 0.65, 14
0, 2.3, 8
60, 0.56, 89
58, 0.46, 77
59, 0.42, 71
63, 0.46, 72
66, 0.14, 66
65, 0.05, 62
66, 0.05, 67
65, 0.09, 82
64, 0.46, 67
59, 0.37, 62
61, 0.51, 65
63, 0.65, 64
60, 0.37, 65
56, 0.46, 63
53, 0.42, 51
50, 0.79, 30
0, 0.84, 16
59, 0.37, 74
57, 0.37, 73
56, 0.42, 59
54, 0.42, 56
52, 0.51, 44
47, 0.51, 32
51, 0.51, 30
54, 0.37, 43
56, 0.98, 45
54, 0.28, 28
52, 0.46, 9
0, 3.5, 4
59, 0.42, 68
