note, length, volume
0, 2.2, 3
53, 0.46, 71
55, 0.28, 72
56, 0.37, 74
58, 0.42, 67
60, 0.37, 68
56, 0.37, 70
62, 0.46, 83
65, 0.7, 82
63, 1.0, 49
0, 3.1, 8
68, 0.14, 95
67, 0.05, 95
68, 0.05, 90
67, 0.14, 87
66, 0.05, 95
65, 0.42, 86
63, 0.28, 83
62, 0.42, 81
60, 0.37, 79
58, 0.33, 73
56, 0.51, 68
55, 1.3, 45
51, 0.84, 28
0, 1.5, 9
53, 0.33, 66
55, 0.28, 73
56, 0.28, 72
60, 0.42, 85
63, 0.33, 83
62, 0.37, 75
60, 0.42, 72
58, 0.51, 72
63, 0.93, 53
0, 2.1, 8
67, 0.28, 85
63, 0.33, 81
60, 0.33, 67
56, 0.46, 59
53, 0.88, 54
58, 0.93, 52
51, 0.65, 21
0, 1.9, 10
52, 0.46, 75
53, 0.33, 65
55, 0.33, 71
56, 0.37, 75
58, 0.37, 75
60, 0.37, 80
63, 0.33, 79
62, 0.42, 72
60, 0.46, 70
58, 0.84, 44
0, 2.7, 7
67, 0.33, 85
63, 0.28, 85
60, 0.42, 71
56, 0.42, 63
53, 0.93, 38
62, 0.42, 76
60, 0.42, 66
58, 0.79, 70
55, 0.42, 67
53, 0.46, 61
51, 0.88, 34
0, 1.8, 5
56, 0.46, 76
58, 0.32, 74
60, 0.42, 81
63, 0.46, 85
65, 0.98, 64
62, 1.1, 64
58, 0.84, 64
63, 0.74, 49
0, 2.8, 6
68, 0.33, 96
67, 0.37, 91
65, 0.33, 88
63, 0.42, 83
62, 0.37, 80
60, 0.37, 76
58, 0.37, 71
56, 0.46, 68
55, 0.93, 38
0, 1.7, 8
55, 0.37, 78
56, 0.42, 70
52, 0.42, 72
55, 0.28, 65
53, 0.33, 68
59, 0.51, 68
56, 0.46, 69
58, 0.37, 66
60, 0.42, 69
62, 0.65, 65
65, 0.93, 65
63, 0.6, 31
0, 1.5, 14
68, 0.23, 91
67, 0.37, 85
65, 0.32, 83
63, 0.28, 80
62, 0.37, 65
61, 0.37, 57
59, 0.37, 67
58, 1.6, 65
63, 0.7, 41
0, 1.3, 10
56, 0.28, 70
55, 0.37, 63
53, 0.33, 68
58, 0.37, 71
56, 0.37, 69
59, 0.42, 62
61, 0.46, 68
62, 0.46, 81
63, 0.79, 44
0, 2.8, 4
53, 0.42, 74
56, 0.37, 63
60, 0.37, 79
63, 0.37, 72
61, 0.56, 69
62, 0.37, 79
64, 0.46, 71
66, 0.74, 71
67, 0.93, 60
63, 0.84, 59
58, 0.6, 60
63, 0.56, 35
0, 1.2, 16
69, 0.19, 88
70, 0.05, 99
68, 0.37, 90
66, 0.33, 82
65, 0.46, 81
63, 0.33, 81
62, 0.42, 69
61, 0.42, 67
59, 0.19, 66
58, 0.84, 67
51, 0.7, 62
55, 0.65, 21
0, 1.6, 6
53, 0.33, 64
55, 0.37, 70
56, 0.33, 63
53, 0.33, 61
50, 0.28, 68
48, 0.42, 69
46, 0.51, 55
50, 0.51, 63
51, 0.37, 69
53, 0.37, 58
55, 0.56, 23
0, 2.6, 4
53, 0.42, 74
56, 0.37, 72
55, 0.28, 65
53, 0.37, 68
58, 0.46, 52
61, 0.33, 60
59, 0.46, 62
55, 0.42, 64
58, 1.2, 42
0, 1.4, 12
58, 0.28, 76
56, 0.28, 71
60, 0.33, 74
58, 0.37, 77
62, 0.37, 85
63, 0.28, 84
65, 1.0, 76
62, 0.93, 83
63, 0.93, 47
0, 1.4, 10
67, 0.46, 86
69, 0.28, 82
68, 0.28, 85
67, 0.37, 75
66, 0.37, 72
62, 0.37, 66
61, 0.42, 61
59, 0.19, 66
58, 0.51, 64
56, 0.46, 67
55, 0.33, 62
53, 0.46, 61
51, 0.74, 27
0, 1.3, 8
53, 0.46, 64
55, 0.33, 67
56, 0.46, 53
60, 0.51, 25
50, 0.42, 55
53, 0.32, 64
58, 0.37, 71
56, 0.42, 69
55, 0.37, 63
58, 0.46, 69
63, 1.1, 49
0, 2.5, 7
63, 0.33, 80
60, 0.33, 66
56, 0.42, 66
53, 0.37, 73
65, 0.42, 80
62, 0.37, 71
60, 0.33, 63
59, 0.37, 70
58, 0.74, 65
55, 1.2, 37
0, 1.4, 9
53, 0.42, 69
55, 0.33, 70
56, 0.37, 65
58, 0.37, 53
56, 0.42, 68
58, 0.42, 74
59, 0.42, 47
61, 0.42, 32
58, 0.51, 63
60, 0.46, 73
62, 0.46, 80
63, 0.37, 78
65, 0.65, 67
63, 0.51, 27
0, 1.2, 10
67, 0.51, 81
65, 0.37, 73
66, 0.37, 79
63, 0.37, 78
60, 0.37, 57
56, 0.42, 63
55, 0.37, 63
58, 0.46, 67
59, 0.37, 67
62, 0.51, 82
64, 0.05, 92
65, 0.23, 77
64, 0.05, 76
65, 0.19, 75
63, 0.84, 48
0, 0.79, 9
62, 0.42, 77
60, 0.88, 72
56, 0.37, 70
55, 0.42, 60
54, 0.33, 57
53, 0.42, 63
51, 0.37, 62
50, 0.51, 57
53, 0.93, 54
55, 0.93, 43
51, 0.65, 32
0, 0.09, 13
46, 0.46, 12
51, 0.7, 23
0, 1.3, 10
55, 0.33, 77
58, 0.37, 72
56, 0.37, 69
59, 0.33, 68
58, 0.42, 73
60, 0.42, 70
62, 0.46, 75
65, 0.51, 42
58, 0.42, 59
62, 0.46, 80
63, 0.33, 62
58, 0.37, 62
56, 0.93, 36
0, 2.0, 8
58, 0.32, 77
56, 0.37, 54
60, 0.37, 81
62, 0.33, 86
65, 0.46, 76
70, 0.23, 76
68, 0.46, 83
66, 0.7, 72
63, 1.0, 52
0, 1.3, 5
72, 0.37, 79
70, 0.28, 82
68, 0.32, 87
67, 0.42, 74
66, 0.09, 83
65, 0.37, 82
64, 0.42, 73
62, 0.37, 65
61, 0.33, 52
60, 0.51, 66
59, 0.46, 64
58, 0.37, 65
57, 0.37, 67
58, 0.42, 76
63, 0.79, 42
0, 1.2, 12
58, 0.33, 69
60, 0.37, 77
63, 0.33, 84
62, 0.42, 69
58, 0.37, 61
62, 0.42, 73
67, 0.28, 74
