note, length, volume
0, 1.4, 9
53, 1.4, 62
60, 1.7, 60
64, 1.6, 63
62, 0.88, 31
0, 1.3, 12
61, 1.7, 49
68, 1.5, 75
67, 1.8, 74
65, 0.88, 38
0, 1.2, 10
64, 0.56, 69
62, 0.42, 73
60, 1.7, 71
61, 0.98, 41
0, 0.93, 9
56, 0.46, 67
61, 0.51, 71
59, 0.42, 75
58, 0.56, 73
57, 0.97, 66
53, 0.46, 63
58, 0.93, 68
60, 0.88, 61
55, 0.56, 48
61, 0.33, 61
73, 0.09, 57
61, 0.84, 37
63, 0.84, 57
65, 1.5, 35
0, 2.2, 7
67, 0.46, 89
69, 0.42, 85
71, 1.2, 66
64, 0.74, 72
67, 0.51, 78
68, 0.56, 31
0, 1.1, 14
66, 0.37, 82
68, 0.37, 63
69, 0.7, 51
70, 0.05, 75
62, 1.1, 56
0, 0.28, 63
67, 0.33, 82
66, 0.28, 67
62, 0.28, 62
58, 0.33, 63
57, 0.51, 60
56, 1.1, 34
0, 2.0, 6
51, 0.7, 68
56, 0.51, 70
60, 0.56, 78
63, 0.65, 71
61, 0.46, 73
58, 0.46, 66
55, 0.42, 56
52, 0.56, 49
50, 1.3, 29
72, 0.32, 38
52, 0.33, 42
55, 1.1, 30
54, 0.28, 24
56, 0.37, 35
58, 0.6, 17
0, 0.88, 13
56, 0.32, 71
59, 0.33, 74
63, 0.97, 55
0, 0.93, 14
61, 0.37, 75
63, 0.37, 78
65, 1.4, 77
68, 0.37, 18
0, 0.28, 50
61, 0.93, 44
0, 3.7, 3
72, 0.37, 87
71, 0.28, 75
69, 0.09, 69
68, 0.32, 76
67, 0.28, 74
65, 0.46, 74
64, 0.28, 67
62, 0.23, 71
61, 0.28, 65
59, 0.37, 73
57, 0.28, 66
56, 0.33, 62
54, 0.33, 61
52, 0.33, 56
50, 0.37, 59
49, 0.79, 33
0, 2.2, 6
51, 0.42, 61
53, 0.28, 63
55, 0.28, 63
56, 0.28, 70
58, 0.23, 68
60, 0.28, 69
62, 0.28, 59
64, 0.37, 68
66, 0.6, 70
63, 0.28, 62
59, 0.28, 61
56, 0.28, 58
55, 0.28, 59
58, 0.33, 53
62, 0.33, 71
65, 0.32, 71
66, 0.09, 77
67, 0.79, 35
0, 2.1, 8
67, 0.88, 78
62, 0.42, 82
66, 0.51, 80
67, 0.65, 42
0, 1.9, 6
62, 0.37, 78
66, 0.28, 77
67, 0.42, 49
61, 0.23, 72
65, 0.32, 79
66, 0.33, 57
60, 0.33, 58
64, 0.42, 72
65, 0.98, 41
0, 1.3, 16
66, 0.23, 74
70, 0.46, 68
71, 0.19, 62
63, 0.28, 71
67, 0.37, 63
68, 0.23, 54
62, 0.98, 63
61, 0.37, 70
65, 0.28, 74
66, 0.32, 38
59, 0.28, 62
63, 0.28, 58
64, 0.65, 19
0, 0.84, 16
55, 0.23, 65
57, 0.28, 66
59, 0.09, 80
62, 0.33, 74
66, 0.46, 70
64, 0.37, 67
62, 0.23, 75
60, 0.23, 70
59, 0.65, 67
57, 1.1, 58
51, 0.56, 31
0, 3.0, 7
56, 0.74, 71
51, 0.14, 63
50, 0.37, 66
49, 0.23, 56
52, 0.19, 61
56, 0.28, 69
59, 0.28, 60
53, 0.33, 63
56, 0.28, 76
60, 0.28, 77
63, 0.28, 82
66, 0.28, 81
65, 0.37, 59
58, 0.37, 58
60, 0.37, 74
62, 0.98, 44
61, 0.33, 5
0, 1.2, 22
60, 0.14, 82
61, 0.46, 82
60, 0.6, 26
0, 0.51, 34
59, 0.05, 74
58, 0.05, 74
59, 0.14, 75
58, 0.19, 72
59, 0.33, 68
53, 0.33, 59
50, 0.23, 57
47, 0.32, 59
50, 0.28, 66
53, 0.28, 64
56, 0.33, 61
60, 0.88, 56
0, 0.7, 13
51, 0.37, 65
55, 0.23, 71
60, 0.33, 75
58, 0.28, 68
57, 0.32, 64
55, 0.33, 60
53, 0.28, 64
51, 0.33, 63
49, 0.74, 32
0, 0.93, 17
58, 0.42, 81
60, 0.09, 69
56, 0.46, 63
53, 0.32, 65
58, 0.51, 29
0, 0.28, 45
61, 0.28, 71
59, 0.42, 69
57, 0.7, 59
62, 0.23, 72
60, 0.32, 68
58, 0.65, 68
63, 0.33, 71
61, 0.33, 62
58, 0.46, 59
59, 0.19, 52
55, 0.33, 48
53, 0.33, 32
51, 0.37, 49
60, 0.37, 57
57, 0.46, 46
53, 0.51, 32
58, 0.51, 8
0, 2.7, 6
58, 0.42, 69
62, 0.33, 79
65, 0.7, 75
62, 0.42, 61
58, 0.33, 62
57, 0.37, 45
61, 0.28, 64
