note, length, volume
0, 2.2, 5
54, 0.42, 82
57, 0.33, 85
59, 0.98, 48
0, 0.88, 5
54, 0.42, 76
57, 0.37, 91
59, 0.98, 56
0, 1.2, 10
54, 0.33, 85
57, 0.37, 95
59, 1.1, 55
0, 0.88, 20
54, 0.23, 87
57, 0.37, 86
59, 0.93, 75
61, 0.37, 75
57, 0.74, 38
54, 0.33, 81
57, 0.37, 84
59, 0.88, 41
0, 1.4, 10
54, 0.28, 81
57, 0.37, 87
59, 1.0, 49
0, 0.88, 16
54, 0.33, 85
57, 0.32, 93
59, 2.0, 83
54, 0.32, 78
57, 0.37, 87
59, 0.98, 73
61, 0.28, 72
57, 0.79, 75
54, 0.23, 77
57, 0.42, 86
59, 0.56, 33
0, 1.8, 8
54, 0.28, 80
57, 0.33, 91
59, 1.2, 53
0, 0.79, 11
54, 0.37, 79
57, 0.33, 91
59, 2.0, 86
54, 0.37, 75
57, 0.32, 89
59, 0.98, 81
61, 0.33, 72
57, 0.88, 77
54, 0.23, 78
57, 0.37, 85
59, 0.7, 43
0, 1.8, 6
54, 0.32, 77
57, 0.37, 86
59, 0.65, 40
0, 1.8, 7
54, 0.23, 78
57, 0.37, 78
59, 0.7, 36
0, 1.5, 6
54, 0.28, 79
57, 0.37, 87
59, 1.0, 52
0, 1.6, 5
53, 0.33, 80
56, 0.37, 83
58, 0.98, 50
0, 1.3, 8
53, 0.37, 76
56, 0.33, 84
58, 0.93, 53
0, 1.2, 8
53, 0.37, 78
56, 0.33, 81
58, 0.88, 46
0, 1.1, 9
53, 0.28, 81
56, 0.42, 84
58, 0.98, 74
60, 0.33, 69
56, 0.7, 69
53, 0.28, 70
56, 0.37, 73
58, 0.65, 35
0, 1.4, 9
64, 0.33, 66
56, 0.42, 80
58, 0.88, 43
0, 1.2, 11
53, 0.33, 80
56, 0.37, 81
58, 0.84, 46
0, 1.1, 10
53, 0.37, 78
56, 0.33, 86
58, 1.0, 84
60, 0.33, 74
56, 0.7, 67
53, 0.32, 67
56, 0.37, 75
58, 0.6, 38
0, 1.3, 7
53, 0.37, 75
56, 0.37, 75
58, 0.56, 25
0, 1.5, 1
53, 0.37, 72
56, 0.33, 85
58, 0.56, 32
0, 1.7, 10
53, 0.28, 79
56, 0.37, 79
58, 0.65, 33
0, 1.4, 10
