note, length, volume
0, 0.21, 79
71, 0.56, 91
69, 0.33, 84
66, 0.33, 90
64, 0.14, 87
63, 0.33, 78
60, 0.09, 86
59, 0.14, 87
57, 0.19, 81
55, 0.33, 69
52, 0.23, 72
50, 0.23, 64
48, 0.42, 15
0, 0.88, 27
70, 0.05, 95
67, 0.19, 94
65, 0.19, 86
63, 0.33, 79
59, 0.28, 69
55, 0.51, 21
0, 1.2, 19
72, 0.23, 89
69, 0.23, 76
63, 0.09, 81
60, 0.14, 85
59, 0.23, 85
58, 0.65, 34
0, 1.3, 13
73, 0.32, 93
69, 0.33, 76
62, 0.14, 71
61, 0.28, 76
59, 0.19, 80
57, 0.65, 34
0, 1.5, 17
68, 0.19, 92
66, 0.19, 90
62, 0.33, 85
59, 0.23, 87
58, 0.7, 46
0, 1.3, 13
66, 0.33, 87
63, 0.23, 84
59, 0.33, 83
56, 0.28, 74
55, 1.8, 51
0, 1.3, 15
65, 0.28, 93
62, 0.14, 87
60, 0.14, 84
59, 0.37, 83
57, 0.09, 70
56, 1.7, 51
0, 1.3, 15
66, 0.28, 92
65, 0.19, 94
62, 0.09, 90
60, 0.14, 82
59, 0.14, 81
58, 0.14, 81
57, 1.5, 59
0, 0.98, 18
65, 0.28, 77
63, 0.19, 78
59, 0.19, 69
55, 0.19, 64
52, 0.33, 67
51, 1.3, 53
0, 1.3, 13
67, 0.28, 79
66, 0.09, 87
63, 0.19, 86
62, 0.33, 66
60, 0.09, 86
59, 0.46, 82
57, 1.1, 49
0, 1.2, 18
66, 0.28, 93
65, 0.37, 78
61, 0.33, 71
59, 0.23, 87
57, 0.32, 82
58, 0.19, 66
56, 0.6, 67
55, 0.65, 60
53, 0.51, 26
0, 2.2, 7
71, 0.33, 88
69, 0.28, 86
67, 0.19, 84
65, 0.37, 88
62, 0.14, 76
60, 0.23, 74
59, 0.37, 79
57, 0.56, 75
59, 0.6, 33
0, 1.1, 11
75, 0.28, 92
73, 0.14, 93
72, 0.37, 79
68, 0.19, 76
67, 0.28, 71
65, 0.37, 76
63, 0.33, 63
61, 0.28, 68
60, 0.37, 72
58, 0.79, 47
0, 1.0, 23
68, 0.19, 95
66, 0.09, 97
64, 0.33, 92
62, 0.19, 84
60, 0.19, 81
59, 0.51, 81
57, 0.28, 77
