note, length, volume
0, 3.6, 5
63, 0.33, 75
62, 0.6, 68
63, 3.2, 73
65, 3.4, 64
0, 2.0, 6
61, 2.5, 56
60, 1.9, 63
62, 0.42, 57
63, 2.2, 56
0, 2.9, 5
66, 2.3, 83
64, 1.2, 56
57, 3.5, 74
59, 1.3, 64
61, 3.0, 25
60, 1.1, 32
0, 2.7, 4
53, 1.7, 60
0, 1.7, 5
56, 1.2, 66
60, 2.0, 59
58, 1.3, 51
0, 1.7, 8
59, 1.9, 71
62, 1.5, 81
66, 2.5, 78
63, 1.5, 60
0, 1.4, 11
65, 0.6, 87
62, 1.3, 76
65, 0.79, 80
69, 0.19, 75
68, 0.14, 69
69, 0.65, 30
0, 0.14, 44
61, 0.28, 78
60, 0.14, 71
61, 1.2, 45
65, 1.2, 50
0, 0.7, 20
63, 1.5, 73
59, 1.4, 63
57, 0.14, 63
56, 0.23, 60
55, 1.0, 61
50, 1.1, 62
45, 0.6, 4
0, 2.1, 4
54, 0.37, 69
53, 0.28, 69
56, 0.28, 79
57, 0.23, 66
55, 0.28, 74
57, 0.28, 67
60, 0.28, 74
59, 0.42, 75
62, 0.42, 77
67, 2.5, 76
68, 2.0, 66
0, 1.3, 11
70, 1.4, 72
63, 1.5, 72
60, 1.6, 50
53, 1.5, 49
0, 1.1, 14
60, 0.28, 76
59, 0.98, 64
60, 0.88, 56
59, 2.0, 41
58, 1.3, 43
0, 2.6, 4
56, 2.8, 67
51, 1.5, 47
0, 1.5, 8
55, 0.93, 69
49, 0.46, 70
48, 1.0, 69
49, 1.3, 35
0, 1.3, 8
55, 0.98, 70
56, 0.42, 60
51, 0.33, 65
48, 0.74, 59
49, 0.09, 62
53, 0.51, 62
60, 0.6, 64
58, 0.51, 71
56, 1.2, 41
0, 4.6, 3
58, 0.51, 77
62, 0.93, 75
67, 1.1, 80
65, 1.7, 79
62, 2.6, 57
0, 3.4, 4
60, 0.65, 72
63, 0.05, 59
62, 0.05, 57
63, 0.93, 40
0, 0.09, 94
72, 2.9, 93
70, 0.84, 54
60, 3.0, 56
0, 2.8, 4
63, 0.46, 72
62, 0.14, 64
63, 2.2, 70
65, 1.5, 56
0, 1.7, 10
65, 2.6, 85
67, 1.2, 48
0, 3.9, 5
61, 1.0, 50
55, 0.84, 62
51, 1.1, 62
60, 1.6, 61
56, 0.79, 30
0, 3.1, 4
54, 0.42, 76
52, 0.42, 71
45, 1.5, 68
56, 0.84, 76
51, 0.98, 48
0, 1.1, 13
52, 0.42, 90
44, 1.7, 73
58, 0.93, 72
53, 0.51, 77
51, 0.93, 49
0, 1.3, 7
50, 1.8, 62
61, 1.9, 58
65, 0.37, 72
66, 0.79, 41
0, 2.6, 7
67, 1.9, 87
66, 1.6, 73
67, 1.7, 66
65, 0.46, 66
66, 0.09, 64
65, 0.19, 28
66, 0.14, 0
0, 2.6, 4
65, 1.3, 83
62, 0.88, 69
61, 2.7, 67
63, 0.93, 45
0, 2.8, 7
64, 0.14, 108
63, 0.05, 106
64, 0.14, 98
63, 0.09, 100
64, 0.56, 87
62, 1.1, 71
60, 1.6, 53
61, 0.65, 15
0, 3.1, 3
62, 0.42, 68
63, 0.33, 30
58, 1.3, 73
53, 1.4, 43
0, 1.2, 14
55, 1.3, 71
56, 1.5, 43
60, 0.42, 76
63, 0.56, 82
65, 0.46, 85
64, 0.6, 84
63, 0.56, 79
61, 0.74, 58
60, 0.88, 34
0, 3.1, 5
59, 0.37, 71
54, 0.37, 63
50, 0.46, 55
47, 3.6, 67
0, 1.3, 14
59, 0.42, 72
54, 0.37, 68
50, 0.56, 73
48, 1.4, 66
55, 1.3, 38
0, 2.0, 8
60, 0.46, 79
55, 0.37, 76
52, 0.51, 79
47, 2.0, 59
0, 1.8, 10
60, 0.42, 79
55, 0.37, 78
52, 0.46, 61
47, 0.84, 81
49, 0.93, 68
51, 1.0, 43
0, 1.4, 11
63, 0.37, 83
58, 0.42, 76
55, 0.42, 63
50, 1.8, 49
0, 2.3, 10
67, 0.37, 89
62, 0.37, 83
57, 0.42, 80
52, 0.46, 66
47, 0.6, 73
49, 0.09, 75
48, 0.05, 74
49, 0.51, 73
51, 0.79, 79
53, 1.0, 72
55, 0.65, 24
0, 1.3, 12
69, 0.51, 80
61, 0.56, 64
54, 0.98, 65
49, 0.7, 61
47, 1.2, 52
0, 1.2, 13
53, 0.42, 65
54, 0.23, 72
59, 1.8, 72
58, 4.6, 59
0, 4.3, 2
56, 2.0, 66
58, 1.6, 74
60, 2.0, 63
61, 0.74, 33
0, 1.9, 6
65, 0.19, 90
64, 0.42, 86
65, 1.0, 78
62, 1.3, 68
61, 1.6, 53
59, 1.0, 37
0, 1.7, 3
54, 1.1, 58
56, 1.3, 60
58, 1.4, 71
59, 0.93, 40
0, 1.0, 22
67, 0.05, 86
66, 0.05, 85
67, 1.1, 80
66, 0.05, 86
67, 0.05, 86
65, 1.3, 81
63, 0.14, 92
64, 1.2, 80
62, 0.84, 39
0, 2.1, 7
61, 0.65, 75
57, 0.51, 77
59, 0.51, 65
54, 0.65, 69
52, 1.2, 48
0, 1.4, 8
53, 1.4, 50
0, 1.7, 5
55, 1.2, 42
0, 1.8, 9
57, 4.2, 57
0, 2.9, 7
59, 1.0, 78
58, 1.3, 71
57, 1.5, 67
53, 1.1, 60
50, 2.1, 55
55, 1.1, 32
0, 1.2, 15
60, 0.79, 68
59, 0.88, 70
58, 0.93, 58
54, 0.88, 32
51, 2.2, 44
56, 0.98, 32
0, 1.2, 14
61, 0.74, 56
60, 1.1, 61
59, 1.2, 73
55, 0.84, 66
52, 1.2, 47
0, 0.84, 24
60, 0.46, 75
61, 0.46, 64
58, 0.98, 70
54, 1.1, 34
0, 1.4, 17
63, 0.09, 85
62, 0.14, 87
63, 0.7, 89
65, 0.6, 85
66, 1.1, 81
67, 2.6, 78
68, 0.05, 70
70, 0.09, 69
69, 0.14, 69
70, 0.19, 65
69, 0.09, 55
70, 0.65, 23
0, 1.2, 16
66, 0.33, 89
65, 0.14, 100
62, 0.46, 90
61, 0.46, 72
59, 0.51, 80
58, 1.5, 65
48, 2.9, 47
0, 2.4, 5
49, 0.56, 74
60, 0.65, 68
56, 0.6, 74
58, 0.6, 75
59, 0.88, 56
47, 1.5, 71
59, 1.0, 65
51, 1.4, 63
53, 0.7, 28
0, 5.0, 2
55, 0.65, 76
59, 0.56, 78
62, 0.7, 84
65, 0.14, 80
66, 0.05, 83
65, 0.14, 76
66, 0.51, 32
51, 0.79, 73
55, 0.51, 76
58, 0.56, 78
62, 0.65, 83
66, 0.65, 81
69, 0.88, 38
0, 1.2, 4
48, 0.42, 80
49, 0.33, 64
53, 0.51, 70
56, 0.51, 66
60, 0.56, 67
63, 0.51, 76
67, 0.65, 74
70, 0.05, 73
69, 0.05, 70
70, 0.6, 69
74, 0.88, 45
0, 1.6, 8
66, 0.33, 80
65, 1.8, 82
66, 1.6, 78
61, 0.33, 73
59, 0.28, 79
58, 0.28, 68
54, 0.28, 51
49, 0.28, 67
47, 0.28, 78
46, 0.37, 83
45, 1.3, 66
0, 0.93, 5
56, 0.28, 84
55, 0.42, 82
56, 0.6, 71
55, 1.4, 61
53, 1.1, 38
0, 4.2, 1
