note, length, volume
0, 1.8, 8
51, 0.84, 67
54, 0.05, 47
53, 0.37, 49
54, 0.46, 61
56, 0.56, 70
58, 1.2, 58
61, 0.98, 78
62, 0.37, 76
63, 0.33, 48
50, 0.65, 65
53, 0.32, 51
54, 0.65, 52
56, 0.65, 66
57, 0.98, 72
58, 0.33, 66
56, 0.05, 61
55, 0.05, 57
56, 0.46, 23
0, 0.51, 24
54, 0.33, 71
50, 0.19, 83
51, 0.56, 71
53, 0.56, 63
54, 0.46, 67
56, 0.7, 77
58, 1.1, 77
60, 0.65, 77
61, 0.09, 75
60, 0.14, 89
61, 0.05, 83
62, 0.05, 66
63, 0.19, 61
53, 0.42, 74
50, 0.37, 83
51, 0.33, 64
53, 0.46, 22
0, 0.65, 37
58, 0.05, 90
57, 0.05, 87
58, 0.14, 38
57, 0.28, 30
56, 1.7, 73
60, 1.5, 71
50, 0.19, 81
51, 0.51, 65
53, 0.51, 21
0, 0.46, 24
56, 0.65, 52
58, 1.2, 70
61, 0.74, 75
63, 0.88, 51
51, 0.65, 52
53, 0.51, 27
54, 0.05, 0
0, 0.46, 27
56, 0.6, 52
58, 1.2, 63
61, 0.98, 71
60, 0.23, 62
61, 0.05, 52
60, 0.09, 50
61, 0.05, 32
60, 0.05, 9
61, 0.14, 62
60, 0.05, 78
51, 0.7, 63
53, 0.19, 50
54, 0.33, 2
0, 0.37, 34
56, 0.65, 54
58, 1.1, 69
61, 0.33, 75
60, 0.37, 73
61, 0.05, 74
60, 0.05, 88
61, 0.05, 93
60, 0.05, 93
63, 0.7, 72
51, 0.7, 56
54, 0.46, 17
0, 0.46, 29
56, 0.65, 59
58, 1.2, 79
56, 1.1, 48
0, 0.84, 25
56, 0.6, 52
60, 1.2, 82
61, 0.6, 80
63, 0.05, 89
62, 0.05, 87
63, 1.3, 83
60, 1.1, 79
58, 0.28, 68
56, 1.3, 65
55, 0.05, 36
56, 0.23, 87
60, 0.88, 48
0, 0.51, 42
64, 0.56, 94
65, 0.74, 65
56, 1.2, 67
62, 0.65, 83
63, 0.33, 16
0, 0.65, 16
51, 0.6, 54
63, 0.6, 86
60, 2.0, 70
58, 0.74, 42
0, 1.4, 11
58, 0.88, 83
60, 0.28, 89
61, 0.28, 89
63, 0.79, 87
60, 0.42, 81
58, 0.28, 80
57, 0.7, 73
56, 0.05, 61
54, 0.33, 57
51, 0.84, 66
53, 0.37, 31
54, 0.19, 0
0, 0.42, 30
56, 0.6, 49
58, 1.1, 64
60, 0.56, 86
62, 0.51, 83
63, 0.42, 41
51, 0.7, 55
53, 0.37, 36
54, 0.19, 0
0, 0.51, 37
56, 0.51, 47
58, 0.88, 50
0, 0.28, 72
60, 0.51, 87
61, 0.19, 89
62, 0.09, 83
63, 0.42, 13
0, 0.42, 40
56, 0.6, 58
60, 1.1, 86
58, 0.6, 42
60, 1.1, 67
56, 0.6, 38
63, 0.65, 44
0, 0.56, 38
51, 0.56, 46
54, 0.7, 35
0, 0.42, 47
56, 0.56, 56
58, 1.1, 72
61, 0.65, 88
63, 0.56, 40
0, 0.56, 41
62, 0.23, 82
59, 0.33, 83
57, 1.1, 69
62, 0.7, 85
63, 0.19, 85
64, 0.46, 78
58, 0.7, 68
59, 0.14, 78
57, 0.09, 80
56, 0.05, 78
57, 0.51, 26
0, 0.88, 28
61, 0.05, 85
59, 0.37, 80
57, 1.0, 74
62, 0.6, 81
63, 0.23, 81
64, 0.46, 70
59, 0.05, 74
58, 0.05, 74
59, 0.42, 73
57, 0.6, 32
0, 0.84, 20
62, 0.23, 79
59, 0.33, 79
57, 0.7, 37
0, 0.33, 48
62, 0.65, 87
64, 0.6, 80
59, 0.6, 71
57, 0.65, 34
0, 0.79, 21
55, 0.56, 77
59, 0.6, 79
62, 1.0, 82
64, 0.74, 74
59, 0.46, 71
57, 0.88, 48
0, 0.74, 26
55, 0.56, 78
59, 0.7, 79
61, 0.46, 78
62, 0.42, 80
63, 0.51, 72
59, 0.56, 72
57, 0.14, 78
56, 0.05, 76
57, 0.09, 65
56, 0.19, 31
57, 0.19, 0
0, 0.98, 14
55, 0.56, 70
59, 0.6, 71
62, 0.6, 17
0, 0.37, 56
63, 0.51, 77
64, 0.09, 76
58, 0.46, 70
57, 0.65, 33
0, 1.1, 16
51, 0.56, 47
54, 0.88, 68
56, 0.65, 62
58, 1.2, 70
61, 0.09, 74
60, 0.33, 69
61, 0.51, 74
63, 0.56, 61
51, 0.6, 56
54, 0.56, 26
0, 0.6, 28
55, 0.14, 62
56, 0.37, 29
58, 1.2, 73
61, 0.93, 78
62, 0.09, 79
