note, length, volume
0, 0.52, 11
53, 0.84, 65
62, 1.2, 57
0, 0.65, 10
56, 0.84, 67
65, 1.3, 48
0, 0.79, 14
54, 0.74, 49
65, 1.3, 48
0, 0.88, 11
54, 0.79, 62
63, 1.2, 36
0, 0.84, 10
50, 0.79, 64
58, 1.2, 55
0, 0.65, 21
52, 0.7, 71
60, 1.0, 41
0, 0.79, 13
54, 0.65, 48
61, 1.3, 45
0, 0.7, 27
53, 0.74, 69
62, 1.3, 49
0, 0.93, 12
54, 0.65, 59
62, 1.2, 52
0, 0.7, 20
55, 0.65, 68
62, 1.1, 48
0, 0.84, 15
56, 0.65, 63
62, 1.0, 43
0, 0.74, 11
55, 0.7, 64
63, 1.0, 42
0, 0.74, 17
52, 0.74, 77
62, 1.0, 50
0, 0.65, 13
54, 0.74, 65
62, 1.8, 81
52, 0.6, 75
61, 1.1, 44
0, 0.79, 13
51, 0.7, 76
60, 1.2, 38
0, 0.56, 20
50, 0.7, 72
58, 1.5, 72
54, 0.6, 58
63, 1.1, 37
0, 0.74, 20
57, 0.65, 79
65, 1.6, 58
0, 0.09, 9
54, 0.74, 51
63, 0.93, 31
0, 1.3, 12
53, 0.56, 76
62, 1.3, 46
0, 0.37, 19
48, 0.74, 63
57, 1.4, 51
53, 0.7, 70
62, 0.84, 41
0, 0.7, 16
56, 0.79, 59
64, 1.6, 45
0, 0.28, 43
55, 0.7, 56
63, 0.88, 40
0, 0.84, 16
59, 0.79, 62
67, 1.7, 44
58, 0.79, 61
67, 0.98, 44
0, 0.74, 23
58, 0.09, 71
59, 0.05, 70
58, 0.05, 70
59, 0.46, 46
66, 0.37, 63
65, 0.14, 49
66, 0.46, 21
0, 1.6, 4
53, 0.6, 62
62, 0.98, 43
0, 0.88, 8
48, 0.74, 64
60, 1.1, 35
0, 0.56, 34
59, 0.84, 61
69, 1.1, 46
0, 0.56, 18
60, 0.79, 56
69, 1.1, 57
0, 0.74, 20
63, 0.7, 75
68, 1.8, 66
62, 0.74, 72
67, 0.79, 36
0, 0.88, 14
63, 0.65, 81
68, 1.2, 84
67, 0.09, 65
68, 0.05, 30
67, 0.14, 71
62, 0.65, 72
67, 1.4, 75
65, 0.37, 55
58, 0.7, 70
63, 0.84, 33
0, 0.7, 21
59, 0.7, 76
54, 0.65, 61
50, 0.74, 69
51, 0.84, 37
0, 3.0, 3
56, 0.74, 69
64, 1.4, 53
57, 0.84, 63
64, 0.93, 33
0, 0.51, 29
58, 0.51, 75
61, 0.23, 78
64, 1.3, 56
56, 0.98, 58
65, 1.3, 52
0, 0.56, 19
56, 0.74, 65
64, 1.4, 38
57, 0.84, 63
65, 1.2, 56
0, 0.46, 29
55, 0.79, 65
64, 1.3, 47
54, 0.79, 38
63, 0.74, 21
0, 1.7, 7
53, 0.7, 75
62, 0.79, 70
60, 0.74, 50
68, 1.4, 62
0, 0.7, 19
57, 0.74, 70
64, 0.74, 68
63, 0.65, 70
71, 1.2, 72
0, 0.74, 21
57, 0.84, 58
67, 0.65, 77
68, 0.33, 6
0, 0.46, 23
54, 0.65, 41
65, 1.2, 55
0, 0.7, 14
51, 0.79, 74
62, 1.3, 59
0, 0.74, 6
47, 1.1, 76
58, 0.98, 40
0, 1.5, 0
54, 1.0, 47
63, 0.93, 38
0, 1.2, 10
53, 0.65, 62
62, 0.79, 42
0, 1.2, 7
54, 0.74, 44
63, 0.88, 32
0, 0.88, 13
52, 0.79, 67
61, 0.88, 30
0, 1.2, 2
51, 0.74, 63
61, 1.1, 33
0, 1.0, 11
53, 0.65, 47
60, 1.1, 33
0, 0.65, 18
52, 0.65, 68
61, 1.0, 41
0, 0.7, 21
51, 0.65, 72
60, 1.0, 33
0, 0.88, 8
51, 0.65, 71
62, 0.88, 47
0, 1.3, 7
54, 0.46, 68
58, 0.37, 74
62, 0.74, 43
0, 0.74, 17
55, 0.7, 63
64, 0.98, 45
0, 0.74, 16
55, 0.65, 57
63, 1.1, 40
0, 0.46, 23
54, 0.65, 56
62, 0.93, 49
0, 0.65, 12
53, 0.6, 64
62, 0.88, 49
0, 0.6, 27
52, 0.56, 64
61, 1.0, 28
0, 0.42, 28
