note, length, volume
0, 5.0, 1
54, 0.7, 70
58, 0.74, 79
54, 0.7, 68
58, 0.7, 75
53, 0.84, 74
58, 0.74, 80
53, 0.74, 73
58, 0.79, 47
0, 2.3, 0
51, 0.28, 63
52, 0.6, 67
60, 1.4, 45
51, 0.7, 72
60, 0.7, 69
58, 0.65, 77
61, 0.84, 56
58, 1.0, 73
61, 0.65, 22
0, 1.3, 8
57, 0.7, 74
63, 0.84, 64
57, 0.46, 72
63, 0.56, 71
58, 0.46, 67
62, 0.51, 72
58, 0.51, 74
62, 0.46, 69
61, 0.51, 63
67, 0.74, 66
61, 0.56, 55
67, 0.93, 32
0, 0.19, 11
62, 1.1, 78
66, 0.65, 35
0, 1.4, 11
62, 0.6, 90
66, 0.46, 82
61, 0.46, 77
65, 0.65, 69
61, 0.46, 70
65, 0.6, 64
60, 0.56, 59
64, 0.65, 64
60, 0.65, 63
64, 0.65, 80
65, 0.56, 31
0, 3.2, 4
57, 0.56, 74
62, 0.46, 67
57, 1.3, 63
62, 0.51, 63
56, 0.56, 76
62, 0.56, 59
56, 0.98, 42
0, 0.79, 19
62, 0.56, 59
55, 0.42, 58
61, 0.65, 41
55, 0.74, 57
61, 0.46, 75
65, 0.6, 85
63, 1.1, 46
0, 4.3, 3
66, 0.56, 90
71, 0.6, 83
66, 0.79, 75
65, 0.56, 75
70, 0.56, 64
65, 0.65, 38
0, 0.93, 10
64, 0.7, 83
72, 0.84, 78
63, 0.6, 68
68, 1.2, 57
0, 1.1, 14
60, 0.7, 54
68, 0.88, 70
62, 1.1, 69
70, 0.05, 79
69, 0.33, 71
70, 0.05, 69
69, 0.14, 63
70, 0.05, 76
67, 0.42, 70
66, 0.32, 72
63, 0.7, 39
0, 5.0, 2
70, 0.7, 87
67, 0.56, 82
70, 0.42, 78
67, 0.46, 79
70, 0.42, 61
63, 0.51, 73
67, 0.46, 66
63, 0.37, 66
67, 0.51, 79
65, 0.46, 91
68, 0.42, 91
65, 0.46, 87
68, 0.79, 47
0, 1.5, 8
65, 0.46, 88
61, 0.46, 85
68, 0.51, 69
61, 0.37, 81
68, 0.51, 61
62, 0.56, 77
68, 0.97, 78
62, 0.6, 80
68, 0.93, 84
67, 0.7, 28
0, 2.9, 5
62, 0.37, 82
61, 0.6, 77
69, 0.98, 53
60, 0.65, 52
67, 0.74, 68
66, 0.65, 28
0, 0.56, 30
74, 0.93, 57
0, 0.33, 3
51, 0.7, 48
64, 0.46, 67
71, 0.79, 60
0, 1.3, 12
66, 0.46, 85
69, 0.42, 75
66, 0.51, 79
69, 0.37, 59
62, 0.51, 73
69, 0.37, 65
62, 0.42, 56
69, 0.42, 38
59, 0.46, 77
66, 0.46, 75
59, 0.42, 80
66, 0.56, 48
58, 0.56, 18
0, 2.2, 2
56, 0.56, 74
63, 0.51, 68
56, 0.42, 69
63, 0.37, 66
61, 0.37, 77
66, 0.37, 68
61, 0.46, 77
66, 0.33, 73
65, 0.05, 69
61, 0.46, 75
66, 0.28, 72
65, 0.05, 84
62, 0.42, 84
65, 0.46, 67
60, 0.46, 60
63, 0.42, 69
62, 0.46, 67
58, 0.6, 27
0, 1.1, 13
55, 0.46, 74
60, 0.28, 80
59, 0.33, 82
62, 0.23, 68
60, 0.33, 79
64, 0.42, 94
65, 0.32, 81
62, 0.33, 88
64, 0.33, 84
67, 0.28, 81
69, 0.28, 84
65, 0.33, 82
67, 0.28, 93
71, 0.42, 99
72, 0.6, 74
64, 0.42, 73
63, 0.28, 85
65, 0.32, 76
64, 0.28, 45
60, 0.33, 26
55, 0.19, 53
62, 0.42, 60
60, 0.56, 13
0, 2.6, 6
55, 0.46, 78
60, 0.33, 77
55, 0.28, 61
60, 0.37, 59
53, 0.42, 67
61, 0.42, 62
53, 0.42, 63
61, 0.65, 50
54, 0.37, 58
61, 0.46, 52
54, 0.28, 52
61, 0.46, 45
51, 0.42, 80
59, 0.37, 64
51, 0.46, 65
59, 0.42, 19
0, 1.0, 14
51, 0.42, 83
58, 0.51, 46
51, 0.28, 69
58, 0.42, 45
50, 0.6, 77
58, 0.37, 76
50, 0.6, 84
58, 0.32, 81
52, 0.37, 56
60, 0.33, 52
55, 0.37, 53
60, 0.42, 65
61, 0.33, 85
65, 0.6, 81
66, 0.37, 20
61, 0.42, 0
0, 1.9, 6
63, 0.42, 84
58, 0.33, 80
63, 0.33, 69
60, 0.37, 76
65, 0.37, 59
60, 0.23, 68
65, 0.51, 64
61, 0.33, 77
66, 0.33, 68
63, 0.42, 79
66, 0.42, 77
62, 0.37, 72
67, 0.42, 65
62, 0.37, 65
67, 0.51, 23
0, 4.3, 4
67, 0.74, 89
66, 0.37, 82
67, 0.28, 92
65, 0.33, 83
67, 0.23, 81
64, 0.33, 79
67, 0.33, 77
63, 0.32, 69
67, 0.42, 73
62, 0.37, 72
67, 0.37, 56
61, 0.42, 73
69, 1.0, 45
0, 2.1, 7
69, 0.37, 99
68, 0.46, 96
67, 0.32, 88
69, 0.28, 86
66, 0.33, 87
68, 0.33, 92
65, 0.33, 90
68, 0.33, 88
64, 0.46, 96
71, 0.97, 90
63, 0.42, 89
71, 0.65, 84
70, 0.05, 23
71, 0.05, 45
70, 0.09, 75
62, 0.42, 78
70, 0.79, 43
0, 2.5, 6
63, 0.46, 95
68, 0.33, 99
67, 0.05, 91
68, 0.14, 66
67, 0.14, 80
61, 0.46, 85
68, 0.7, 73
62, 0.51, 85
65, 0.28, 91
66, 0.05, 88
65, 0.05, 78
66, 0.23, 83
62, 0.37, 91
65, 0.32, 82
69, 0.33, 79
